PATRON,4.9657,,mg/L,0.7,0.0496,1,1,1,0.0494,0.05,0.0494
BLANCO,0.0329,,mg/L,48.4,0.0003,1,1,1,0.0002,0.0003,0.0005
BLANCO REACTIVO,0,,mg/L,47.7,0.0003,1,1,1,0.0001,0.0004,0.0003
FASE 1,0.0363,,mg/L,52.8,0.0004,1,1,1,0.0006,0.0002,0.0003
FASE 2,0.0014,,mg/L,>100,0,1,1,1,0,0.0001,0
FASE 3,0.0227,,mg/L,17.4,0.0002,1,1,1,0.0002,0.0002,0.0003
VSP NORTE,0.0115,,mg/L,>100,0.0001,1,1,1,0.0002,0,0.0002
CELDA 8.1,0.0054,,mg/L,53.3,0.0001,1,1,1,0.0001,0.0001,0
CELDA 8.2,-0.006,,mg/L,>100,-0.0001,1,1,1,0,0,-0.0002
CELDA 8.3,0.0204,,mg/L,>100,0.0002,1,1,1,0.0004,0.0003,-0.0001
PATRON,4.9533,,mg/L,0.7,0.0495,1,1,1,0.0491,0.0497,0.0497
BLANCO,-0.024,,mg/L,39.5,-0.0002,1,1,1,-0.0004,-0.0002,-0.0002
BLANCO REACTIVO,0,,mg/L,>100,0.0003,1,1,1,0,0.0003,0.0006
