Analista,MVG,,,,,,,,,
Fecha de inicio,11:30 a. m. 15/01/2026  GMT: 05:30 p. m. 15/01/2026,,,,,,,,,
Hoja de trabajo,SA007682,,,,,,,,,
Comentario,,,,,,,,,,
Métodos,Au,,,,,,,,,
,,,,,,,,,,
Peso nominal,1,Volumen nominal,1,,,,,,,
Método: Au EFAA30 (Llama),,,,,,,,,,
,,,,,,,,,,
Au,PATRON,0.4971,,mg/L,1,0.6,0.0165,0.0014,1,1
Au,BLANCO,-0.0009,,mg/L,1,>100,0,0.0004,1,1
Au,BLANCO REACTIVO,0,,mg/L,1,27.8,0.0002,0.0001,1,1
Au,SA007682-001,0.3802,,mg/L,1,1.5,0.0593,-0.0003,30.026,7
Au,SA007682-002,0.2131,,mg/L,1,1,0.0332,0.0002,30.005,7
Au,SA007682-003,0.2011,,mg/L,1,2.5,0.0314,0,30.018,7
Au,SA007682-004,0.1654,,mg/L,1,1.1,0.0258,0,30.01,7
Au,SA007682-005,0.1866,,mg/L,1,1.5,0.0291,-0.0002,30.023,7
Au,PATRON,0.5192,,mg/L,1,2.1,0.0189,0.0009,1,1
Au,SA007682-006,0.0266,,mg/L,1,3,0.0042,0.0008,30.009,7
Au,SA007682-007,0.0396,,mg/L,1,1.7,0.0062,0.0007,30.042,7
Au,SA007682-008,0.0134,,mg/L,1,8.4,0.0021,0.0005,30.024,7
Au,SA007682-009,0.1574,,mg/L,1,1.2,0.0246,0.0006,30.028,7
Au,SA007682-010,0.3129,,mg/L,1,1.5,0.0488,0.0008,30.005,7
Au,PATRON,0.5036,,mg/L,1,0.7,0.0183,0.001,1,1
Au,BLANCO,-0.0016,,mg/L,1,>100,-0.0001,0.0009,1,1
Au,BLANCO REACTIVO,0,,mg/L,1,21.4,-0.0011,-0.0009,1,1
Au,SA007682-011,0.2755,,mg/L,1,1.7,0.043,-0.0004,30.035,7
Au,SA007682-012,0.4154,,mg/L,1,1.4,0.0648,-0.001,30.039,7
Au,SA007682-013,0.1175,,mg/L,1,0.5,0.0183,-0.0013,30.015,7
Au,SA007682-014,0.0349,,mg/L,1,4.5,0.0055,-0.0004,30.016,7
Au,SA007682-015,0.1855,,mg/L,1,1.7,0.0264,0.0001,30.014,7
Au,PATRON,0.4933,,mg/L,1,0.7,0.0181,0.0007,1,1
Au,SA007682-016,0.6509,,mg/L,1,0.8,0.1018,-0.0002,30.029,7
Au,SA007682-017,0.4192,,mg/L,1,1.3,0.0657,-0.0001,30.005,7
Au,SA007682-018,0.0964,,mg/L,1,1.4,0.0151,-0.0004,30.011,7
Au,SA007682-019,0.0144,,mg/L,1,16.9,0.0023,-0.0002,30.013,7
Au,SA007682-020,0.213,,mg/L,1,1,0.0335,-0.0005,30.032,7
Au,PATRON,0.512,,mg/L,1,2.6,0.0178,0.0008,1,1
Au,BLANCO,0.0044,,mg/L,1,>100,0.0002,0.0003,1,1
Au,BLANCO REACTIVO,0,,mg/L,1,6.4,-0.0012,-0.0005,1,1
Au,SA007682-021,0.3961,,mg/L,1,0.5,0.0589,0.0003,30.016,7
Au,SA007682-022,0.1365,,mg/L,1,0.9,0.0203,0.0006,30.023,7
Au,SA007682-023,0.3436,,mg/L,1,0.7,0.0512,0.0004,30.022,7
Au,SA007682-024,0.1748,,mg/L,1,0.2,0.026,0.0002,30.002,7
Au,PATRON,0.5211,,mg/L,1,2.2,0.0181,0.001,1,1
Au,SA007682-026,0.4505,,mg/L,1,2.7,0.0641,-0.0002,30.019,7
Au,SA007682-027,0.5675,,mg/L,1,1,0.0843,-0.0004,30.016,7
Au,SA007682-028,0.2564,,mg/L,1,0.9,0.0382,-0.0001,30.003,7
Au,SA007682-029,0.3229,,mg/L,1,1.1,0.0481,-0.0003,30.022,7
Au,SA007682-030,0.0018,,mg/L,1,>100,0.0003,0.0004,30,7
Au,PATRON,0.4831,,mg/L,1,1.5,0.0168,0.0015,1,1
Au,BLANCO,0.0032,,mg/L,1,>100,0.0001,0.0004,1,1
Au,BLANCO REACTIVO,0,,mg/L,1,3.7,-0.0011,-0.0006,1,1
Au,SA007682-031,0.3114,,mg/L,1,1.1,0.0464,0.0009,30.016,7
Au,SA007682-032,0.0065,,mg/L,1,30.2,0.001,0.001,30.021,7
Au,PATRON,0.527,,mg/L,1,1.8,0.0183,0.0016,1,1
Au,BLANCO,-0.0054,,mg/L,1,>100,-0.0002,0.0004,1,1
Au,BLANCO REACTIVO,0,,mg/L,1,10.3,-0.0012,-0.0005,1,1
