Analista,GGP,,,,,,,,,,,,
Fecha de inicio,03/11/2024 02:50 p. m.  GMT: 03/11/2024 08:50 p. m.,,,,,,,,,,,,
Hoja de trabajo,SA005728_3,,,,,,,,,,,,
Comentario,,,,,,,,,,,,,
Métodos,Au,,,,,,,,,,,,
,,,,,,,,,,,,,
Peso nominal,1,Volumen nominal,1,Nominal Dilution,1,,,,,,,,
Método: Au EFAA30 (Llama),,,,,,,,,,,,,
,,,,,,,,,,,,,
,PATRON,0.5036,,mg/L,2.4,0.0165,0.0008,1,1,1,0.0168,0.0167,0.0161
,BLANCO,0.0077,,mg/L,>100,0.0003,-0.0008,1,1,1,-0.0001,0.0005,0.0003
,BLANCO REACTIVO,0,,mg/L,>100,-0.0001,-0.0008,1,1,1,0.0004,-0.0001,-0.0005
,SA005728-001,0.0051,,mg/L,>100,0.0005,-0.001,20.038,7,1,0.0009,0.0006,-0.0001
,SA005728-002,0.001,,mg/L,>100,0.0001,-0.0007,20.067,7,1,0.0001,0.0003,-0.0001
,SA005728-003,0.0022,,mg/L,29.2,0.0002,-0.0009,20.085,7,1,0.0002,0.0001,0.0002
,SA005728-004,0.0172,,mg/L,17.4,0.0016,-0.0007,20.039,7,1,0.0015,0.0019,0.0014
,SA005728-005,0.0011,,mg/L,60.8,0.0001,-0.0016,20,7,1,0.0001,0.0002,0.0001
,PATRON,0.5106,,mg/L,1.5,0.0168,-0.0006,1,1,1,0.0167,0.0166,0.0171
,SA005728-006,0.003,,mg/L,32.1,0.0003,-0.0017,20.059,7,1,0.0003,0.0002,0.0003
,SA005728-007,0.1248,,mg/L,5.8,0.0117,-0.0013,20.067,7,1,0.0119,0.0123,0.011
,PATRON,0.5107,,mg/L,2.8,0.0168,-0.0006,1,1,1,0.017,0.0171,0.0162
,BLANCO,0.0037,,mg/L,>100,0.0001,-0.0021,1,1,1,0.0001,-0.0001,0.0003
,BLANCO REACTIVO,0,,mg/L,>100,-0.0001,-0.0016,1,1,1,-0.0001,-0.0003,0.0001
