Analista,ALS,,,,,,,,,
Fecha de inicio,30/08/2024 03:03 a. m.  GMT: 30/08/2024 09:03 a. m.,,,,,,,,,
Hoja de trabajo,SA005306-RCK_3,,,,,,,,,
Comentario,,,,,,,,,,
Métodos,Au,,,,,,,,,
,,,,,,,,,,
Método: Au EFAA30 (Llama),,,,,,,,,,
,,,,,,,,,,
,PATRON,0.5063,,mg/L,3,0.0155,0,0.016,0.0151,0.0155
,BLANCO,-0.0294,,mg/L,16.6,-0.0009,0,-0.0007,-0.001,-0.0009
,BLANCO REACTIVO,0,,mg/L,26.1,-0.0012,0.0002,-0.0014,-0.0008,-0.0013
,SA005306-001,3.441,,mg/L,1,0.306,0.0014,0.3068,0.3085,0.3026
,SA005306-002,0.0099,,mg/L,77.4,0.0009,0.0006,0.0016,0.0005,0.0005
,SA005306-003,3.3122,,mg/L,0.3,0.2949,0.0012,0.2939,0.2952,0.2957
,SA005306-004,1.5736,,mg/L,0,0.1403,0.0009,0.1403,0.1402,0.1403
,SA005306-005,1.9181,,mg/L,0.8,0.1713,0.0009,0.1706,0.173,0.1704
,PATRON,0.5116,,mg/L,13.9,0.0157,0.0017,0.0169,0.0169,0.0132
,SA005306-006,2.6702,,mg/L,2.3,0.2387,0.0009,0.2323,0.2422,0.2415
,SA005306-007,2.8398,,mg/L,1.7,0.254,0.0014,0.2492,0.2559,0.2571
,SA005306-008,4.2359,,mg/L,0.7,0.0373,-0.0009,0.0374,0.037,0.0375
,SA005306-009,3.1801,,mg/L,2.1,0.028,-0.0009,0.0274,0.0281,0.0286
,SA005306-010,1.5312,,mg/L,0.4,0.1368,0.0011,0.1363,0.1374,0.1369
,PATRON,0.4954,,mg/L,17.4,0.0152,0.0018,0.0173,0.016,0.0122
,BLANCO,0.0006,,mg/L,>100,0,0.0011,-0.0001,-0.0004,0.0006
,BLANCO REACTIVO,0,,mg/L,5.3,-0.0015,0,-0.0015,-0.0015,-0.0016
,SA005306-011,1.152,,mg/L,0.8,0.1024,0.0012,0.1016,0.1023,0.1032
,SA005306-012,0.0814,,mg/L,1.6,0.0245,0.0009,0.0249,0.0242,0.0243
,SA005306-013,0.0878,,mg/L,0.9,0.0235,-0.0004,0.0233,0.0236,0.0237
,SA005306-014,0.3196,,mg/L,1.2,0.0281,-0.0003,0.0277,0.0283,0.0283
,SA005306-015,0.6509,,mg/L,3.5,0.0577,-0.0005,0.0554,0.0594,0.0583
,PATRON,0.5151,,mg/L,1.7,0.0158,0.0003,0.0155,0.0159,0.016
,PATRON,0.5074,,mg/L,6.1,0.0155,0.0004,0.0161,0.0161,0.0145
,BLANCO,0.0433,,mg/L,28.1,0.0013,0.0017,0.0009,0.0014,0.0017
,BLANCO REACTIVO,0,,mg/L,>100,-0.0001,0.0001,0.0002,-0.0003,-0.0002
