PATRON,1.0178,,mg/L,0.3,0.1209,0.0002,0.1208,0.1213,0.1207
BLANCO,-0.0072,,mg/L,25.8,-0.0009,0,-0.0007,-0.0011,-0.0008
BLANCO REACTIVO,0,,mg/L,>100,-0.0003,-0.0012,-0.0007,0.0004,-0.0005
H KCA PO,0.0023,,mg/L,>100,0.0003,0.0008,0.0001,0,0.0007
H KCA PO,-0.0016,,mg/L,>100,-0.0002,0.0009,0.0004,0,-0.0009
H KCA PO,0.001,,mg/L,>100,0.0001,0.0006,-0.0004,0.0005,0.0003
PATRON,1.0109,,mg/L,0.9,0.1201,-0.0004,0.119,0.1203,0.1211
H KCA PO,-0.0018,,mg/L,>100,-0.0002,0.0004,0.0001,-0.0003,-0.0005
H KCA PO,0.0024,,mg/L,43.6,0.0003,0.002,0.0002,0.0003,0.0004
PATRON,1.0073,,mg/L,0.5,0.1197,0.001,0.1191,0.1201,0.1199
BLANCO,-0.0064,,mg/L,56.8,-0.0008,0.0006,-0.0003,-0.0012,-0.0008
BLANCO REACTIVO,0,,mg/L,14.8,-0.001,0.0006,-0.0012,-0.0009,-0.001
M1 PO,0.0016,,mg/L,97.4,0.0002,0.0033,0.0004,0.0001,0.0001
M2 PO,0.0009,,mg/L,>100,0.0001,0.0031,0.0009,0.0005,-0.0011
M3 PO,0.0054,,mg/L,>100,0.0007,0.0029,0.0013,-0.0001,0.0007
M4 PO,0.0064,,mg/L,23.2,0.0008,0.0029,0.0007,0.001,0.0006
PATRON,0.9885,,mg/L,0.5,0.1175,0.0018,0.1174,0.1169,0.1182
P KCA PO,0.0085,,mg/L,39.6,0.001,0.0023,0.0015,0.0008,0.0008
PATRON,0.9824,,mg/L,1.2,0.1168,0.0019,0.1163,0.1157,0.1184
BLANCO,-0.0004,,mg/L,>100,0,0.0009,-0.0003,-0.0001,0.0002
BLANCO REACTIVO,0,,mg/L,49.8,-0.0017,0.0005,-0.0016,-0.0025,-0.0009
CELDA 8,0.0034,,mg/L,92.2,0.0004,0.0037,0,0.0005,0.0007
PATRON,0.9874,,mg/L,1.2,0.1174,0.002,0.1165,0.119,0.1167
BLANCO,0.0053,,mg/L,46.3,0.0006,0.0012,0.0008,0.0003,0.0008
BLANCO REACTIVO,0,,mg/L,5.2,-0.0016,0,-0.0016,-0.0017,-0.0017
H KCA PE,-0.0017,,mg/L,>100,-0.0002,0.0039,-0.0004,0,-0.0002
H KCA PE,-0.0006,,mg/L,>100,-0.0001,0.0036,0.0007,-0.0005,-0.0005
H KCA PE,-0.0012,,mg/L,>100,-0.0001,0.0035,0,-0.0009,0.0005
PATRON,1.0144,,mg/L,1,0.1296,0.0006,0.1281,0.1301,0.1306
H KCA PE,-0.001,,mg/L,>100,-0.0001,0.0001,0,-0.0007,0.0003
H KCA PE,-0.0016,,mg/L,>100,-0.0002,0.0027,-0.0001,-0.0006,0.0001
PATRON,1.0053,,mg/L,0.6,0.1285,0.0008,0.1276,0.129,0.1289
BLANCO,0.0023,,mg/L,>100,0.0003,-0.0002,0.0007,0.0001,0.0001
BLANCO REACTIVO,0,,mg/L,>100,-0.0003,-0.0001,-0.001,0.0002,-0.0002
M1 PE,0.0065,,mg/L,63.5,0.0008,0.0021,0.0008,0.0003,0.0014
M2 PE,0.0017,,mg/L,66.8,0.0002,0.0026,0.0004,0.0001,0.0002
M3 PE,0.0021,,mg/L,>100,0.0003,0.0026,0.0006,0,0.0002
M4 PE,0.0005,,mg/L,>100,0.0001,0.0026,0,0,0.0002
PATRON,1.018,,mg/L,0.1,0.126,0.0005,0.126,0.1262,0.1258
P KCA PE,0.0027,,mg/L,75.9,0.0003,0.0022,0.0006,0.0001,0.0003
PATRON,1.0116,,mg/L,0.3,0.1252,0.001,0.1252,0.1256,0.1248
BLANCO,0.0049,,mg/L,99.7,0.0006,-0.0004,0.0011,-0.0001,0.0009
BLANCO REACTIVO,0,,mg/L,>100,0,0.0003,0,0.0001,-0.0001
ELY 1,0.0003,,mg/L,>100,0,0.0027,0.0004,0.0001,-0.0004
ELY 2,-0.0005,,mg/L,>100,-0.0001,0.0028,0.0002,0.0004,-0.0008
ELY 3,-0.0024,,mg/L,>100,-0.0003,0.003,0.0003,-0.0007,-0.0005
ELY 4,-0.0002,,mg/L,>100,0,0.0025,0.0003,-0.0007,0.0004
PATRON,1.0089,,mg/L,0.7,0.1202,-0.0002,0.1202,0.1211,0.1195
ELY P,0.0021,,mg/L,>100,0.0002,-0.0005,0,0.0001,0.0006
PATRON,1.0203,,mg/L,0.3,0.1216,0.0002,0.1212,0.1219,0.1217
BLANCO,0.0058,,mg/L,77.7,0.0007,-0.001,0.0012,0.0001,0.0008
BLANCO REACTIVO,0,,mg/L,69,-0.0005,0.0001,-0.0002,-0.0004,-0.0008
