Analista,JS,,,,,,,
Fecha de inicio,11:50 a. m. 18/01/2026  GMT: 05:50 p. m. 18/01/2026,,,,,,,
Hoja de trabajo,SA007719,,,,,,,
Comentario,,,,,,,,
Métodos,Au,,,,,,,
,,,,,,,,
Método: Au EFAA30 (Llama),,,,,,,,
,,,,,,,,
,PATRON,0.4989,,mg/L,1,1.3,0.0169,
,BLANCO,0.0059,,mg/L,1,>100,0.0002,
,BLANCO REACTIVO,0,,mg/L,1,>100,0.0001,
,SA007719-001,0.1764,,mg/L,1,2,0.0256,30
,SA007719-002,0.1602,,mg/L,1,1.2,0.0232,30
,SA007719-003,0.192,,mg/L,1,1.3,0.0278,30
,SA007719-004,0.1626,,mg/L,1,0.3,0.0236,30.01
,SA007719-005,0.0068,,mg/L,1,25.9,0.001,3
,PATRON,0.4857,,mg/L,1,2.1,0.0164,
,SA007719-006,0.1115,,mg/L,1,3,0.0162,3
,SA007719-007,0.1227,,mg/L,1,3.6,0.0178,30
,SA007719-008,0.0741,,mg/L,1,3.2,0.0107,30
,SA007719-009,0.051,,mg/L,1,1.8,0.0074,30
,SA007719-010,0.0849,,mg/L,1,2.5,0.0123,30
,PATRON,0.509,,mg/L,1,1.7,0.0164,
,BLANCO,0.0027,,mg/L,1,>100,0.0001,
,BLANCO REACTIVO,0,,mg/L,1,1,0.0009,
,SA007719-011,0.0901,,mg/L,1,4,0.0125,30
,SA007719-012,0.1536,,mg/L,1,1.4,0.0213,30
,SA007719-013,0.2237,,mg/L,1,1.3,0.031,30
,SA007719-014,0.1342,,mg/L,1,1.1,0.0186,30.01
,SA007719-015,0.126,,mg/L,1,1.2,0.0175,30
,PATRON,0.5079,,mg/L,1,1.7,0.0164,
,SA007719-016,0.1261,,mg/L,1,0.9,0.0175,30
,SA007719-017,0.002,,mg/L,1,79.2,0.0003,30.01
,SA007719-018,0.195,,mg/L,1,0.9,0.027,30
,SA007719-019,0.1699,,mg/L,1,0.7,0.0235,30
,SA007719-020,0.1739,,mg/L,1,0.7,0.0241,30
,PATRON,0.502,,mg/L,1,1.2,0.0162,
,BLANCO,-0.0006,,mg/L,1,>100,0,
,BLANCO REACTIVO,0,,mg/L,1,>100,-0.0001,
,SA007719-021,0.1755,,mg/L,1,1.9,0.0243,30
,SA007719-022,0.1387,,mg/L,1,1.7,0.0192,30
,SA007719-023,0.0028,,mg/L,1,92.2,0.0004,3
,SA007719-024,0.1054,,mg/L,1,1.4,0.0146,3
,SA007719-025,0.1354,,mg/L,1,1.5,0.0188,30
,PATRON,0.5027,,mg/L,1,1.1,0.0162,
,SA007719-026,0.1213,,mg/L,1,2.8,0.0168,30
,SA007719-027,0.1863,,mg/L,1,1.9,0.0258,30
,SA007719-028,0.229,,mg/L,1,1.7,0.0318,30.01
,SA007719-029,0.1777,,mg/L,1,1.2,0.0246,30.01
,SA007719-030,0.0706,,mg/L,1,3.1,0.0098,3
,PATRON,0.5066,,mg/L,1,1.8,0.0164,
,BLANCO,0.01,,mg/L,1,23.7,0.0003,
,BLANCO REACTIVO,0,,mg/L,1,47.3,0.0003,
,SA007719-031,0.2298,,mg/L,1,1.6,0.0319,30
,SA007719-032,0.1316,,mg/L,1,3,0.0182,30
,PATRON,0.4886,,mg/L,1,0.6,0.0158,
,BLANCO,-0.0055,,mg/L,1,14.5,-0.0002,
,BLANCO REACTIVO,0,,mg/L,1,51.1,0.0001,
