PATRON,0.9897,,mg/L,0.3,0.0003,0.1065,0.0009,0.1061,0.1067,0.1067
BLANCO,0.0014,,mg/L,>100,0.0002,0.0001,0.0003,0.0004,0.0002,-0.0001
BLANCO REACTIVO,0,,mg/L,51.8,0.0005,0.001,-0.0006,0.001,0.0005,0.0015
H KCA PO,0.0132,,mg/L,23.9,0.0003,0.0014,0.0002,0.0011,0.0018,0.0013
H KCA PO,0.0119,,mg/L,10.9,0.0001,0.0013,0.0004,0.0011,0.0014,0.0012
H KCA PO,0.0151,,mg/L,21.8,0.0003,0.0016,0.0001,0.0016,0.0013,0.002
PATRON,1.0201,,mg/L,0.1,0.0001,0.1098,-0.0008,0.1098,0.1098,0.1099
H KCA PO,0.015,,mg/L,23.6,0.0004,0.0016,0.0001,0.0019,0.0017,0.0012
H KCA PO,0.0162,,mg/L,19.8,0.0003,0.0017,0,0.0014,0.002,0.0018
PATRON,1.0191,,mg/L,0.6,0.0006,0.1097,-0.0005,0.1104,0.1093,0.1094
BLANCO,-0.0014,,mg/L,>100,0.0002,-0.0001,-0.0013,-0.0003,-0.0002,0.0001
BLANCO REACTIVO,0,,mg/L,12.9,0.0001,0.0008,-0.0004,0.0009,0.0007,0.0008
M1 PO,0.0158,,mg/L,23.7,0.0004,0.0017,0.0002,0.0015,0.0021,0.0014
M2 PO,0.0159,,mg/L,10.4,0.0002,0.0017,0.0003,0.0018,0.0015,0.0018
M3 PO,0.0212,,mg/L,11.9,0.0003,0.0022,-0.0001,0.0023,0.0025,0.002
M4 PO,0.0209,,mg/L,5.5,0.0001,0.0022,0.0001,0.0023,0.0021,0.0022
PATRON,0.9961,,mg/L,0.3,0.0003,0.1072,-0.0005,0.1072,0.107,0.1075
P KCA PO,0.0184,,mg/L,8.1,0.0002,0.002,0.0002,0.002,0.002,0.0018
PATRON,0.9999,,mg/L,0.5,0.0005,0.1076,-0.0008,0.1072,0.1082,0.1075
BLANCO,-0.001,,mg/L,>100,0.0003,-0.0001,-0.0013,-0.0001,0.0002,-0.0004
BLANCO REACTIVO,0,,mg/L,23.1,0.0001,0.0006,-0.0005,0.0008,0.0005,0.0007
CELDA 8,0.0033,,mg/L,54.6,0.0002,0.0004,0.0007,0.0004,0.0005,0.0002
CANAL,0.0548,,mg/L,3.4,0.0002,0.0058,0.0003,0.0056,0.0059,0.006
FASE 1,0.0036,,mg/L,75.8,0.0003,0.0004,0.0003,0.0004,0.0001,0.0007
FASE 2,0.0016,,mg/L,83.2,0.0001,0.0002,0.0006,0,0.0003,0.0002
FASE 3,0.0014,,mg/L,>100,0.0002,0.0001,0.0006,0,0.0001,0.0004
VSP NORTE,0.033,,mg/L,6,0.0002,0.0035,0.0009,0.0037,0.0034,0.0033
CELDA 8.1,0.0104,,mg/L,43,0.0005,0.0011,0.0003,0.0015,0.0012,0.0006
CELDA 8.2,0.003,,mg/L,>100,0.0004,0.0003,0.0003,0.0007,0,0.0003
CELDA 8.3,0.0017,,mg/L,>100,0.0002,0.0002,0.0006,0.0001,0.0004,0
S. RICA,0.0136,,mg/L,27.4,0.0004,0.0014,0.0002,0.0017,0.001,0.0017
PATRON,1.006,,mg/L,1.3,0.0014,0.1083,-0.0007,0.1099,0.1076,0.1074
BLANCO,-0.0013,,mg/L,64,0.0001,-0.0001,-0.0014,-0.0002,-0.0002,0
BLANCO REACTIVO,0,,mg/L,36.1,0.0002,0.0004,-0.0006,0.0004,0.0003,0.0006
H KCA PE,0.015,,mg/L,21.2,0.0003,0.0016,0.0005,0.0017,0.0012,0.0018
H KCA PE,0.0128,,mg/L,6.6,0.0001,0.0014,0.0007,0.0014,0.0013,0.0014
H KCA PE,0.0125,,mg/L,20.7,0.0003,0.0013,0.0008,0.0016,0.001,0.0014
PATRON,1.0157,,mg/L,0.3,0.0003,0.1093,-0.0004,0.109,0.1094,0.1097
H KCA PE,0.0157,,mg/L,2.5,0,0.0017,0.0006,0.0017,0.0016,0.0016
H KCA PE,0.0168,,mg/L,7.7,0.0001,0.0018,0.0005,0.0018,0.0019,0.0016
PATRON,1.0176,,mg/L,0.8,0.0009,0.1095,-0.0004,0.11,0.1085,0.1101
BLANCO,0.0012,,mg/L,55.1,0.0001,0.0001,-0.0011,0.0002,0,0.0001
BLANCO REACTIVO,0,,mg/L,58.7,0.0004,0.0007,-0.0007,0.0006,0.0004,0.0012
M1 PE,0.0127,,mg/L,16.6,0.0002,0.0013,0.0003,0.0012,0.0016,0.0013
M2 PE,0.0145,,mg/L,15.2,0.0002,0.0015,-0.0002,0.0013,0.0018,0.0015
M3 PE,0.013,,mg/L,3.6,0,0.0014,0.0001,0.0013,0.0014,0.0014
M4 PE,0.0126,,mg/L,24.2,0.0003,0.0013,0.0001,0.0014,0.0016,0.001
PATRON,1.0052,,mg/L,0.3,0.0004,0.1082,-0.0009,0.1086,0.1079,0.1081
P KCA PE,0.012,,mg/L,9.6,0.0001,0.0013,0.0002,0.0014,0.0012,0.0012
PATRON,1.0104,,mg/L,0.5,0.0005,0.1088,-0.0009,0.1093,0.1085,0.1085
BLANCO,-0.0013,,mg/L,51.1,0.0001,-0.0001,-0.0014,-0.0001,-0.0002,-0.0001
BLANCO REACTIVO,0,,mg/L,96.1,0.0004,0.0004,-0.0007,0,0.0005,0.0008
ELY 1,0.0165,,mg/L,24.6,0.0004,0.0018,0.0003,0.0016,0.0014,0.0022
ELY 2,0.0139,,mg/L,14.6,0.0002,0.0015,0.0005,0.0014,0.0013,0.0017
ELY 3,0.0121,,mg/L,18.2,0.0002,0.0013,0.0005,0.0015,0.0011,0.0012
ELY 4,0.0109,,mg/L,12.7,0.0001,0.0012,0.0006,0.0011,0.0013,0.001
PATRON,1.0023,,mg/L,0.4,0.0005,0.1079,-0.0001,0.1078,0.1084,0.1075
ELY P,0.0137,,mg/L,13.3,0.0002,0.0015,0.0002,0.0014,0.0013,0.0017
PATRON,1.0119,,mg/L,0.1,0.0002,0.1089,-0.0005,0.1088,0.1091,0.1089
BLANCO,-0.0013,,mg/L,>100,0.0003,-0.0001,-0.0011,-0.0003,0.0002,-0.0003
BLANCO REACTIVO,0,,mg/L,83.7,0.0004,0.0004,-0.0008,0.0009,0.0002,0.0003
NOROESTE,0.002,,mg/L,>100,0.0003,0.0002,0,0.0004,-0.0001,0.0003
TRITURADORA,0.0047,,mg/L,23.3,0.0001,0.0005,0.0001,0.0005,0.0006,0.0004
VICTORIA,0.0017,,mg/L,>100,0.0004,0.0002,0.0003,0.0004,-0.0003,0.0005
CELDA 1,0.0246,,mg/L,4.5,0.0001,0.0026,0.0001,0.0025,0.0027,0.0027
CELDA 2,0.0093,,mg/L,20.4,0.0002,0.001,0.0003,0.0008,0.0012,0.001
CELDA 3,0.0106,,mg/L,29.4,0.0003,0.0011,0.0003,0.0007,0.0013,0.0013
CELDA 4A,0.0024,,mg/L,36.7,0.0001,0.0003,0.001,0.0002,0.0003,0.0003
CELDA 4B,0.0012,,mg/L,>100,0.0003,0.0001,0.0012,0.0004,-0.0002,0.0002
CELDA 5A,0.0034,,mg/L,69,0.0002,0.0004,0.0003,0.0001,0.0005,0.0005
CELDA 5B,0.0037,,mg/L,68.3,0.0003,0.0004,0.0002,0.0006,0.0001,0.0005
PATRON,1.0002,,mg/L,0.3,0.0004,0.1077,0.0003,0.1077,0.108,0.1073
BLANCO,0.0013,,mg/L,>100,0.0002,0.0001,-0.0002,0,0.0001,0.0003
BLANCO REACTIVO,0,,mg/L,>100,0.0004,0.0003,0,0.0006,0.0005,-0.0001
