Analista,NR,,,,,,,,,
Fecha de inicio,01:18 p. m. 17/12/2025  GMT: 07:18 p. m. 17/12/2025,,,,,,,,,
Hoja de trabajo,SA007246_3,,,,,,,,,
Comentario,,,,,,,,,,
Métodos,Au,,,,,,,,,
,,,,,,,,,,
Peso nominal,1,Volumen nominal,1,,,,,,,
Método: Au EFAA30 (Llama),,,,,,,,,,
,,,,,,,,,,
Au,PATRON,0.509,,mg/L,1,0.3,0.0196,0.0005,1,1
Au,BLANCO,-0.0075,,mg/L,1,81.8,-0.0003,-0.0003,1,1
Au,BLANCO REACTIVO,0,,mg/L,1,64.9,-0.0002,0.0015,1,1
Au,SA007246-001,0.0638,,mg/L,1,2.1,0.0105,-0.0001,30.044,7
Au,SA007246-002,0.0559,,mg/L,1,1.6,0.0092,-0.0005,30.065,7
Au,SA007246-003,0.1655,,mg/L,1,0.4,0.0274,-0.0003,30.089,7
Au,SA007246-004,0.0505,,mg/L,1,2.6,0.0083,-0.0004,30.027,7
Au,SA007246-005,0.0461,,mg/L,1,2.8,0.0076,-0.0003,30.054,7
Au,PATRON,0.4816,,mg/L,1,1,0.0185,0.0003,1,1
Au,SA007246-006,0.0778,,mg/L,1,0.8,0.0128,-0.0005,29.902,7
Au,SA007246-007,0.0303,,mg/L,1,1.1,0.005,-0.0006,30.054,7
Au,SA007246-008,0.0016,,mg/L,1,44.3,0.0003,-0.0006,30.059,7
Au,SA007246-009,0.0825,,mg/L,1,0.7,0.0136,-0.0005,29.989,7
Au,SA007246-010,0.0622,,mg/L,1,2.2,0.0103,-0.0005,29.978,7
Au,PATRON,0.4872,,mg/L,1,3.3,0.0188,0.0016,1,1
Au,BLANCO,0.0073,,mg/L,1,81,0.0003,0.0001,1,1
Au,BLANCO REACTIVO,0,,mg/L,1,24.3,-0.0005,0.0019,1,1
Au,SA007246-011,0.289,,mg/L,1,0.5,0.0477,0.0004,29.997,7
Au,SA007246-012,0.1312,,mg/L,1,0.2,0.0217,0.0001,30.027,7
Au,SA007246-013,0.1314,,mg/L,1,0.7,0.0217,0.0006,29.986,7
Au,SA007246-014,0.048,,mg/L,1,4.9,0.0079,0.0007,30.034,7
Au,SA007246-015,0.1804,,mg/L,1,1.2,0.0297,0.0009,29.97,7
Au,PATRON,0.4812,,mg/L,1,0.3,0.0185,0.0023,1,1
Au,SA007246-016,0.1171,,mg/L,1,0.9,0.0194,0.0011,30.08,7
Au,SA007246-017,0.1065,,mg/L,1,0.4,0.0175,0.0009,29.946,7
Au,SA007246-018,0.1892,,mg/L,1,0,0.0313,0.0009,30.046,7
Au,SA007246-019,0.0985,,mg/L,1,1.2,0.0162,0.0013,30.005,7
Au,SA007246-020,0.0526,,mg/L,1,3.1,0.0087,0.001,30.03,7
Au,PATRON,0.4958,,mg/L,1,1.3,0.0187,0.0019,1,1
Au,BLANCO,-0.0104,,mg/L,1,73.6,-0.0004,0.0005,1,1
Au,BLANCO REACTIVO,0,,mg/L,1,18.2,-0.0004,0.0019,1,1
Au,SA007246-021,0.1327,,mg/L,1,1.2,0.0214,0.0014,29.977,7
Au,SA007246-022,0.1437,,mg/L,1,0.5,0.0233,0.0012,30.05,7
Au,SA007246-023,-0.0003,,mg/L,1,>100,0,0.0013,30.014,7
Au,SA007246-024,0.0307,,mg/L,1,0.1,0.005,0.0012,29.997,7
Au,SA007246-025,0.4474,,mg/L,1,1.2,0.0726,0.0001,30.078,7
Au,PATRON,0.4864,,mg/L,1,2.6,0.0184,0.0022,1,1
Au,SA007246-026,0.2762,,mg/L,1,0.6,0.0448,0.0011,30.072,7
Au,SA007246-027,0.0392,,mg/L,1,3.2,0.0063,0.0013,29.99,7
Au,SA007246-028,0.0367,,mg/L,1,5.3,0.0059,0.0014,29.991,7
Au,SA007246-029,0.0023,,mg/L,1,56.7,0.0004,0.0012,30,7
Au,SA007246-030,0.0545,,mg/L,1,0.9,0.0088,0.001,30.061,7
Au,PATRON,0.4824,,mg/L,1,1.4,0.0182,0.0026,1,1
Au,BLANCO,0.001,,mg/L,1,>100,0,0.0011,1,1
Au,BLANCO REACTIVO,0,,mg/L,1,23.6,-0.0006,0.0021,1,1
Au,SA007246-031,0.0365,,mg/L,1,5.1,0.0059,0.0012,30.078,7
Au,SA007246-032,0.2241,,mg/L,1,31.2,0.0362,0.0015,29.998,7
Au,PATRON,0.4861,,mg/L,1,0.8,0.0183,0.0028,1,1
Au,BLANCO,-0.0024,,mg/L,1,76,-0.0001,0.0013,1,1
Au,BLANCO REACTIVO,0,,mg/L,1,67.6,-0.0007,0.0009,1,1
