Analista,,,,,,,,,,
Fecha de inicio,06/03/2023 06:13 p. m.  GMT: 07/03/2023 12:13 a. m.,,,,,,,,,
Hoja de trabajo,SA000577_3,,,,,,,,,
Comentario,,,,,,,,,,
Métodos,Au,,,,,,,,,
,,,,,,,,,,
Método: Au EFAA30 (Llama),,,,,,,,,,
,,,,,,,,,,
,PATRON,0.5059,,mg/L,1.6,0.0156,-0.0004,0.0158,0.0153,0.0156
,BLANCO,0.0005,,mg/L,>100,0,0.0003,0.0001,-0.0002,0.0002
,SA000577-001,1.0286,,mg/L,0.2,0.0956,-0.0002,0.0954,0.0958,0.0957
,SA000577-002,0.1996,,mg/L,0.8,0.0176,-0.0001,0.0175,0.0176,0.0178
,SA000577-003,0.5855,,mg/L,0.4,0.0531,-0.0004,0.0532,0.0529,0.0533
,SA000577-004,0.1973,,mg/L,0.2,0.0174,-0.0003,0.0174,0.0174,0.0174
,SA000577-005,0.254,,mg/L,0.9,0.0225,-0.0004,0.0227,0.0226,0.0223
,BLANCO REACTIVO,0,,mg/L,11.3,0.0004,-0.0007,0.0005,0.0004,0.0005
,PATRON,0.5116,,mg/L,1.2,0.0158,-0.0011,0.0157,0.016,0.0156
,SA000577-006,0.2362,,mg/L,1.2,0.021,-0.0007,0.0208,0.0213,0.0208
,SA000577-007,0.1527,,mg/L,1.3,0.0134,-0.0005,0.0136,0.0135,0.0133
,SA000577-008,0.0028,,mg/L,75.2,0.0002,-0.0006,0.0004,0.0002,0.0001
,SA000577-009,0.3894,,mg/L,0.4,0.0349,-0.0006,0.0348,0.0349,0.0351
,SA000577-010,0.257,,mg/L,1.1,0.0228,-0.0006,0.0229,0.023,0.0226
,PATRON,0.5138,,mg/L,2.8,0.0166,0.0001,0.0171,0.0162,0.0164
,BLANCO,-0.0036,,mg/L,>100,-0.0001,0.0009,0,-0.0003,-0.0001
,SA000577-011,0.318,,mg/L,1.9,0.0295,-0.0005,0.0302,0.0293,0.0291
,SA000577-012,0.2527,,mg/L,1.1,0.0234,-0.0006,0.0231,0.0234,0.0236
,SA000577-013,0.2818,,mg/L,1.2,0.0261,-0.0005,0.0265,0.0258,0.0262
,SA000577-014,0.2842,,mg/L,1,0.0263,-0.0004,0.0266,0.0263,0.0261
,SA000577-015,0.3049,,mg/L,0.4,0.0284,-0.0005,0.0283,0.0285,0.0284
,BLANCO REACTIVO,0,,mg/L,>100,0.0002,-0.0005,0.0003,0.0005,-0.0002
,PATRON,0.503,,mg/L,2.7,0.0162,-0.0009,0.0161,0.0167,0.0159
,SA000577-016,0.3302,,mg/L,1,0.0308,-0.0005,0.031,0.0309,0.0304
,SA000577-017,0.2243,,mg/L,0.3,0.0207,-0.0003,0.0207,0.0208,0.0208
,SA000577-018,0.2178,,mg/L,1.6,0.0202,-0.0002,0.0198,0.0203,0.0203
,SA000577-019,0.0056,,mg/L,12.7,0.0005,-0.0004,0.0005,0.0006,0.0004
,SA000577-020,0.8527,,mg/L,0.7,0.0813,0,0.082,0.0808,0.0812
,BLANCO,-0.0006,,mg/L,>100,0,-0.0004,0,-0.0001,0
,BLANCO REACTIVO,0,,mg/L,73.1,0.0003,-0.0002,0.0003,0.0006,0.0001
,PATRON,0.491,,mg/L,0.3,0.0158,-0.0006,0.0158,0.0158,0.0159
BCO,,,mg/L,,,,,,,
