Analista,GGP,,,,,,,,
Fecha de inicio,05:30 p. m. 15/12/2025  GMT: 11:30 p. m. 15/12/2025,,,,,,,,
Hoja de trabajo,SA007220_3,,,,,,,,
Comentario,,,,,,,,,
Métodos,Au,,,,,,,,
,,,,,,,,,
Peso nominal,1,Volumen nominal,1,,,,,,
Método: Au EFAA30 (Llama),,,,,,,,,
,,,,,,,,,
,PATRON,0.5017,,mg/L,1,0.4,0.0186,0.0005,
,BLANCO,-0.0021,,mg/L,1,>100,-0.0001,-0.0007,
,BLANCO REACTIVO,0,,mg/L,1,>100,0,0.0011,
,SA007220-001,0.024,,mg/L,1,3.2,0.0038,0.0011,30
,SA007220-002,0.0224,,mg/L,1,11,0.0035,0.0009,30.02
,SA007220-003,0.0319,,mg/L,1,4.4,0.005,0.0009,30
,SA007220-004,0.0389,,mg/L,1,2.9,0.0062,0.0012,30.01
,SA007220-005,0.033,,mg/L,1,4.1,0.0052,0.0009,30.02
,PATRON,0.4865,,mg/L,1,1.4,0.0181,0.0027,
,SA007220-006,0.0512,,mg/L,1,1.5,0.0081,0.0011,30.02
,SA007220-007,0.0011,,mg/L,1,>100,0.0002,0.0009,30.02
,SA007220-009,0.0471,,mg/L,1,1.7,0.0075,0.0006,30
,SA007220-010,0.0001,,mg/L,1,>100,0,0.0014,30
,PATRON,0.4892,,mg/L,1,2.6,0.0182,0.0018,
,BLANCO,-0.0026,,mg/L,1,>100,-0.0001,0.0003,
,BLANCO REACTIVO,0,,mg/L,1,13.4,0.0008,0.002,
,SA007220-011,0.1113,,mg/L,1,2.3,0.0177,0.0015,30
,SA007220-012,0.0357,,mg/L,1,2.2,0.0057,0.0018,30.01
,SA007220-013,0.0334,,mg/L,1,2.4,0.0053,0.0011,30
,SA007220-014,0.0361,,mg/L,1,3.9,0.0057,0.0014,30
,SA007220-015,0.0277,,mg/L,1,2.6,0.0044,0.0015,30.01
,PATRON,0.4806,,mg/L,1,0.9,0.0183,0.0012,
,SA007220-016,0.0088,,mg/L,1,8.2,0.0014,0.0016,30.02
,SA007220-017,0.0219,,mg/L,1,7.5,0.0035,0.0014,30.02
,SA007220-018,0.0466,,mg/L,1,2.7,0.0074,0.0008,30.02
,SA007220-019,0.0696,,mg/L,1,2.6,0.011,0.0008,30
,SA007220-020,0.0228,,mg/L,1,3.8,0.0037,0.0008,30
,PATRON,0.5137,,mg/L,1,2.9,0.0191,0.0019,
,BLANCO,0.0089,,mg/L,1,>100,0.0003,0.0006,
,BLANCO REACTIVO,0,,mg/L,1,>100,0,0.0001,
,SA007220-021,0.0247,,mg/L,1,3.9,0.004,0.0001,30.01
,SA007220-022,0.0428,,mg/L,1,4.8,0.007,0.0007,30
,SA007220-023,0.0503,,mg/L,1,3.2,0.0082,0.0002,30
,SA007220-024,0.0525,,mg/L,1,1.9,0.0085,0.0005,30
,SA007220-025,0.037,,mg/L,1,0.9,0.006,0.0007,30.01
,PATRON,0.5142,,mg/L,1,4.1,0.0191,0.0016,
,SA007220-026,0.1102,,mg/L,1,0.2,0.0175,0.001,30
,SA007220-027,0.0324,,mg/L,1,5.9,0.005,0.0014,30.02
,SA007220-028,0.1076,,mg/L,1,1.7,0.0171,0.0004,30.03
,SA007220-029,0.0454,,mg/L,1,1.5,0.007,0.0007,30.03
,SA007220-030,0.0222,,mg/L,1,13,0.0034,0.0013,30.02
,PATRON,0.5028,,mg/L,1,3.2,0.0183,0.0019,
,BLANCO,0.0061,,mg/L,1,>100,0.0002,0.0001,
,BLANCO REACTIVO,0,,mg/L,1,>100,0.0001,0.0002,
,SA007220-031,0.0238,,mg/L,1,1.8,0.0037,0.001,30.03
,SA007220-032,0.9898,,mg/L,1,1.2,0.1594,0.0013,30
,PATRON,0.5001,,mg/L,1,14.6,0.0182,0.0024,
,BLANCO,0.0061,,mg/L,1,76.9,0.0002,0.0008,
,BLANCO REACTIVO,0,,mg/L,1,29,-0.0005,0.0017,
