PATRON,5.0189,,mg/L,0.5,0.0516,0.0515,0.0518,0.0514
BLANCO,-0.014,,mg/L,28.8,-0.0001,-0.0001,-0.0002,-0.0002
BLANCO REACTIVO,0,,mg/L,>100,0,-0.0001,0.0001,0.0001
CANAL,-0.0096,,mg/L,>100,-0.0001,-0.0003,0,0
FASE 1,-0.0083,,mg/L,81.4,-0.0001,-0.0001,0,-0.0001
FASE 2,0.0046,,mg/L,>100,0,0.0001,-0.0001,0.0001
FASE 3,0.0044,,mg/L,>100,0,0.0001,0.0002,-0.0001
VSP NORTE,0.0017,,mg/L,>100,0,-0.0001,0,0.0001
CELDA 8.1,0.0013,,mg/L,>100,0,0,0,0
CELDA 8.2,-0.0095,,mg/L,40.5,-0.0001,-0.0001,-0.0001,-0.0001
CELDA 8.3,0.4233,,mg/L,1.9,0.0044,0.0044,0.0043,0.0045
PATRON,4.8365,,mg/L,0.6,0.0497,0.0499,0.0498,0.0494
BLANCO,0.0094,,mg/L,>100,0.0001,0,0.0002,0.0001
BLANCO REACTIVO,0,,mg/L,41.1,-0.0003,-0.0002,-0.0005,-0.0003
