Analista,JGS,,,,,,,,
Fecha de inicio,10/03/2023 01:52 a. m.  GMT: 10/03/2023 07:52 a. m.,,,,,,,,
Hoja de trabajo,SA000632-RE_6,,,,,,,,
Comentario,,,,,,,,,
Métodos,Ag,,,,,,,,
,,,,,,,,,
Método: Ag HCL (Llama),,,,,,,,,
,,,,,,,,,
,PATRON,1.0091,,mg/L,1.1,0.1198,0.1212,0.1185,0.1197
,BLANCO,0,,mg/L,>100,0,0,0,0
,BLANCO REACTIVO,0,,mg/L,>100,-0.0001,-0.0001,-0.0003,0
,SA000598-021,2.5138,,mg/L,2.9,0.0121,0.0124,0.0117,0.0122
,SA000598-022,2.7637,,mg/L,1.5,0.0133,0.0131,0.0134,0.0134
,SA000598-024,2.4513,,mg/L,2.7,0.0118,0.0115,0.0121,0.0118
,SA000598-025,26.2822,,mg/L,2,0.1251,0.128,0.1236,0.1237
,SA000598-026,1.8486,,mg/L,3.5,0.0089,0.0088,0.0093,0.0087
,PATRON,1.0064,,mg/L,1.5,0.1194,0.1186,0.1214,0.1181
,SA000598-027,1.5465,,mg/L,2.3,0.0074,0.0075,0.0072,0.0075
,SA000598-028,1.3156,,mg/L,2.1,0.0063,0.0063,0.0064,0.0062
,SA000598-029,5.2257,,mg/L,1.3,0.0251,0.0255,0.0249,0.0249
,SA000598-030,2.4719,,mg/L,2.5,0.0119,0.0122,0.0118,0.0116
,SA000598-031,2.4362,,mg/L,3.6,0.0117,0.012,0.0112,0.0119
,PATRON,1.0002,,mg/L,3,0.1186,0.1202,0.1212,0.1146
,BLANCO,0.0012,,mg/L,>100,0.0001,0,0.0003,0.0002
,BLANCO REACTIVO,0,,mg/L,>100,0.0001,0.0002,0,0
