PATRON,4.8735,,mg/L,1.5,0.0549,-0.0032,0.0557,0.0541,0.0548
BLANCO,-0.0083,,mg/L,>100,-0.0001,-0.0038,0.0001,-0.0005,0.0001
BLANCO REACTIVO,0,,mg/L,6.5,0.0026,-0.0008,0.0025,0.0028,0.0025
FASE 1,0.0284,,mg/L,96.7,0.0003,-0.0041,0.0007,0,0.0003
FASE 2,0.0149,,mg/L,>100,0.0002,-0.0038,0.0005,0.0002,-0.0001
FASE 3,0.0556,,mg/L,71.9,0.0006,-0.0037,0.0005,0.0002,0.0012
VSP NORTE,0.0137,,mg/L,>100,0.0002,-0.0039,0,0.0006,-0.0002
CELDA 8.1,0.0077,,mg/L,>100,0.0001,-0.004,-0.0002,-0.0001,0.0005
CELDA 8.2,0.0399,,mg/L,62.1,0.0005,-0.004,0.0007,0.0006,0.0001
CELDA 8.3,0.0607,,mg/L,50.4,0.0007,-0.0043,0.0008,0.001,0.0003
PATRON,5.0155,,mg/L,0.6,0.0564,-0.004,0.056,0.0565,0.0567
BLANCO,-0.0166,,mg/L,>100,-0.0002,-0.0045,0.0009,-0.0013,-0.0001
BLANCO REACTIVO,0,,mg/L,23.2,0.0022,-0.0022,0.0021,0.0018,0.0028
