Analista,,,,,,,,,
Fecha de inicio,19/08/2024 03:21 a. m.  GMT: 19/08/2024 09:21 a. m.,,,,,,,,
Hoja de trabajo,SA005126-RE_3,,,,,,,,
Comentario,,,,,,,,,
Métodos,Au,,,,,,,,
,,,,,,,,,
Método: Au EFAA30 (Llama),,,,,,,,,
,,,,,,,,,
,PATRON,0.4965,,mg/L,2.6,0.0174,0.0178,0.0175,0.0169
,BLANCO,-0.0109,,mg/L,>100,-0.0004,0,-0.0002,-0.0009
,BLANCO REACTIVO,0,,mg/L,11.9,-0.0027,-0.003,-0.0028,-0.0023
,SA005112-019,0.2127,,mg/L,2.8,0.0213,0.0207,0.0219,0.0213
,SA005112-020,0.1005,,mg/L,2.9,0.0101,0.0097,0.0102,0.0103
,SA005112-021,0.1602,,mg/L,0.4,0.016,0.016,0.016,0.0161
,SA005112-022,0.007,,mg/L,51.4,0.0007,0.0011,0.0007,0.0004
,SA005112-023,0.201,,mg/L,3.4,0.0201,0.0198,0.0197,0.0209
,PATRON,0.5015,,mg/L,0.6,0.0176,0.0175,0.0175,0.0177
,SA005112-024,0.109,,mg/L,1.4,0.0109,0.0111,0.0109,0.0108
,SA005112-025,0.1081,,mg/L,3.5,0.0108,0.0105,0.0107,0.0112
,PATRON,0.4873,,mg/L,1.4,0.0171,0.0168,0.0173,0.0171
,BLANCO,0.0072,,mg/L,>100,0.0003,0.0005,0.0004,-0.0002
,BLANCO REACTIVO,0,,mg/L,5.9,-0.002,-0.0021,-0.0019,-0.0019
