Analista,,,,,,,,,,
Fecha de inicio,07:03 a. m. 13/01/2026  GMT: 01:03 p. m. 13/01/2026,,,,,,,,,
Hoja de trabajo,SA007646,,,,,,,,,
Comentario,,,,,,,,,,
Métodos,Au,,,,,,,,,
,,,,,,,,,,
Peso nominal,1,Volumen nominal,1,,,,,,,
Método: Au EFAA30 (Llama),,,,,,,,,,
,,,,,,,,,,
Au,PATRON,0.5163,,mg/L,1,2.2,0.0202,0.0014,1,1
Au,BLANCO,0.0091,,mg/L,1,33,0.0004,0.0018,1,1
Au,BLANCO REACTIVO,0,,mg/L,1,22.3,-0.0011,0.0011,1,1
Au,SA007646-001,0.1861,,mg/L,1,1.2,0.0313,0.0022,30.005,7
Au,SA007646-002,0.182,,mg/L,1,1.1,0.0306,0.0026,30.015,7
Au,SA007646-003,0.0791,,mg/L,1,1.8,0.0132,0.0017,30.011,7
Au,SA007646-004,0.1032,,mg/L,1,1.9,0.0173,0.0018,30.018,7
Au,SA007646-005,0.0618,,mg/L,1,3.8,0.0103,0.0026,30.015,7
Au,PATRON,0.4995,,mg/L,1,2.2,0.0195,0.0031,1,1
Au,SA007646-006,0.0985,,mg/L,1,2,0.0165,0.0023,30.02,7
Au,SA007646-007,0.0288,,mg/L,1,5.3,0.0048,0.0027,30.027,7
Au,SA007646-008,0.047,,mg/L,1,3.1,0.0078,0.0025,30.035,7
Au,SA007646-009,0.0073,,mg/L,1,21.8,0.0012,0.0015,30,7
Au,SA007646-010,0.0584,,mg/L,1,3.2,0.0097,0.0019,30.026,7
Au,PATRON,0.4868,,mg/L,1,2.2,0.0196,-0.0005,1,1
Au,BLANCO,-0.0051,,mg/L,1,79.2,-0.0002,-0.0014,1,1
Au,BLANCO REACTIVO,0,,mg/L,1,12.5,0.0008,-0.001,1,1
Au,SA007646-011,0.072,,mg/L,1,0.1,0.012,0.0019,30.01,7
Au,SA007646-012,0.7376,,mg/L,1,0.5,0.1259,-0.0014,30.011,7
Au,SA007646-013,0.1225,,mg/L,1,2.4,0.0212,-0.0011,30.011,7
Au,SA007646-014,0.2004,,mg/L,1,2.4,0.0346,-0.0007,30.031,7
Au,SA007646-015,0.0735,,mg/L,1,3.5,0.0123,0.002,30.021,7
Au,PATRON,0.4998,,mg/L,1,9.3,0.0195,0.0028,1,1
Au,SA007646-016,0.2167,,mg/L,1,1.2,0.0366,0.0016,30.009,7
Au,SA007646-017,0.2137,,mg/L,1,0.5,0.0361,0.0018,30.025,7
Au,SA007646-018,0.1522,,mg/L,1,2.2,0.0256,0.0017,30.023,7
Au,SA007646-019,0.3848,,mg/L,1,1.1,0.0656,0.0018,30.025,7
Au,SA007646-020,0.2694,,mg/L,1,0.7,0.0456,0.0016,30.018,7
Au,PATRON,0.513,,mg/L,1,1.2,0.0201,0.0031,1,1
Au,BLANCO,-0.0032,,mg/L,1,>100,-0.0001,0.0018,1,1
Au,BLANCO REACTIVO,0,,mg/L,1,33.6,-0.0009,0.0007,1,1
Au,SA007646-021,0.1741,,mg/L,1,1.2,0.0293,0.002,30.005,7
Au,SA007646-022,0.2214,,mg/L,1,1,0.0374,0.002,30.031,7
Au,SA007646-023,0.2308,,mg/L,1,1.6,0.039,0.0022,30.031,7
Au,SA007646-024,0.2942,,mg/L,1,1.7,0.0499,0.0022,30.004,7
Au,SA007646-025,0.0647,,mg/L,1,2,0.0108,0.002,30.012,7
Au,PATRON,0.5134,,mg/L,1,1.2,0.0201,0.0028,1,1
Au,SA007646-026,0.0153,,mg/L,1,4.7,0.0025,0.0021,30.003,7
Au,SA007646-027,0.4592,,mg/L,1,2.3,0.0786,0.0019,30.029,7
Au,SA007646-028,0.1201,,mg/L,1,3.4,0.0201,0.0022,30.009,7
Au,SA007646-029,0.094,,mg/L,1,2,0.0157,0.0021,30.002,7
Au,SA007646-030,0.5653,,mg/L,1,1.2,0.0971,0.0017,30.005,7
Au,PATRON,0.5055,,mg/L,1,3.2,0.0198,0.003,1,1
Au,BLANCO,-0.0133,,mg/L,1,92.4,-0.0005,0.0015,1,1
Au,BLANCO REACTIVO,0,,mg/L,1,7.6,-0.0012,0.0011,1,1
Au,SA007646-031,0.0051,,mg/L,1,39.3,0.0008,0.0026,30.019,7
Au,SA007646-032,0.6782,,mg/L,1,1.5,0.1137,0.0023,30.007,7
Au,PATRON,0.5196,,mg/L,1,2.6,0.0198,0.0037,1,1
Au,BLANCO,-0.0034,,mg/L,1,>100,-0.0001,0.0023,1,1
Au,BLANCO REACTIVO,0,,mg/L,1,26.3,-0.0013,0.0004,1,1
