PATRON,4.8884,,mg/L,0.4,0.0496,1,1,1,0.0495,0.0494,0.0498
BLANCO,-0.0488,,mg/L,12.1,-0.0005,1,1,1,-0.0004,-0.0006,-0.0005
BLANCO REACTIVO,0,,mg/L,10.7,-0.0006,1,1,1,-0.0006,-0.0006,-0.0007
FASE 1,0.0227,,mg/L,2.5,0.0002,1,1,1,0.0002,0.0002,0.0002
PATRON,4.8873,,mg/L,0.7,0.0495,1,1,1,0.0499,0.0493,0.0494
FASE 2,0.0395,,mg/L,12.4,0.0004,1,1,1,0.0004,0.0004,0.0005
FASE 3,0.0444,,mg/L,20.9,0.0005,1,1,1,0.0004,0.0005,0.0005
PATRON,4.9309,,mg/L,0.7,0.05,1,1,1,0.0497,0.0499,0.0504
BLANCO,0.0144,,mg/L,73.9,0.0001,1,1,1,0.0001,0.0001,0.0003
BLANCO REACTIVO,0,,mg/L,24.3,-0.0005,1,1,1,-0.0005,-0.0004,-0.0007
VSP NORTE,0.0162,,mg/L,47.3,0.0002,1,1,1,0.0002,0.0001,0.0002
CELDA 8.1,0.0205,,mg/L,72.5,0.0002,1,1,1,0,0.0003,0.0003
CELDA 8.2,0.0252,,mg/L,62.7,0.0003,1,1,1,0.0003,0.0001,0.0004
CELDA 8.3,4.3047,,mg/L,1,0.0437,1,1,1,0.0433,0.0442,0.0436
PATRON,4.9531,,mg/L,0.2,0.0502,1,1,1,0.0503,0.0502,0.0501
BLANCO,0.0078,,mg/L,>100,0.0001,1,1,1,0.0002,-0.0002,0.0002
BLANCO REACTIVO,0,,mg/L,43.7,-0.0006,1,1,1,-0.0003,-0.0009,-0.0006
