Analista,ALS,,,,,,,,,
Fecha de inicio,26/06/2024 05:43 a. m.  GMT: 26/06/2024 11:43 a. m.,,,,,,,,,
Hoja de trabajo,SA004526_3,,,,,,,,,
Comentario,,,,,,,,,,
Métodos,Au,,,,,,,,,
,,,,,,,,,,
Método: Au EFAA30 (Llama),,,,,,,,,,
,,,,,,,,,,
,PATRON,0.5087,,mg/L,3,0.0191,0.0021,0.0196,0.0185,0.0191
,BLANCO,0.0164,,mg/L,8.9,0.0006,0.0002,0.0007,0.0006,0.0006
,BLANCO REACTIVO,0,,mg/L,15.6,0.0012,-0.0012,0.0015,0.0012,0.0011
,SA004526-001,0.346,,mg/L,1.6,0.0373,-0.0012,0.0366,0.0378,0.0374
,SA004526-002,0.3277,,mg/L,0.6,0.0354,-0.0012,0.0356,0.0354,0.0351
,SA004526-003,0.1724,,mg/L,4.9,0.0185,-0.0015,0.0175,0.0192,0.0189
,SA004526-004,0.2393,,mg/L,0.4,0.0257,-0.0012,0.0257,0.0256,0.0258
,SA004526-005,0.0028,,mg/L,>100,0.0003,-0.0016,0,0.0007,0.0002
,PATRON,0.4957,,mg/L,2.9,0.0186,-0.0004,0.018,0.0189,0.0189
,SA004526-006,0.0027,,mg/L,>100,0.0003,-0.0015,0.0005,-0.0004,0.0007
,SA004526-007,0.1778,,mg/L,0.8,0.0191,-0.0013,0.019,0.019,0.0193
,SA004526-008,0.1704,,mg/L,3.9,0.0183,-0.0014,0.0177,0.0181,0.0191
,SA004526-009,0.3527,,mg/L,0.5,0.0381,-0.0002,0.038,0.038,0.0383
,SA004526-010,0.5598,,mg/L,0.9,0.0608,-0.0003,0.0602,0.0613,0.0609
,PATRON,0.4832,,mg/L,2.1,0.0181,0.0001,0.0186,0.018,0.0178
,BLANCO,-0.0024,,mg/L,>100,-0.0001,-0.0022,-0.0007,0.0003,0.0001
,BLANCO REACTIVO,0,,mg/L,37.4,0.0009,-0.0008,0.0006,0.0013,0.0009
,SA004526-011,0.2905,,mg/L,1.4,0.0313,-0.0007,0.0309,0.0312,0.0318
,SA004526-012,0.293,,mg/L,3.1,0.0315,-0.0013,0.0304,0.0322,0.032
,SA004526-013,0.3564,,mg/L,0.6,0.0384,-0.0009,0.0381,0.0386,0.0386
,SA004526-014,0.1782,,mg/L,0.7,0.0191,-0.001,0.0191,0.0193,0.019
,SA004526-015,0.1688,,mg/L,2,0.0181,-0.0011,0.0184,0.0183,0.0177
,PATRON,0.4983,,mg/L,0.9,0.0187,0,0.0189,0.0185,0.0187
,SA004526-016,0.08,,mg/L,2.8,0.0086,-0.0007,0.0083,0.0087,0.0087
,SA004526-017,0.1231,,mg/L,54.8,0.0132,0.0004,0.0171,0.0049,0.0177
,PATRON,0.4959,,mg/L,3.2,0.0186,0.0001,0.0189,0.019,0.0179
,BLANCO,0.005,,mg/L,>100,0.0002,-0.002,0.0008,-0.0002,-0.0001
,BLANCO REACTIVO,0,,mg/L,25.9,0.0009,-0.0008,0.0006,0.001,0.0011
