PATRON,0.1976,,mg/L,1.3,0.0004,0.027,0.001,0.0272,0.0266,0.0272
BLANCO,-0.0017,,mg/L,>100,0.0004,-0.0002,0.0001,-0.0007,0.0002,-0.0002
BLANCO REACTIVO,0,,mg/L,>100,0.0002,-0.0002,0,-0.0005,-0.0001,0
H,0.119,,mg/L,1.7,0.0003,0.0163,0.0023,0.0162,0.0166,0.016
C1,0.1076,,mg/L,1.7,0.0002,0.0147,0.0021,0.0144,0.0149,0.0148
C2,0.1002,,mg/L,2.4,0.0003,0.0137,0.0023,0.0137,0.0134,0.014
PATRON,0.2036,,mg/L,1.8,0.0005,0.0278,0.0041,0.0281,0.028,0.0272
BLANCO,-0.0003,,mg/L,>100,0.0001,0,0.0031,-0.0002,0,0
BLANCO REACTIVO,0,,mg/L,5.9,0.0002,-0.0028,0.0014,-0.0026,-0.0028,-0.0029
C3,0.1034,,mg/L,1.6,0.0002,0.0142,0.0052,0.0143,0.0143,0.0139
C4,0.0866,,mg/L,3.6,0.0004,0.0118,0.0053,0.0117,0.0123,0.0116
T,0.062,,mg/L,4.2,0.0004,0.0085,0.0059,0.0089,0.0083,0.0083
PATRON,0.1993,,mg/L,1.4,0.0004,0.0272,0.0043,0.0268,0.0273,0.0275
BLANCO,0.0026,,mg/L,70.6,0.0003,0.0004,0.0064,0.0001,0.0004,0.0006
BLANCO REACTIVO,0,,mg/L,2.9,0.0002,-0.0054,0.0023,-0.0054,-0.0052,-0.0055
ELY1,0.1095,,mg/L,2.3,0.0003,0.015,0.0094,0.015,0.0153,0.0146
ELY2,0.0541,,mg/L,4.1,0.0003,0.0074,0.0093,0.0077,0.0071,0.0075
ELY3,0.0854,,mg/L,2.1,0.0002,0.0117,0.0095,0.0116,0.012,0.0115
PATRON,0.2051,,mg/L,2,0.0006,0.028,0.0125,0.028,0.0286,0.0274
BLANCO,-0.0012,,mg/L,>100,0.0004,-0.0002,0.0115,0,0.0001,-0.0006
BLANCO REACTIVO,0,,mg/L,3.9,0.0003,-0.0084,0.0035,-0.0084,-0.0081,-0.0088
ELY4,0.0714,,mg/L,1.4,0.0001,0.0098,0.0135,0.0099,0.0097,0.0097
ELY5,0.0619,,mg/L,1.1,0.0001,0.0085,0.0133,0.0084,0.0085,0.0086
PATRON,0.2026,,mg/L,1.6,0.0004,0.0277,0.0127,0.0272,0.028,0.0279
BLANCO,-0.0043,,mg/L,49.9,0.0003,-0.0006,0.0121,-0.0004,-0.0009,-0.0005
BLANCO REACTIVO,0,,mg/L,3.9,0.0004,-0.009,0.0037,-0.0091,-0.0087,-0.0093
