PATRON,4.9065,,mg/L,1.6,0.0501,1,1,1,0.0491,0.0504,0.0507
BLANCO,-0.0676,,mg/L,16.2,-0.0007,1,1,1,-0.0006,-0.0007,-0.0008
BLANCO REACTIVO,0,,mg/L,23.1,0.0003,1,1,1,0.0002,0.0004,0.0003
FASE 1,0.0282,,mg/L,14,0.0003,1,1,1,0.0003,0.0003,0.0003
PATRON,4.9074,,mg/L,0.8,0.0501,1,1,1,0.0496,0.0504,0.0502
FASE 2,0.0006,,mg/L,>100,0,1,1,1,-0.0002,0.0002,0
FASE 3,0.0574,,mg/L,16.3,0.0006,1,1,1,0.0005,0.0006,0.0007
PATRON,4.8647,,mg/L,0.1,0.0496,1,1,1,0.0496,0.0497,0.0497
BLANCO,-0.079,,mg/L,4.7,-0.0008,1,1,1,-0.0008,-0.0009,-0.0008
BLANCO REACTIVO,0,,mg/L,16.3,-0.0003,1,1,1,-0.0003,-0.0004,-0.0003
VSP NORTE,-0.0078,,mg/L,>100,-0.0001,1,1,1,-0.0001,-0.0002,0.0001
CELDA 8.1,0.0174,,mg/L,>100,0.0002,1,1,1,0,0.0002,0.0004
CELDA 8.2,0.004,,mg/L,>100,0,1,1,1,0.0001,0,0.0001
CELDA 8.3,1.6987,,mg/L,2.1,0.0174,1,1,1,0.017,0.0175,0.0177
PATRON,4.8795,,mg/L,2.1,0.0498,1,1,1,0.0489,0.051,0.0495
BLANCO,-0.0032,,mg/L,>100,0,1,1,1,0,0,-0.0001
BLANCO REACTIVO,0,,mg/L,8.9,-0.002,1,1,1,-0.0018,-0.0022,-0.002
