Analista,JS,,,,,,,
Fecha de inicio,10:41 a. m. 18/01/2026  GMT: 04:41 p. m. 18/01/2026,,,,,,,
Hoja de trabajo,SA007717 02,,,,,,,
Comentario,,,,,,,,
Métodos,Au,,,,,,,
,,,,,,,,
Método: Au EFAA30 (Llama),,,,,,,,
,,,,,,,,
,PATRON,0.4994,,mg/L,1,1.4,0.016,
,BLANCO,0.0015,,mg/L,1,>100,0,
,BLANCO REACTIVO,0,,mg/L,1,52.9,-0.0009,
,SA007717-001,0.0488,,mg/L,1,8.1,0.0067,30
,SA007717-002,0.0518,,mg/L,1,9.4,0.0071,30
,SA007717-003,0.0001,,mg/L,1,>100,0,30
,SA007717-004,0.0127,,mg/L,1,32.5,0.0017,30
,SA007717-005,0.0326,,mg/L,1,25,0.0045,30
,PATRON,0.49,,mg/L,1,6.9,0.0157,
,SA007717-006,0.0343,,mg/L,1,13.3,0.0047,30
,SA007717-007,0.0005,,mg/L,1,>100,0.0001,30
,SA007717-008,0.0005,,mg/L,1,13.3,-0.0004,30
,SA007717-009,-0.011,,mg/L,1,44.4,-0.0015,3
,SA007717-010,0.4398,,mg/L,1,1.3,0.0615,30
,PATRON,0.5051,,mg/L,1,6.9,0.0163,
,BLANCO,-0.0126,,mg/L,1,84.9,-0.0004,
,BLANCO REACTIVO,0,,mg/L,1,>100,0.0001,
,SA007717-011,0.283,,mg/L,1,1.5,0.0396,30
,SA007717-012,0.5952,,mg/L,1,2,0.0845,3
,SA007717-013,0.7511,,mg/L,1,1.8,0.1071,3
,SA007717-014,0.3418,,mg/L,1,4.4,0.048,30.01
,SA007717-015,0.1359,,mg/L,1,1,0.0189,30
,PATRON,0.4919,,mg/L,1,1.1,0.0159,
,SA007717-016,0.0469,,mg/L,1,8.9,0.0065,30
,SA007717-017,0.613,,mg/L,1,1.1,0.0871,30
,SA007717-018,0.2083,,mg/L,1,2.3,0.029,30
,SA007717-019,0.762,,mg/L,1,3.2,0.1087,30
,SA007717-020,0.7381,,mg/L,1,1,0.1053,30.01
,PATRON,0.5041,,mg/L,1,2.3,0.0177,
,BLANCO,0.0158,,mg/L,1,34.6,0.0006,
,BLANCO REACTIVO,0,,mg/L,1,13.6,0.0009,
,SA007717-021,0.2454,,mg/L,1,1.4,0.0367,30.01
,SA007717-022,0.0053,,mg/L,1,41.1,0.0008,30
,SA007717-023,0.0519,,mg/L,1,1.8,0.0079,30
,SA007717-024,0.0282,,mg/L,1,5.7,0.0043,30
,SA007717-025,0.0232,,mg/L,1,16,0.0035,30.01
,PATRON,0.499,,mg/L,1,2.3,0.0176,
,SA007717-026,0.0486,,mg/L,1,8.8,0.0074,30.01
,SA007717-027,0.0476,,mg/L,1,0.6,0.0072,3
,SA007717-028,0.0273,,mg/L,1,9.8,0.0041,30
,SA007717-029,0.0515,,mg/L,1,0.7,0.0078,30
,SA007717-030,0.0464,,mg/L,1,3.1,0.007,30
,PATRON,0.4797,,mg/L,1,0.3,0.0169,
,BLANCO,-0.0186,,mg/L,1,37.3,-0.0007,
,BLANCO REACTIVO,0,,mg/L,1,95.6,0.0003,
,SA007717-031,0.2212,,mg/L,1,1.8,0.0309,30.01
,SA007717-032,1.9046,,mg/L,1,1.6,0.2641,30.01
,PATRON,0.4891,,mg/L,1,2,0.0172,
,BLANCO,0.0079,,mg/L,1,>100,0.0003,
,BLANCO REACTIVO,0,,mg/L,1,14.3,0.0007,
