PATRON,5.0621,,mg/L,2.7,0.1007,0.1024,0.1021,0.0975
BLANCO,0.0066,,mg/L,>100,0.0001,0,0.0003,0.0001
BLANCO REACTIVO,0,,mg/L,>100,0,0,0.0001,-0.0001
H,4.2958,,mg/L,1,0.0856,0.0861,0.0861,0.0847
C1,4.3469,,mg/L,0.5,0.0866,0.0861,0.0868,0.0869
C2,4.2796,,mg/L,0.4,0.0853,0.0857,0.0853,0.0849
PATRON,4.9848,,mg/L,1,0.0991,0.0984,0.0987,0.1003
BLANCO,0.0016,,mg/L,>100,0,0.0002,-0.0002,0.0001
BLANCO REACTIVO,0,,mg/L,>100,-0.0001,0.0001,-0.0002,-0.0001
C3,4.1489,,mg/L,0.8,0.0827,0.0829,0.082,0.0833
C4,4.1675,,mg/L,0.4,0.0831,0.0827,0.0833,0.0833
T,4.114,,mg/L,0.3,0.0821,0.0819,0.082,0.0823
PATRON,5.0083,,mg/L,0.6,0.0996,0.0996,0.099,0.1002
BLANCO,0.0088,,mg/L,69.7,0.0002,0.0003,0,0.0002
BLANCO REACTIVO,0,,mg/L,>100,0,0,0.0001,-0.0001
DP1,0.0836,,mg/L,6,0.0017,0.0017,0.0016,0.0017
DP2,0.1728,,mg/L,2.1,0.0035,0.0035,0.0034,0.0035
DP3,0.1153,,mg/L,0.4,0.0023,0.0023,0.0023,0.0023
PATRON,4.9815,,mg/L,0.6,0.0991,0.0988,0.0987,0.0997
BLANCO,0.0067,,mg/L,41.4,0.0001,0.0001,0.0001,0.0002
BLANCO REACTIVO,0,,mg/L,>100,0,-0.0001,0,0.0001
DP4,0.0984,,mg/L,4.8,0.002,0.002,0.0019,0.0021
DP5,0.0817,,mg/L,3.3,0.0016,0.0017,0.0016,0.0017
DP6,27.6533,,mg/L,1.1,0.5046,0.5099,0.4985,0.5054
PATRON,5.0089,,mg/L,1.2,0.0996,0.0999,0.0983,0.1006
BLANCO,0.0105,,mg/L,66,0.0002,0.0001,0.0001,0.0004
BLANCO REACTIVO,0,,mg/L,74,0.0001,0.0001,0,0.0001
ELY1,4.1093,,mg/L,0.7,0.082,0.0816,0.0827,0.0816
ELY2,3.9989,,mg/L,0.8,0.0798,0.0793,0.0805,0.0796
ELY3,3.9993,,mg/L,0.8,0.0798,0.0805,0.0796,0.0793
PATRON,5.0346,,mg/L,0.6,0.1001,0.0994,0.1004,0.1006
BLANCO,0.0014,,mg/L,>100,0,0.0001,-0.0002,0.0001
BLANCO REACTIVO,0,,mg/L,43.1,0.0002,0.0001,0.0001,0.0003
ELY4,3.9016,,mg/L,0.6,0.0779,0.0781,0.0773,0.0782
ELY5,3.7572,,mg/L,0.4,0.075,0.0748,0.0753,0.075
PATRON,4.9936,,mg/L,1.2,0.0993,0.0991,0.1006,0.0982
BLANCO,-0.0028,,mg/L,>100,-0.0001,0.0001,0,-0.0002
BLANCO REACTIVO,0,,mg/L,50.3,0.0002,0.0001,0.0002,0.0002
