PATRON,0.2044,,mg/L,1,0.0003,0.0271,0.0001,0.0272,0.0274,0.0268
BLANCO,0.001,,mg/L,89.8,0.0001,0.0001,0.0001,0.0003,0,0.0001
BLANCO REACTIVO,0,,mg/L,94.6,0.0001,-0.0001,0.0004,-0.0002,0,-0.0001
H,0.1,,mg/L,1.4,0.0002,0.0132,0.0007,0.013,0.0134,0.0133
C1,0.0955,,mg/L,1.3,0.0002,0.0127,0.0009,0.0127,0.0128,0.0125
C2,0.0912,,mg/L,1.8,0.0002,0.0121,0.0009,0.0119,0.0121,0.0123
PATRON,0.2063,,mg/L,2.6,0.0007,0.0274,0.0001,0.027,0.0282,0.0269
BLANCO,-0.0008,,mg/L,>100,0.0005,-0.0001,-0.0002,0.0003,-0.0006,0
BLANCO REACTIVO,0,,mg/L,>100,0.0001,0,-0.0003,0.0001,-0.0001,-0.0001
C3,0.085,,mg/L,0.5,0.0001,0.0113,0.0011,0.0112,0.0112,0.0113
C4,0.0819,,mg/L,3.8,0.0004,0.0108,0.0008,0.0113,0.0105,0.0107
T,0.0718,,mg/L,1.5,0.0001,0.0095,0.0005,0.0095,0.0094,0.0097
PATRON,0.2022,,mg/L,3.9,0.001,0.0268,-0.0005,0.0274,0.0256,0.0274
BLANCO,0.0026,,mg/L,>100,0.0004,0.0003,-0.0009,0.0008,0.0001,0.0002
BLANCO REACTIVO,0,,mg/L,>100,0.0003,0.0001,-0.0007,0.0004,0.0003,-0.0003
DP1,0.2524,,mg/L,0.9,0.0003,0.0335,0.0003,0.0336,0.0337,0.0331
DP2,0.0879,,mg/L,1.6,0.0002,0.0116,0,0.0114,0.0118,0.0117
DP3,0.0493,,mg/L,4.9,0.0003,0.0065,-0.0006,0.0063,0.0069,0.0063
PATRON,0.2038,,mg/L,2,0.0005,0.027,-0.0009,0.0275,0.0272,0.0264
BLANCO,0.0037,,mg/L,55.5,0.0003,0.0005,-0.0015,0.0002,0.0006,0.0007
BLANCO REACTIVO,0,,mg/L,27.3,0.0002,0.0006,-0.0013,0.0004,0.0006,0.0007
DP4,0.0334,,mg/L,3.6,0.0002,0.0044,-0.0008,0.0043,0.0044,0.0046
DP5,0.1497,,mg/L,1.5,0.0003,0.0198,-0.0003,0.0196,0.0198,0.0202
DP6,0.1542,,mg/L,1.9,0.0004,0.0204,-0.0004,0.0208,0.0205,0.02
PATRON,0.2061,,mg/L,2.1,0.0006,0.0273,-0.0014,0.027,0.027,0.028
BLANCO,0.0018,,mg/L,85.7,0.0002,0.0002,-0.0023,0.0003,0,0.0004
BLANCO REACTIVO,0,,mg/L,30.1,0.0003,0.0008,-0.0017,0.0008,0.0011,0.0006
ELY1,0.0854,,mg/L,3.3,0.0004,0.0113,-0.0013,0.0113,0.0117,0.0109
ELY2,0.076,,mg/L,2.7,0.0003,0.0101,-0.0013,0.0103,0.0101,0.0098
ELY3,0.0644,,mg/L,3,0.0003,0.0085,-0.0014,0.0082,0.0086,0.0087
PATRON,0.2057,,mg/L,1.4,0.0004,0.0273,-0.0023,0.0277,0.027,0.0271
BLANCO,-0.0013,,mg/L,>100,0.0002,-0.0002,-0.0026,0,-0.0001,-0.0004
BLANCO REACTIVO,0,,mg/L,43.6,0.0003,0.0006,-0.0017,0.0005,0.0009,0.0004
ELY4,0.0576,,mg/L,0.5,0,0.0076,-0.0015,0.0076,0.0076,0.0077
ELY5,0.0463,,mg/L,1,0.0001,0.0061,-0.0015,0.0061,0.0062,0.0061
PATRON,0.2038,,mg/L,0.8,0.0002,0.027,-0.0027,0.0272,0.0271,0.0268
BLANCO,0.0038,,mg/L,25.7,0.0001,0.0005,-0.003,0.0005,0.0006,0.0004
BLANCO REACTIVO,0,,mg/L,20.2,0.0001,0.0005,-0.0019,0.0005,0.0004,0.0006
