PATRON,0.054,,mg/L,6.6,0.0002,0.0035,0.0001,1,1,1,0.0035,0.0032,0.0037
BLANCO,-0.019,,mg/L,>100,0.0003,-0.0003,-0.0005,1,1,1,-0.0003,-0.0006,0.0001
BLANCO REACTIVO,0,,mg/L,>100,0.0007,-0.0001,-0.0001,1,1,1,0.0005,-0.0009,0
H KCA PO,0.0485,,mg/L,3.2,0.0001,0.0031,0.0029,1,1,1,0.0032,0.0032,0.003
H KCA PO,0.0558,,mg/L,11,0.0004,0.0035,0.0028,1,1,1,0.0034,0.0032,0.004
H KCA PO,0.0558,,mg/L,14.2,0.0005,0.0035,0.0023,1,1,1,0.003,0.0039,0.0037
PATRON,0.0501,,mg/L,11.4,0.0004,0.0033,-0.0003,1,1,1,0.0034,0.0028,0.0035
H KCA PO,0.0522,,mg/L,26.1,0.0009,0.0034,0.0025,1,1,1,0.0039,0.0039,0.0024
H KCA PO,0.0511,,mg/L,17.7,0.0006,0.0033,0.0024,1,1,1,0.0036,0.0037,0.0026
PATRON,0.0542,,mg/L,5.4,0.0002,0.0035,-0.0004,1,1,1,0.0033,0.0035,0.0036
BLANCO,0.0011,,mg/L,22.2,0.0002,0.0008,-0.0005,1,1,1,0.0009,0.0008,0.0006
BLANCO REACTIVO,0,,mg/L,>100,0.0001,-0.0001,-0.0005,1,1,1,-0.0001,-0.0001,0
M1 PO,0.0573,,mg/L,15.3,0.0006,0.0036,0.0019,1,1,1,0.003,0.0038,0.004
M2 PO,0.0357,,mg/L,6.3,0.0002,0.0025,0.002,1,1,1,0.0024,0.0024,0.0027
M3 PO,0.0294,,mg/L,19,0.0004,0.0022,0.002,1,1,1,0.0027,0.0019,0.002
M4 PO,0.0241,,mg/L,4,0.0001,0.0019,0.0024,1,1,1,0.0019,0.002,0.0019
PATRON,0.054,,mg/L,3.3,0.0001,0.0035,-0.0008,1,1,1,0.0036,0.0034,0.0034
P KCA PO,0.0181,,mg/L,14.6,0.0002,0.0016,0.0019,1,1,1,0.0014,0.0018,0.0017
PATRON,0.0494,,mg/L,14,0.0005,0.0032,-0.002,1,1,1,0.0037,0.0029,0.003
BLANCO,-0.0047,,mg/L,41.6,0.0002,0.0005,-0.0027,1,1,1,0.0006,0.0005,0.0002
BLANCO REACTIVO,0,,mg/L,47.7,0.0002,0.0004,-0.0021,1,1,1,0.0007,0.0004,0.0002
CELDA 8,0.0321,,mg/L,24.6,0.0006,0.0023,0.001,1,1,1,0.0029,0.0017,0.0024
CANAL,0.0664,,mg/L,2.9,0.0001,0.0041,0.001,1,1,1,0.004,0.0042,0.0041
FASE 1,0.0271,,mg/L,25,0.0005,0.0021,0.0013,1,1,1,0.0022,0.0025,0.0015
FASE 2,0.0287,,mg/L,13.4,0.0003,0.0022,0.0008,1,1,1,0.0018,0.0023,0.0024
FASE 3,0.0348,,mg/L,3.3,0.0001,0.0025,0.0013,1,1,1,0.0025,0.0025,0.0024
VSP NORTE,0.0166,,mg/L,25.1,0.0004,0.0015,0.0014,1,1,1,0.0019,0.0016,0.0011
CELDA 8.1,0.035,,mg/L,10.3,0.0003,0.0025,0.0007,1,1,1,0.0026,0.0022,0.0027
CELDA 8.2,0.0319,,mg/L,12.2,0.0003,0.0023,0.0008,1,1,1,0.0023,0.0026,0.002
CELDA 8.3,0.0294,,mg/L,9.3,0.0002,0.0022,0.0019,1,1,1,0.002,0.0024,0.0023
S. RICA,0.0267,,mg/L,16.8,0.0003,0.0021,0.0013,1,1,1,0.0022,0.0017,0.0023
