Analista,JS,,,,,,,,
Fecha de inicio,05:20 p. m. 23/12/2025  GMT: 11:20 p. m. 23/12/2025,,,,,,,,
Hoja de trabajo,SA007360,,,,,,,,
Comentario,,,,,,,,,
Métodos,Au,,,,,,,,
,,,,,,,,,
Peso nominal,1,Volumen nominal,1,,,,,,
Método: Au EFAA30 (Llama),,,,,,,,,
,,,,,,,,,
Au,PATRON,0.5039,,mg/L,1,0.7,0.0195,0.0003,
Au,BLANCO,0.0024,,mg/L,1,>100,0.0001,-0.0013,
Au,BLANCO REACTIVO,0,,mg/L,1,7,0.0013,-0.0002,
Au,SA007360-001,0.0681,,mg/L,1,0.9,0.0113,-0.0007,30.03
Au,SA007360-002,0.2377,,mg/L,1,0.5,0.0396,-0.0005,30
Au,SA007360-003,0.4677,,mg/L,1,0.2,0.0784,-0.0019,30.01
Au,SA007360-004,0.4547,,mg/L,1,0.6,0.0762,-0.0011,30
Au,SA007360-005,0.4072,,mg/L,1,0.3,0.0682,-0.0016,30.02
Au,PATRON,0.4843,,mg/L,1,0.7,0.0187,0.0006,
Au,SA007360-006,0.6345,,mg/L,1,1.4,0.1067,-0.0014,30.01
Au,SA007360-007,0.8657,,mg/L,1,1.2,0.1458,-0.0015,30.03
Au,SA007360-008,0.0089,,mg/L,1,28.7,0.0015,-0.0008,30.03
Au,SA007360-009,0.074,,mg/L,1,0.7,0.0123,-0.0007,30.02
Au,SA007360-010,0.0628,,mg/L,1,1.9,0.0104,-0.0004,3
Au,PATRON,0.4861,,mg/L,1,2.9,0.0188,0.0009,
Au,BLANCO,-0.0118,,mg/L,1,49.1,-0.0005,-0.0008,
Au,BLANCO REACTIVO,0,,mg/L,1,16.4,0.0012,0.0003,
Au,SA007360-011,0.0733,,mg/L,1,1,0.0121,0,30.02
Au,SA007360-012,0.0455,,mg/L,1,3.7,0.0075,-0.0004,30.03
Au,SA007360-013,0.1022,,mg/L,1,2.4,0.017,-0.0002,30.03
Au,SA007360-014,0.0729,,mg/L,1,1,0.0121,-0.0004,30.03
Au,SA007360-015,0.0932,,mg/L,1,0.2,0.0154,-0.0005,30
Au,PATRON,0.4852,,mg/L,1,2.2,0.0188,0.0006,
Au,SA007360-016,0.0918,,mg/L,1,1.1,0.0152,-0.0006,30.01
Au,SA007360-017,0.0866,,mg/L,1,3.3,0.0143,-0.0005,30.03
Au,SA007360-018,0.0503,,mg/L,1,1.8,0.0083,-0.0002,30.03
Au,SA007360-019,0.0833,,mg/L,1,2.1,0.0138,-0.0006,30.01
Au,SA007360-020,0.0749,,mg/L,1,1.7,0.0124,-0.0004,30
Au,PATRON,0.5064,,mg/L,1,0.7,0.0196,0.0015,
Au,BLANCO,0.0121,,mg/L,1,35.9,0.0005,0,
Au,BLANCO REACTIVO,0,,mg/L,1,49.5,0.0001,0.0003,
Au,SA007360-021,0.0055,,mg/L,1,12.7,0.0009,0.0007,3
Au,SA007360-022,0.1031,,mg/L,1,1,0.0171,0.0005,30.02
Au,SA007360-023,0.0593,,mg/L,1,0.3,0.0098,0.0006,30.01
Au,SA007360-024,0.5006,,mg/L,1,0.6,0.084,-0.0003,30.01
Au,SA007360-025,0.5385,,mg/L,1,1,0.0904,-0.0003,30.01
Au,PATRON,0.5212,,mg/L,1,2,0.0202,0.0012,
Au,SA007360-026,0.0785,,mg/L,1,2.2,0.013,0.0007,30.01
Au,SA007360-027,0.1755,,mg/L,1,1.6,0.0292,0.0007,30.01
Au,SA007360-028,0.2883,,mg/L,1,0.4,0.0486,-0.0008,30.02
Au,SA007360-029,0.1975,,mg/L,1,0.4,0.0333,-0.0004,30
Au,SA007360-030,0.0729,,mg/L,1,1.9,0.0123,0.0004,30
Au,PATRON,0.5152,,mg/L,1,0.4,0.0203,0.0012,
Au,BLANCO,-0.0033,,mg/L,1,23.7,-0.0001,-0.0006,
Au,BLANCO REACTIVO,0,,mg/L,1,27.4,0.0004,-0.0003,
Au,SA007360-031,0.0904,,mg/L,1,1.4,0.0152,-0.0001,30
Au,SA007360-032,0.087,,mg/L,1,1.5,0.0147,0,30
Au,PATRON,0.4871,,mg/L,1,0.6,0.0192,0.0012,
Au,BLANCO,0.0038,,mg/L,1,>100,0.0002,-0.0001,
Au,BLANCO REACTIVO,0,,mg/L,1,>100,-0.0001,-0.0003,
