PATRON,5.0352,,mg/L,0.9,0.0545,1,1,1,0.055,0.054,0.0546
BLANCO,0.0234,,mg/L,53.8,0.0003,1,1,1,0.0002,0.0004,0.0002
BLANCO REACTIVO,0,,mg/L,8.2,0.0006,1,1,1,0.0006,0.0005,0.0006
FASE 1,0.049,,mg/L,0.6,0.0005,1,1,1,0.0005,0.0005,0.0005
PATRON,5.029,,mg/L,0.8,0.0545,1,1,1,0.0542,0.055,0.0543
FASE 2,0.0208,,mg/L,79.4,0.0002,1,1,1,0.0004,0.0002,0.0001
FASE 3,0.0394,,mg/L,17.9,0.0004,1,1,1,0.0003,0.0005,0.0005
PATRON,5.0003,,mg/L,1.1,0.0542,1,1,1,0.0547,0.0535,0.0544
BLANCO,-0.0002,,mg/L,>100,0,1,1,1,0,0,0
BLANCO REACTIVO,0,,mg/L,29.5,0.0005,1,1,1,0.0007,0.0004,0.0005
VSP NORTE,0.029,,mg/L,38.5,0.0003,1,1,1,0.0004,0.0004,0.0002
CELDA 8.1,0.0483,,mg/L,16.2,0.0005,1,1,1,0.0004,0.0006,0.0006
CELDA 8.2,0.0425,,mg/L,22.3,0.0005,1,1,1,0.0004,0.0006,0.0005
CELDA 8.3,0.3988,,mg/L,2.2,0.0044,1,1,1,0.0044,0.0045,0.0043
PATRON,4.9101,,mg/L,1.8,0.0532,1,1,1,0.0543,0.0524,0.053
BLANCO,0.0143,,mg/L,55,0.0002,1,1,1,0.0001,0.0002,0.0002
BLANCO REACTIVO,0,,mg/L,22.3,0.0008,1,1,1,0.0009,0.0009,0.0006
