PATRON,4.9308,,mg/L,0.4,0.0526,0.0524,0.0528,0.0524
BLANCO,0.0204,,mg/L,32.1,0.0002,0.0001,0.0002,0.0003
BLANCO REACTIVO,0,,mg/L,4.4,0.0009,0.0009,0.0009,0.0009
FASE 1,0.0249,,mg/L,49.4,0.0003,0.0002,0.0004,0.0002
FASE 2,0.0254,,mg/L,23.4,0.0003,0.0003,0.0002,0.0003
FASE 3,0.0469,,mg/L,13.7,0.0005,0.0005,0.0004,0.0006
VSP NORTE,0.041,,mg/L,21.9,0.0004,0.0005,0.0003,0.0005
CELDA 8.1,0.0519,,mg/L,25.9,0.0006,0.0004,0.0005,0.0007
CELDA 8.2,0.058,,mg/L,11.2,0.0006,0.0006,0.0007,0.0006
CELDA 8.3,0.1801,,mg/L,4.9,0.0019,0.002,0.0018,0.002
PATRON,5.0193,,mg/L,0.2,0.0535,0.0535,0.0535,0.0534
BLANCO,0.0127,,mg/L,27.1,0.0001,0.0002,0.0001,0.0001
BLANCO REACTIVO,0,,mg/L,6.8,0.0017,0.0016,0.0018,0.0016
