PATRON,5.0647,,mg/L,0.8,0.0537,0.0542,0.0535,0.0535
BLANCO,0.0106,,mg/L,93.7,0.0001,0.0002,0.0001,0
BLANCO REACTIVO,0,,mg/L,>100,0.0001,0,0.0001,0.0001
FASE 1,0.0371,,mg/L,11.3,0.0004,0.0004,0.0004,0.0003
FASE 2,0.0472,,mg/L,11.2,0.0005,0.0005,0.0004,0.0006
FASE 3,0.0587,,mg/L,8.2,0.0006,0.0006,0.0006,0.0007
VSP NORTE,0.0559,,mg/L,4.8,0.0006,0.0006,0.0006,0.0006
CELDA 8.1,0.0758,,mg/L,7.1,0.0008,0.0009,0.0007,0.0008
CELDA 8.2,0.0643,,mg/L,17.2,0.0007,0.0006,0.0006,0.0008
CELDA 8.3,0.1075,,mg/L,4,0.0011,0.0012,0.0011,0.0012
PATRON,5.065,,mg/L,0.9,0.0537,0.0538,0.0542,0.0532
BLANCO,0.0106,,mg/L,27.3,0.0001,0.0001,0.0001,0.0001
BLANCO REACTIVO,0,,mg/L,6.7,0.0006,0.0006,0.0006,0.0007
