Analista,MVG,,,,,,,,,
Fecha de inicio,09:38 a. m. 15/01/2026  GMT: 03:38 p. m. 15/01/2026,,,,,,,,,
Hoja de trabajo,SA007679,,,,,,,,,
Comentario,,,,,,,,,,
Métodos,Au,,,,,,,,,
,,,,,,,,,,
Peso nominal,1,Volumen nominal,1,,,,,,,
Método: Au EFAA30 (Llama),,,,,,,,,,
,,,,,,,,,,
Au,PATRON,0.5095,,mg/L,1,2.4,0.0183,0.0011,1,1
Au,BLANCO,0.0038,,mg/L,1,>100,0.0001,-0.0003,1,1
Au,BLANCO REACTIVO,0,,mg/L,1,15.4,-0.0021,-0.0009,1,1
Au,SA007679-001,0.1404,,mg/L,1,0.6,0.0207,-0.0005,30.011,7
Au,SA007679-002,0.0059,,mg/L,1,19,0.0009,-0.0005,30,7
Au,SA007679-003,0.0585,,mg/L,1,3.3,0.0086,-0.0005,30.002,7
Au,SA007679-004,0.0541,,mg/L,1,5.3,0.0079,-0.0007,30.002,7
Au,SA007679-005,0.0518,,mg/L,1,4.6,0.0076,-0.0002,30.01,7
Au,PATRON,0.5184,,mg/L,1,1.6,0.0178,0.0008,1,1
Au,SA007679-006,0.0547,,mg/L,1,3.5,0.008,0.0003,30.018,7
Au,SA007679-007,0.0725,,mg/L,1,1.1,0.0107,0.0005,30.01,7
Au,SA007679-008,0.127,,mg/L,1,0.5,0.0187,0,30.035,7
Au,SA007679-009,0.0864,,mg/L,1,2.4,0.0127,0.001,30.025,7
Au,SA007679-010,0.0063,,mg/L,1,21.7,0.0009,0.0004,30.018,7
Au,PATRON,0.5178,,mg/L,1,0.8,0.0178,0.001,1,1
Au,BLANCO,0.006,,mg/L,1,>100,0.0002,0.0027,1,1
Au,BLANCO REACTIVO,0,,mg/L,1,15.4,-0.0026,-0.0004,1,1
Au,SA007679-011,0.0366,,mg/L,1,1.2,0.0054,0.0003,30.031,7
Au,SA007679-012,0.0372,,mg/L,1,1.3,0.0055,-0.0008,30.02,7
Au,SA007679-013,0.0524,,mg/L,1,4.3,0.0077,0.0001,30.002,7
Au,SA007679-014,0.0005,,mg/L,1,>100,0.0001,-0.0001,30,7
Au,SA007679-015,0.054,,mg/L,1,2.3,0.0079,0,30.036,7
Au,PATRON,0.4828,,mg/L,1,2.8,0.0166,0.0011,1,1
Au,SA007679-016,0.019,,mg/L,1,9.8,0.0028,0.0013,30.015,7
Au,SA007679-017,0.2279,,mg/L,1,5.9,0.0353,0.0026,30.023,7
Au,PATRON,0.4916,,mg/L,1,2.5,0.0169,0.0016,1,1
Au,BLANCO,0.0097,,mg/L,1,93.4,0.0003,0.0028,1,1
Au,BLANCO REACTIVO,0,,mg/L,1,60.3,-0.0004,0.0012,1,1
