PATRON,4.9508,,mg/L,0.2,0.0478,1,1,1,0.0478,0.0479,0.0477
BLANCO,0.0517,,mg/L,37.1,0.0005,1,1,1,0.0006,0.0003,0.0006
BLANCO REACTIVO,0,,mg/L,11.4,0.0007,1,1,1,0.0007,0.0006,0.0008
FASE 1,0.0133,,mg/L,78.3,0.0001,1,1,1,0.0002,0.0001,0.0001
FASE 2,0.0162,,mg/L,58.9,0.0002,1,1,1,0.0002,0.0001,0.0002
FASE 3,0.0204,,mg/L,35.4,0.0002,1,1,1,0.0001,0.0002,0.0003
VSP NORTE,0.0351,,mg/L,71,0.0003,1,1,1,0.0003,0.0006,0.0001
CELDA 8.1,0.026,,mg/L,23.5,0.0002,1,1,1,0.0002,0.0003,0.0002
CELDA 8.2,0.0411,,mg/L,29.3,0.0004,1,1,1,0.0003,0.0005,0.0003
CELDA 8.3,0.1002,,mg/L,7.4,0.001,1,1,1,0.001,0.001,0.0009
PATRON,4.9757,,mg/L,0.7,0.0481,1,1,1,0.0483,0.0477,0.0482
BLANCO,0.0303,,mg/L,13.2,0.0003,1,1,1,0.0003,0.0003,0.0003
BLANCO REACTIVO,0,,mg/L,8.3,0.0011,1,1,1,0.001,0.0011,0.0011
