Analista,ACG,,,,,,,,,
Fecha de inicio,07:46 a. m. 15/01/2026  GMT: 01:46 p. m. 15/01/2026,,,,,,,,,
Hoja de trabajo,SA007674,,,,,,,,,
Comentario,,,,,,,,,,
Métodos,Au,,,,,,,,,
,,,,,,,,,,
Peso nominal,1,Volumen nominal,1,,,,,,,
Método: Au EFAA30 (Llama),,,,,,,,,,
,,,,,,,,,,
Au,PATRON,0.4841,,mg/L,1,1.8,0.0186,0.0013,1,1
Au,BLANCO,-0.003,,mg/L,1,>100,-0.0001,-0.0004,1,1
Au,BLANCO REACTIVO,0,,mg/L,1,>100,-0.0003,-0.0007,1,1
Au,SA007674-001,0.0508,,mg/L,1,4.4,0.0084,0.0003,30.024,7
Au,SA007674-002,0.0454,,mg/L,1,4.8,0.0075,0.0004,30.025,7
Au,SA007674-003,0.0398,,mg/L,1,4.1,0.0066,0.0005,30.027,7
Au,SA007674-004,0.0083,,mg/L,1,24.1,0.0014,0,30,7
Au,SA007674-005,0.0053,,mg/L,1,7.6,0.0009,0.0004,30.015,7
Au,PATRON,0.4865,,mg/L,1,1.8,0.0187,0.0018,1,1
Au,SA007674-006,1.0788,,mg/L,1,1.4,0.1761,0.0006,30.006,7
Au,PATRON,0.5087,,mg/L,1,0.4,0.0195,0.0009,1,1
Au,BLANCO,-0.0039,,mg/L,1,>100,-0.0002,0,1,1
Au,BLANCO REACTIVO,0,,mg/L,1,17,-0.0007,0,1,1
