PATRON,4.9822,,mg/L,1.6,0.0524,1,1,1,0.0517,0.0523,0.0533
BLANCO,-0.0027,,mg/L,>100,0,1,1,1,-0.0001,0.0001,-0.0001
BLANCO REACTIVO,0,,mg/L,78.8,-0.0001,1,1,1,-0.0002,-0.0001,0
FASE 1,0.0301,,mg/L,68.8,0.0003,1,1,1,0.0001,0.0004,0.0005
PATRON,4.9495,,mg/L,1.9,0.0521,1,1,1,0.0531,0.0511,0.0521
FASE 2,0.0395,,mg/L,73.8,0.0004,1,1,1,0.0008,0.0002,0.0003
FASE 3,0.047,,mg/L,56.1,0.0005,1,1,1,0.0003,0.0004,0.0008
PATRON,5.0069,,mg/L,1.3,0.0527,1,1,1,0.0535,0.0524,0.0522
BLANCO,0.0015,,mg/L,>100,0,1,1,1,0.0001,0,-0.0001
BLANCO REACTIVO,0,,mg/L,33.2,0.0002,1,1,1,0.0001,0.0002,0.0002
VSP NORTE,0.0203,,mg/L,56.8,0.0002,1,1,1,0.0001,0.0003,0.0003
CELDA 8.1,0.0186,,mg/L,54.3,0.0002,1,1,1,0.0002,0.0003,0.0001
CELDA 8.2,0.0311,,mg/L,90.6,0.0003,1,1,1,0.0002,0.0007,0.0002
CELDA 8.3,0.4725,,mg/L,4.7,0.005,1,1,1,0.0053,0.0049,0.0049
PATRON,5.0016,,mg/L,1.3,0.0526,1,1,1,0.0533,0.0519,0.0527
BLANCO,0.0016,,mg/L,>100,0,1,1,1,0,0,0.0001
BLANCO REACTIVO,0,,mg/L,79.4,0.0002,1,1,1,0.0004,0.0003,0
