Analista,GGP,,,,,,,,
Fecha de inicio,12:40 p. m. 13/01/2026  GMT: 06:40 p. m. 13/01/2026,,,,,,,,
Hoja de trabajo,SA007652,,,,,,,,
Comentario,,,,,,,,,
Métodos,Au,,,,,,,,
,,,,,,,,,
Peso nominal,1,Volumen nominal,1,,,,,,
Método: Au EFAA30 (Llama),,,,,,,,,
,,,,,,,,,
Au,PATRON,0.4994,,mg/L,1,0.4,0.0194,0.0014,
Au,BLANCO,-0.0068,,mg/L,1,>100,-0.0003,-0.0002,
Au,BLANCO REACTIVO,0,,mg/L,1,25.6,-0.0008,0.0003,
Au,SA007652-001,0.092,,mg/L,1,2.1,0.0153,0.0013,30
Au,SA007652-002,0.0003,,mg/L,1,>100,0.0001,-0.0001,3
Au,SA007652-003,0.0561,,mg/L,1,4.8,0.0093,0.0012,30.02
Au,SA007652-004,0.0482,,mg/L,1,6.1,0.008,0.001,30.02
Au,SA007652-005,0.0579,,mg/L,1,3.8,0.0096,0.0016,30.01
Au,PATRON,0.4996,,mg/L,1,1,0.0194,0.0021,
Au,SA007652-006,0.1242,,mg/L,1,2.1,0.0207,0.0016,30
Au,SA007652-007,0.0573,,mg/L,1,3.4,0.0095,0.0014,30.01
Au,SA007652-008,0.3793,,mg/L,1,1.4,0.0636,0.0009,30.02
Au,SA007652-009,0.1173,,mg/L,1,2.2,0.0195,0.0015,30.01
Au,SA007652-010,0.0046,,mg/L,1,23.8,0.0008,0.0015,30
Au,PATRON,0.5089,,mg/L,1,2.5,0.0198,0.0022,
Au,BLANCO,0.0059,,mg/L,1,>100,0.0002,0.0008,
Au,BLANCO REACTIVO,0,,mg/L,1,23,-0.0007,-0.0003,
Au,SA007652-011,0.1281,,mg/L,1,0.6,0.0213,0.001,30.01
Au,SA007652-012,0.1521,,mg/L,1,0.6,0.0253,0.001,30.01
Au,SA007652-013,0.1041,,mg/L,1,2.7,0.0173,0.0013,30.02
Au,SA007652-014,0.0807,,mg/L,1,1.1,0.0134,0.0011,30.01
Au,SA007652-015,0.0629,,mg/L,1,1.2,0.0105,0.0009,30.03
Au,PATRON,0.5107,,mg/L,1,1.3,0.0198,0.002,
Au,SA007652-016,0.539,,mg/L,1,0.8,0.0906,0.0005,30
Au,SA007652-017,0.0282,,mg/L,1,6.7,0.0047,0.0014,30
Au,SA007652-018,0.0258,,mg/L,1,7.6,0.0043,0.001,30.01
Au,SA007652-019,0.0253,,mg/L,1,6.1,0.0042,0.0015,30.01
Au,SA007652-020,0.4678,,mg/L,1,3.6,0.0786,0.0007,30.01
Au,PATRON,0.5181,,mg/L,1,2.2,0.0201,0.002,
Au,BLANCO,-0.003,,mg/L,1,>100,-0.0001,0.0002,
Au,BLANCO REACTIVO,0,,mg/L,1,54.8,-0.0003,-0.0001,
