PATRON,0.203,,mg/L,1.7,0.0005,0.028,0.0011,0.0276,0.0279,0.0286
BLANCO,-0.004,,mg/L,86,0.0005,-0.0006,0.0007,-0.0006,-0.001,-0.0001
BLANCO REACTIVO,0,,mg/L,>100,0.0001,0.0001,-0.0001,0.0002,0,0.0002
H,0.0952,,mg/L,3.5,0.0005,0.0131,0.0021,0.0127,0.013,0.0136
C1,0.0855,,mg/L,3.9,0.0005,0.0118,0.0024,0.0117,0.0114,0.0123
C2,0.0832,,mg/L,8.9,0.001,0.0115,0.0026,0.0121,0.012,0.0103
PATRON,0.2031,,mg/L,2.7,0.0008,0.028,0.0011,0.0279,0.0288,0.0273
BLANCO,-0.0011,,mg/L,>100,0.0002,-0.0001,0.0029,0,-0.0003,-0.0001
BLANCO REACTIVO,0,,mg/L,12.2,0.0002,-0.0015,0.0013,-0.0013,-0.0015,-0.0017
C3,0.0788,,mg/L,14.7,0.0016,0.0109,0.0041,0.0121,0.0091,0.0115
C4,0.0767,,mg/L,9.9,0.001,0.0106,0.0039,0.0114,0.0094,0.0109
T,0.0708,,mg/L,2.6,0.0003,0.0098,0.0041,0.0097,0.0095,0.01
PATRON,0.2072,,mg/L,0.6,0.0002,0.0286,0.0027,0.0288,0.0286,0.0284
BLANCO,-0.0004,,mg/L,>100,0.0002,-0.0001,0.0029,0,-0.0002,0
BLANCO REACTIVO,0,,mg/L,11,0.0001,-0.0013,0.0011,-0.0014,-0.0012,-0.0015
DP1,0.0818,,mg/L,1.5,0.0002,0.0113,0.004,0.0111,0.0113,0.0115
DP2,0.1542,,mg/L,0.7,0.0001,0.0213,0.004,0.0213,0.0211,0.0214
DP3,0.0374,,mg/L,3.3,0.0002,0.0052,0.0039,0.0051,0.005,0.0053
PATRON,0.205,,mg/L,0.9,0.0003,0.0283,0.0025,0.0286,0.0281,0.0282
BLANCO,-0.0019,,mg/L,25.6,0.0001,-0.0003,0.0028,-0.0002,-0.0003,-0.0002
BLANCO REACTIVO,0,,mg/L,41.2,0.0006,-0.0014,0.0012,-0.0018,-0.0007,-0.0017
DP4,0.0909,,mg/L,3.2,0.0004,0.0125,0.0039,0.013,0.0123,0.0123
DP5,0.1211,,mg/L,2.6,0.0004,0.0167,0.0038,0.0172,0.0166,0.0163
DP6,0.3192,,mg/L,0.2,0.0001,0.0441,0.0044,0.0442,0.044,0.0441
PATRON,0.2061,,mg/L,0.3,0.0001,0.0284,0.0026,0.0284,0.0284,0.0286
BLANCO,-0.0003,,mg/L,>100,0.0003,0,0.0029,-0.0002,-0.0002,0.0003
BLANCO REACTIVO,0,,mg/L,37.2,0.0005,-0.0013,0.0013,-0.0008,-0.0017,-0.0015
ELY1,0.0885,,mg/L,2.2,0.0003,0.0122,0.004,0.0121,0.012,0.0125
ELY2,0.0818,,mg/L,2.7,0.0003,0.0113,0.004,0.0116,0.0112,0.011
ELY3,0.0728,,mg/L,2.7,0.0003,0.01,0.0039,0.0098,0.0099,0.0104
PATRON,0.2014,,mg/L,2.8,0.0008,0.0278,0.0025,0.0287,0.0276,0.0272
BLANCO,0.0003,,mg/L,>100,0.0003,0,0.0026,0.0003,0.0001,-0.0002
BLANCO REACTIVO,0,,mg/L,36.8,0.0004,-0.0012,0.0012,-0.0014,-0.0016,-0.0007
ELY4,0.0636,,mg/L,4.3,0.0004,0.0088,0.0038,0.0089,0.0083,0.009
ELY5,0.05,,mg/L,6.1,0.0004,0.0069,0.0042,0.0064,0.0071,0.0072
PATRON,0.2022,,mg/L,1.1,0.0003,0.0279,0.0028,0.028,0.0276,0.0281
BLANCO,-0.0003,,mg/L,>100,0.0003,0,0.0025,-0.0004,0.0002,0.0001
BLANCO REACTIVO,0,,mg/L,36.1,0.0004,-0.001,0.0011,-0.0006,-0.0012,-0.0012
