PATRON,0.0542,,mg/L,7.4,0.0002,0.0027,-0.0017,0.0029,0.0026,0.0026
BLANCO,0.0068,,mg/L,27.3,0.0001,0.0004,-0.0013,0.0004,0.0003,0.0004
BLANCO REACTIVO,0,,mg/L,18.3,0.0001,0.0006,-0.0012,0.0008,0.0005,0.0006
H KCA PO,0.0526,,mg/L,5,0.0001,0.0026,0.0011,0.0027,0.0027,0.0025
H KCA PO,0.0507,,mg/L,6.4,0.0002,0.0025,0.0009,0.0024,0.0025,0.0027
H KCA PO,0.0543,,mg/L,1.1,0,0.0027,0.0011,0.0027,0.0027,0.0027
PATRON,0.0461,,mg/L,3.8,0.0001,0.0023,-0.0022,0.0024,0.0022,0.0023
H KCA PO,0.0568,,mg/L,6.7,0.0002,0.0028,0.0012,0.003,0.0026,0.0029
H KCA PO,0.0528,,mg/L,8.9,0.0002,0.0026,0.001,0.0024,0.0028,0.0028
PATRON,0.05,,mg/L,7.2,0.0002,0.0025,-0.0025,0.0027,0.0026,0.0023
BLANCO,0.0045,,mg/L,78.5,0.0002,-0.0002,-0.0025,-0.0002,0,-0.0003
BLANCO REACTIVO,0,,mg/L,12.3,0.0001,0.001,-0.0009,0.0009,0.0012,0.001
M1 PO,0.0566,,mg/L,0.8,0,0.0029,0.0002,0.0029,0.0029,0.0028
M2 PO,0.0468,,mg/L,10.8,0.0003,0.0024,0,0.0027,0.0022,0.0023
M3 PO,0.0376,,mg/L,14.3,0.0003,0.0019,0.0001,0.0017,0.0023,0.0019
M4 PO,0.0296,,mg/L,7.9,0.0001,0.0016,0,0.0014,0.0016,0.0016
PATRON,0.0486,,mg/L,4.8,0.0001,0.0025,-0.0036,0.0026,0.0024,0.0024
P KCA PO,0.026,,mg/L,21.4,0.0003,0.0014,-0.0005,0.0012,0.0012,0.0017
PATRON,0.0486,,mg/L,6.4,0.0001,0.0019,0.0003,0.002,0.0019,0.0018
BLANCO,0.002,,mg/L,14.9,0.0001,-0.0006,0.0007,-0.0006,-0.0005,-0.0007
BLANCO REACTIVO,0,,mg/L,49.5,0.0002,-0.0005,0.0005,-0.0005,-0.0002,-0.0007
CELDA 8,0.0527,,mg/L,10.2,0.0003,0.0027,-0.0004,0.003,0.0025,0.0025
CANAL,0.1251,,mg/L,0.4,0,0.0057,0.0046,0.0057,0.0057,0.0057
FASE 1,0.0598,,mg/L,9.4,0.0002,0.0025,0.0043,0.0027,0.0025,0.0022
FASE 2,0.0332,,mg/L,26.5,0.0003,0.0012,0.0045,0.0009,0.0011,0.0015
FASE 3,0.0349,,mg/L,11.1,0.0001,0.0012,0.0043,0.0014,0.0012,0.0011
VSP NORTE,0.1115,,mg/L,5.7,0.0003,0.005,0.0047,0.0053,0.005,0.0048
CELDA 8.1,0.022,,mg/L,15.2,0.0001,0.0006,0.0038,0.0007,0.0005,0.0006
CELDA 8.2,0.0225,,mg/L,29.1,0.0002,0.0006,0.0037,0.0004,0.0008,0.0006
CELDA 8.3,0.0228,,mg/L,4.2,0,0.0006,0.0038,0.0007,0.0006,0.0007
S. RICA,0.0328,,mg/L,3,0.0001,0.0017,-0.0005,0.0017,0.0017,0.0017
PATRON,0.0496,,mg/L,6.4,0.0002,0.0025,-0.0035,0.0026,0.0023,0.0026
BLANCO,0.0011,,mg/L,>100,0.0003,0.0002,-0.0032,0.0003,0.0004,-0.0002
BLANCO REACTIVO,0,,mg/L,34.6,0.0002,0.0005,0.0004,0.0005,0.0004,0.0007
H KCA PE,0.0298,,mg/L,17.8,0.0003,0.0016,-0.0005,0.0019,0.0014,0.0014
H KCA PE,0.0324,,mg/L,7.8,0.0001,0.0017,-0.0003,0.0018,0.0015,0.0018
H KCA PE,0.033,,mg/L,11.1,0.0002,0.0017,-0.0008,0.0016,0.0017,0.0019
PATRON,0.0511,,mg/L,5.9,0.0002,0.0027,-0.0013,0.0028,0.0027,0.0025
H KCA PE,0.0343,,mg/L,5.5,0.0001,0.0018,0.0021,0.0018,0.0019,0.0018
H KCA PE,0.035,,mg/L,6.7,0.0001,0.0018,-0.0005,0.0018,0.002,0.0017
