Analista,,,,,,,,,,
Fecha de inicio,18/09/2023 10:55 a. m.  GMT: 18/09/2023 03:55 p. m.,,,,,,,,,
Hoja de trabajo,SA002057-RE_3,,,,,,,,,
Comentario,,,,,,,,,,
Métodos,Au,,,,,,,,,
,,,,,,,,,,
Método: Au EFAA30 (Llama),,,,,,,,,,
,,,,,,,,,,
,PATRON,0.4922,,mg/L,1.5,0.016,0.0014,0.016,0.0162,0.0157
,BLANCO,0.0016,,mg/L,>100,0.0001,-0.0003,0.0004,0,-0.0002
,BLANCO REACTIVO,0,,mg/L,89.6,0.0006,-0.0006,0.0004,0.0002,0.0012
,SA002056-002,0.8413,,mg/L,0.3,0.0791,-0.0007,0.079,0.0793,0.0788
,PATRON,0.49,,mg/L,3.7,0.0159,0,0.0165,0.0154,0.0157
,BLANCO,-0.007,,mg/L,44.1,-0.0002,-0.0011,-0.0001,-0.0003,-0.0003
,BLANCO REACTIVO,0,,mg/L,71.4,0.0005,-0.0006,0.0008,0.0001,0.0007
