PATRON,0.1973,,mg/L,5,0.0106,-0.0012,1,1,1,0.0104,0.0112,0.0101
BLANCO,-0.0036,,mg/L,>100,0.0003,0.0017,1,1,1,0.0007,-0.0004,0.0007
BLANCO REACTIVO,0,,mg/L,>100,-0.0001,0.0004,1,1,1,-0.0005,0,0.0003
CELDA 8,0.0295,,mg/L,4,0.002,0.0039,1,1,1,0.0021,0.0019,0.0021
CANAL,0.0176,,mg/L,22.6,0.0014,0.0023,1,1,1,0.0015,0.0017,0.0011
FASE 1,0.0306,,mg/L,9.8,0.0021,0.0026,1,1,1,0.0019,0.0023,0.002
PATRON,0.1929,,mg/L,1,0.0104,-0.0009,1,1,1,0.0104,0.0102,0.0104
FASE 2,0.0259,,mg/L,18.4,0.0018,0.0037,1,1,1,0.0021,0.002,0.0015
FASE 3,0.0045,,mg/L,49.1,0.0008,0.0027,1,1,1,0.001,0.0009,0.0003
PATRON,0.1886,,mg/L,3.1,0.0101,-0.0006,1,1,1,0.0098,0.0104,0.0102
BLANCO,-0.0077,,mg/L,48.5,0.0001,0.0005,1,1,1,0.0001,0.0002,0.0001
BLANCO REACTIVO,0,,mg/L,25,-0.0008,0.0011,1,1,1,-0.0006,-0.0008,-0.0011
VSP NORTE,0.0145,,mg/L,35.5,0.0013,0.0041,1,1,1,0.0009,0.0011,0.0018
CELDA 8.1,0.0065,,mg/L,84.1,0.0009,0.0031,1,1,1,0.0014,0.0012,0
CELDA 8.2,-0.0024,,mg/L,62.5,0.0004,0.0038,1,1,1,0.0004,0.0007,0.0002
CELDA 8.3,0.0093,,mg/L,82.6,0.001,0.0056,1,1,1,0.0019,0.0007,0.0004
PATRON,0.203,,mg/L,8.5,0.0109,-0.0017,1,1,1,0.0118,0.0109,0.0099
S. RICA,-0.0031,,mg/L,22.6,0.0004,0.0037,1,1,1,0.0003,0.0005,0.0003
PATRON,0.1981,,mg/L,0.9,0.0106,0.0004,1,1,1,0.0106,0.0105,0.0107
BLANCO,0.0069,,mg/L,63.3,0.0009,0.0011,1,1,1,0.0009,0.0014,0.0003
BLANCO REACTIVO,0,,mg/L,61.3,-0.0007,0.0011,1,1,1,-0.0005,-0.0004,-0.0012
TRITURADORA,0.0103,,mg/L,63.7,0.001,0.0045,1,1,1,0.0005,0.0018,0.0009
VICTORIA,0.0014,,mg/L,77.1,0.0006,0.0048,1,1,1,0.0002,0.0011,0.0005
CELDA 1,0.0042,,mg/L,23.4,0.0007,0.0049,1,1,1,0.0006,0.0006,0.0009
CELDA 2,0.0157,,mg/L,14.8,0.0013,0.0044,1,1,1,0.0015,0.0012,0.0013
CELDA 3,0.0003,,mg/L,18.3,0.0005,0.0048,1,1,1,0.0004,0.0006,0.0006
CELDA 4A,0.0138,,mg/L,8.7,0.0012,0.0045,1,1,1,0.0013,0.0012,0.0011
CELDA 4B,0.013,,mg/L,17.2,0.0012,0.0044,1,1,1,0.001,0.0013,0.0013
CELDA 5A,0.0065,,mg/L,38.2,0.0009,0.004,1,1,1,0.0005,0.001,0.001
CELDA 5B,0.0152,,mg/L,13.7,0.0013,0.0032,1,1,1,0.0013,0.0011,0.0015
PATRON,0.1907,,mg/L,2.2,0.0102,-0.0001,1,1,1,0.0101,0.0101,0.0105
BLANCO,0.0078,,mg/L,63.6,0.0009,0.0003,1,1,1,0.0016,0.0006,0.0005
BLANCO REACTIVO,0,,mg/L,29.7,-0.0009,0.0008,1,1,1,-0.0011,-0.001,-0.0006
