Analista,JS,,,,,,,,
Fecha de inicio,11:14 a. m. 23/12/2025  GMT: 05:14 p. m. 23/12/2025,,,,,,,,
Hoja de trabajo,SA007347,,,,,,,,
Comentario,,,,,,,,,
Métodos,Au,,,,,,,,
,,,,,,,,,
Peso nominal,1,Volumen nominal,1,,,,,,
Método: Au EFAA30 (Llama),,,,,,,,,
,,,,,,,,,
Au,PATRON,0.5237,,mg/L,1,0.9,0.018,0.0013,
Au,BLANCO,0.0135,,mg/L,1,65.7,0.0005,-0.0003,
Au,BLANCO REACTIVO,0,,mg/L,1,38,0.0006,-0.0006,
Au,SA007347-001,0.0514,,mg/L,1,1.5,0.0075,-0.0006,30.04
Au,SA007347-002,0.052,,mg/L,1,1.7,0.0076,-0.0005,30.04
Au,SA007347-003,0.0489,,mg/L,1,18.4,0.0071,-0.0004,30
Au,SA007347-004,0.0017,,mg/L,1,>100,0.0002,-0.0004,30
Au,SA007347-005,0.0486,,mg/L,1,2.7,0.0071,-0.0003,30.03
Au,PATRON,0.4868,,mg/L,1,2.3,0.0167,0.0008,
Au,SA007347-006,0.0443,,mg/L,1,8.2,0.0064,-0.0005,30.03
Au,SA007347-007,0.0381,,mg/L,1,2.6,0.0055,-0.0005,30.02
Au,SA007347-008,-0.0028,,mg/L,1,23.9,-0.0004,-0.0012,3
Au,SA007347-009,0.0261,,mg/L,1,1.1,0.0038,-0.0006,30.04
Au,SA007347-010,0.0213,,mg/L,1,7.6,0.0031,-0.0004,30
Au,PATRON,0.4824,,mg/L,1,1.9,0.0165,0.0006,
Au,BLANCO,-0.004,,mg/L,1,>100,-0.0001,-0.0005,
Au,BLANCO REACTIVO,0,,mg/L,1,>100,-0.0001,-0.0005,
Au,SA007347-011,0.0266,,mg/L,1,2.7,0.0039,0.0004,30.05
Au,SA007347-012,0.218,,mg/L,1,0.8,0.0337,0.0017,30
Au,PATRON,0.5012,,mg/L,1,1,0.0172,0.0014,
Au,BLANCO,-0.0082,,mg/L,1,53.2,-0.0003,-0.0002,
Au,BLANCO REACTIVO,0,,mg/L,1,>100,-0.0004,-0.0004,
