Analista,,,,,,,,,,
Fecha de inicio,27/09/2023 09:24 a. m.  GMT: 27/09/2023 02:24 p. m.,,,,,,,,,
Hoja de trabajo,SA002156_3,,,,,,,,,
Comentario,,,,,,,,,,
Métodos,Au,,,,,,,,,
,,,,,,,,,,
Método: Au EFAA30 (Llama),,,,,,,,,,
,,,,,,,,,,
,PATRON,0.503,,mg/L,0.8,0.0177,0.0015,0.0176,0.0178,0.0175
,BLANCO,-0.0083,,mg/L,85.3,-0.0003,0.0002,0,-0.0004,-0.0005
,BLANCO REACTIVO,0,,mg/L,49,-0.0003,0.0002,-0.0005,-0.0004,-0.0002
,SA002156-001,0.1407,,mg/L,0.8,0.0142,0.0011,0.0141,0.0141,0.0143
,SA002156-002,0.113,,mg/L,1.1,0.0114,0.001,0.0112,0.0115,0.0114
,SA002156-003,0.0018,,mg/L,>100,0.0002,0.001,0.0004,0.0002,0
,SA002156-004,0.0952,,mg/L,0.1,0.0096,0.0012,0.0096,0.0096,0.0096
,SA002156-005,0.0851,,mg/L,3.2,0.0086,0.0012,0.0087,0.0087,0.0082
,PATRON,0.5021,,mg/L,1.3,0.0176,0.0021,0.0177,0.0178,0.0174
,SA002156-006,0.0027,,mg/L,65.5,0.0003,0.0014,0.0003,0.0005,0.0001
,SA002156-007,0.1091,,mg/L,1,0.0109,0.0011,0.0111,0.0109,0.0109
,SA002156-008,0.0917,,mg/L,3,0.0031,0.0016,0.0032,0.003,0.003
,SA002156-009,0.0993,,mg/L,1.4,0.0101,0.0015,0.0099,0.0101,0.0102
,SA002156-010,0.4152,,mg/L,0.4,0.042,0.0014,0.0418,0.0421,0.0421
,PATRON,0.5035,,mg/L,1.3,0.0177,0.0022,0.0179,0.0176,0.0175
,BLANCO,-0.0038,,mg/L,>100,-0.0001,0.0009,-0.0002,0.0001,-0.0003
,BLANCO REACTIVO,0,,mg/L,45.2,-0.0006,0.0005,-0.0004,-0.0009,-0.0004
,SA002156-011,0.101,,mg/L,2.8,0.0102,0.0014,0.0101,0.0105,0.0099
,SA002156-012,0.0198,,mg/L,12,0.002,0.0017,0.0022,0.0018,0.002
,SA002156-013,0.0242,,mg/L,6.6,0.0024,0.0018,0.0025,0.0022,0.0025
,SA002156-014,0.0308,,mg/L,6,0.0031,0.0018,0.003,0.0033,0.003
,SA002156-015,0.0293,,mg/L,6,0.0029,0.0017,0.0028,0.0029,0.0031
,PATRON,0.5064,,mg/L,0.6,0.0178,0.0023,0.0177,0.0177,0.0179
,SA002156-016,0.0329,,mg/L,0.9,0.0033,0.0019,0.0033,0.0033,0.0034
,SA002156-017,0.0348,,mg/L,3.5,0.0035,0.0018,0.0036,0.0034,0.0035
,SA002156-018,0.1553,,mg/L,2.4,0.0156,0.0018,0.0154,0.016,0.0154
,PATRON,0.5041,,mg/L,1.8,0.0177,0.0024,0.0176,0.0174,0.018
,BLANCO,-0.0089,,mg/L,36.4,-0.0003,0.0014,-0.0002,-0.0004,-0.0003
,BLANCO REACTIVO,0,,mg/L,43,-0.0007,0.0006,-0.001,-0.0005,-0.0005
