Analista,NR,,,,,,,,
Fecha de inicio,12:54 p. m. 10/01/2026  GMT: 06:54 p. m. 10/01/2026,,,,,,,,
Hoja de trabajo,SA007612,,,,,,,,
Comentario,,,,,,,,,
Métodos,Au,,,,,,,,
,,,,,,,,,
Método: Au EFAA30 (Llama),,,,,,,,,
,,,,,,,,,
,PATRON,0.4892,,mg/L,1,1.6,0.02,0.0014,
,BLANCO,0.0098,,mg/L,1,77.4,0.0004,-0.0001,
,BLANCO REACTIVO,0,,mg/L,1,>100,-0.0002,-0.0006,
,SA007612-001,0.4159,,mg/L,1,1,0.0746,-0.0003,30
,SA007612-002,0.0048,,mg/L,1,12.7,0.0008,0.0006,30.01
,SA007612-003,0.6269,,mg/L,1,1.7,0.1138,0,30
,SA007612-004,0.6161,,mg/L,1,1.2,0.1118,-0.0003,30
,SA007612-005,0.3487,,mg/L,1,0.9,0.0622,0.0001,30
,PATRON,0.5135,,mg/L,1,4.4,0.021,0.0013,
,SA007612-006,0.3449,,mg/L,1,9,0.0615,-0.0001,30.01
,SA007612-007,0.2625,,mg/L,1,0.6,0.0465,-0.0002,30.01
,SA007612-008,0.1674,,mg/L,1,0.3,0.0294,0.0001,30
,SA007612-009,0.0029,,mg/L,1,43.5,0.0005,0.0007,3
,SA007612-010,0.1827,,mg/L,1,0.9,0.0322,0.0005,30.01
,PATRON,0.499,,mg/L,1,0.8,0.0199,0.0026,
,BLANCO,0.0054,,mg/L,1,>100,0.0002,0.0013,
,BLANCO REACTIVO,0,,mg/L,1,>100,0,0.0016,
,SA007612-011,1.0991,,mg/L,1,0.4,0.196,0.0024,30
,PATRON,0.5108,,mg/L,1,0.9,0.0208,0.001,
,BLANCO,0.0039,,mg/L,1,>100,0.0002,0,
,BLANCO REACTIVO,0,,mg/L,1,>100,-0.0002,-0.0003,
