Analista,JS,,,,,,,
Fecha de inicio,12:26 p. m. 18/01/2026  GMT: 06:26 p. m. 18/01/2026,,,,,,,
Hoja de trabajo,SA007721,,,,,,,
Comentario,,,,,,,,
Métodos,Au,,,,,,,
,,,,,,,,
Método: Au EFAA30 (Llama),,,,,,,,
,,,,,,,,
,PATRON,0.5172,,mg/L,1,1.9,0.0165,
,BLANCO,-0.0037,,mg/L,1,>100,-0.0001,
,BLANCO REACTIVO,0,,mg/L,1,32.6,-0.0004,
,SA007721-001,0.213,,mg/L,1,1.8,0.0295,30.01
,SA007721-002,1.7608,,mg/L,1,1.5,0.2469,30.01
,SA007721-003,0.1561,,mg/L,1,0.8,0.0215,30
,SA007721-004,0.0801,,mg/L,1,0.6,0.0109,30
,SA007721-005,0.037,,mg/L,1,12.2,0.005,30
,PATRON,0.511,,mg/L,1,0.5,0.0163,
,SA007721-006,-0.0039,,mg/L,1,65.4,-0.0005,30
,SA007721-007,0.0529,,mg/L,1,3.5,0.0072,30.01
,SA007721-008,0.0822,,mg/L,1,0.8,0.0112,30
,SA007721-009,0.0905,,mg/L,1,2.3,0.0124,30.01
,SA007721-010,0.1633,,mg/L,1,1.5,0.0225,30
,PATRON,0.5129,,mg/L,1,2.8,0.0164,
,BLANCO,0.0102,,mg/L,1,>100,0.0003,
,BLANCO REACTIVO,0,,mg/L,1,>100,-0.0001,
,SA007721-011,0.0613,,mg/L,1,1,0.0083,30
,SA007721-012,0.0051,,mg/L,1,22.5,0.0007,3
,SA007721-013,0.6906,,mg/L,1,0.3,0.0991,30
,SA007721-014,0.1619,,mg/L,1,1.9,0.0223,30
,SA007721-015,0.1304,,mg/L,1,0.5,0.0179,30.01
,PATRON,0.5107,,mg/L,1,1.9,0.0163,
,SA007721-016,0.4161,,mg/L,1,2.1,0.0587,30
,SA007721-017,0.4206,,mg/L,1,1,0.0594,30.01
,SA007721-018,0.0073,,mg/L,1,29.8,0.001,30
,SA007721-019,0.0308,,mg/L,1,7.7,0.0042,3
,PATRON,0.5056,,mg/L,1,3.3,0.0162,
,BLANCO,-0.0049,,mg/L,1,>100,-0.0002,
,BLANCO REACTIVO,0,,mg/L,1,>100,-0.0002,
,SA007721-021,0.1271,,mg/L,1,2.2,0.0174,30
,SA007721-022,0.3432,,mg/L,1,0.5,0.0481,30
,SA007721-023,0.0549,,mg/L,1,5.6,0.0075,30
,SA007721-024,0.0538,,mg/L,1,1.2,0.0073,30
,SA007721-025,0.0533,,mg/L,1,1.2,0.0072,30
,PATRON,0.5159,,mg/L,1,1.3,0.0165,
,SA007721-026,0.1167,,mg/L,1,2,0.016,3
,SA007721-027,0.0123,,mg/L,1,6.8,0.0017,30.01
,SA007721-028,0.5899,,mg/L,1,1.9,0.0842,30
,SA007721-029,0.3973,,mg/L,1,0.5,0.056,30
,SA007721-030,0.2213,,mg/L,1,1.2,0.0307,30
,PATRON,0.5212,,mg/L,1,2.3,0.0167,
,BLANCO,0.0034,,mg/L,1,>100,0.0001,
,BLANCO REACTIVO,0,,mg/L,1,8,-0.0004,
,SA007721-031,0.0456,,mg/L,1,1.7,0.0062,30
,SA007721-032,1.1011,,mg/L,1,1.4,0.153,30
,PATRON,0.5091,,mg/L,1,3.2,0.0156,
,BLANCO,0.0103,,mg/L,1,93.8,0.0003,
,BLANCO REACTIVO,0,,mg/L,1,43.8,-0.0006,
