PATRON,0.0514,,mg/L,4.3,0.0025,0.0021,0.0024,0.0026,0.0026
BLANCO,-0.0058,,mg/L,98.9,-0.0003,0.0002,-0.0005,-0.0002,0
BLANCO REACTIVO,0,,mg/L,12.1,-0.0014,0.0017,-0.0012,-0.0014,-0.0015
H KCA PO,0.0216,,mg/L,22,0.001,0.0048,0.0011,0.0008,0.0012
H KCA PO,0.0216,,mg/L,6.7,0.0012,0.0053,0.0012,0.0011,0.0011
H KCA PO,0.0216,,mg/L,9.6,0.0012,0.0053,0.0011,0.0013,0.0011
PATRON,0.0538,,mg/L,4.5,0.0026,0.0023,0.0025,0.0026,0.0027
H KCA PO,0.0216,,mg/L,14.3,0.0011,0.0051,0.001,0.0012,0.001
H KCA PO,0.0216,,mg/L,11.3,0.0011,0.005,0.001,0.0012,0.0012
PATRON,0.0543,,mg/L,3.9,0.0026,0.0023,0.0026,0.0027,0.0026
BLANCO,-0.0056,,mg/L,>100,-0.0002,0.0035,-0.0006,-0.0001,0
BLANCO REACTIVO,0,,mg/L,10.3,-0.0015,0.0021,-0.0016,-0.0015,-0.0013
M1 PO,0.0166,,mg/L,3.4,0.0008,0.0061,0.0008,0.0008,0.0009
M2 PO,0.0037,,mg/L,98.4,0.0002,0.0063,0.0004,0.0002,0
M3 PO,0.0075,,mg/L,27.4,0.0004,0.0058,0.0005,0.0003,0.0004
M4 PO,0.0036,,mg/L,>100,0.0002,0.0058,0.0004,-0.0001,0.0003
PATRON,0.0512,,mg/L,15.6,0.0025,0.0024,0.0022,0.0029,0.0024
P KCA PO,0,,mg/L,>100,0,0.0061,-0.0001,0.0003,-0.0001
PATRON,0.0531,,mg/L,9.8,0.0026,0.0022,0.0024,0.0029,0.0025
BLANCO,-0.002,,mg/L,>100,-0.0001,0.0034,-0.0002,0,0.0001
BLANCO REACTIVO,0,,mg/L,12.9,-0.0014,0.002,-0.0016,-0.0014,-0.0013
CELDA 8,0.0184,,mg/L,6.2,0.0009,0.0061,0.0009,0.001,0.0009
PATRON,0.0506,,mg/L,4.2,0.0025,0.0023,0.0024,0.0026,0.0024
BLANCO,-0.0021,,mg/L,>100,-0.0001,0.0032,-0.0002,-0.0002,0.0002
BLANCO REACTIVO,0,,mg/L,58.3,-0.0006,0.0019,-0.0003,-0.0009,-0.0005
H KCA PE,0.0122,,mg/L,47.6,0.0006,0.0052,0.0006,0.0009,0.0003
H KCA PE,0.0122,,mg/L,68.4,0.0006,0.0046,0.0002,0.0011,0.0006
H KCA PE,0.0122,,mg/L,9.3,0.0008,0.0057,0.0008,0.0008,0.0007
PATRON,0.0648,,mg/L,4.5,0.0031,0.0023,0.0033,0.003,0.0031
H KCA PE,0.0122,,mg/L,24.7,0.0007,0.0058,0.0007,0.0009,0.0006
H KCA PE,0.0122,,mg/L,58.6,0.0007,0.0054,0.0007,0.0011,0.0003
PATRON,0.0545,,mg/L,7.9,0.0026,0.001,0.0024,0.0028,0.0028
BLANCO,0.0017,,mg/L,>100,0.0001,0.0027,-0.0002,0.0001,0.0004
BLANCO REACTIVO,0,,mg/L,38.5,0.0003,0.0004,0.0002,0.0003,0.0003
M1 PE,0.0009,,mg/L,>100,0.0001,0.0058,-0.0001,0.0001,0.0002
M2 PE,0.0032,,mg/L,91.8,0.0002,0.0054,0.0001,0.0004,0.0001
M3 PE,0.0013,,mg/L,>100,0.0001,0.005,-0.0003,0.0003,0.0002
M4 PE,0.001,,mg/L,48.5,0.0001,0.0046,0.0001,0.0001,0
PATRON,0.05,,mg/L,1.4,0.0024,-0.0012,0.0025,0.0024,0.0024
P KCA PE,-0.0045,,mg/L,24.8,-0.0002,0.0035,-0.0002,-0.0002,-0.0002
PATRON,0.0529,,mg/L,3.9,0.0026,-0.0017,0.0026,0.0025,0.0026
BLANCO,0.0077,,mg/L,49.9,0.0004,-0.0003,0.0006,0.0002,0.0004
BLANCO REACTIVO,0,,mg/L,2.4,0.0019,-0.0014,0.0019,0.0018,0.0019
ELY 1,0.0078,,mg/L,46,0.0004,0.0028,0.0002,0.0006,0.0004
ELY 2,0.0058,,mg/L,26,0.0003,0.0026,0.0003,0.0004,0.0002
ELY 3,0.0063,,mg/L,63.7,0.0003,0.0021,0.0004,0.0001,0.0005
ELY 4,0.0069,,mg/L,9.2,0.0004,0.0019,0.0003,0.0004,0.0003
PATRON,0.0508,,mg/L,4.9,0.0025,-0.003,0.0026,0.0024,0.0025
ELY P,-0.0015,,mg/L,>100,0,0.0015,0.0002,-0.0001,-0.0002
PATRON,0.0533,,mg/L,9.1,0.0026,-0.0048,0.0024,0.0025,0.0029
BLANCO,-0.0016,,mg/L,>100,-0.0001,0.0009,0.0001,0.0001,-0.0003
BLANCO REACTIVO,0,,mg/L,18.9,0.0012,-0.0009,0.0013,0.0009,0.0013
PUEDES DORMIR,OVER,R,mg/L,0,0.2658,-0.0019,0.2658,,
