PATRON,5.0318,,mg/L,0.9,0.0511,0.0515,0.0512,0.0506
BLANCO,-0.0858,,mg/L,4.4,-0.0009,-0.0008,-0.0009,-0.0009
BLANCO REACTIVO,0,,mg/L,14,-0.0009,-0.0009,-0.001,-0.0007
FASE 1,0.0378,,mg/L,15.1,0.0004,0.0004,0.0004,0.0003
FASE 2,0.0296,,mg/L,26.2,0.0003,0.0004,0.0003,0.0002
FASE 3,0.032,,mg/L,10.9,0.0003,0.0004,0.0003,0.0003
VSP NORTE,0.0221,,mg/L,65.8,0.0002,0.0002,0.0001,0.0004
CELDA 8.1,0.0131,,mg/L,21.5,0.0001,0.0001,0.0002,0.0001
CELDA 8.2,0.0323,,mg/L,28.2,0.0003,0.0002,0.0004,0.0003
CELDA 8.3,0.0434,,mg/L,13.4,0.0004,0.0005,0.0005,0.0004
PATRON,4.9499,,mg/L,0.5,0.0503,0.0501,0.0502,0.0505
BLANCO,0.0343,,mg/L,14.3,0.0004,0.0003,0.0004,0.0004
BLANCO REACTIVO,0,,mg/L,28.9,-0.0004,-0.0006,-0.0005,-0.0003
