PATRON,4.9705,,mg/L,0.6,0.0483,0.0485,0.0479,0.0484
BLANCO,-0.0069,,mg/L,>100,-0.0001,0,-0.0001,0
BLANCO REACTIVO,0,,mg/L,>100,-0.0001,0,-0.0001,-0.0001
FASE 1,0.001,,mg/L,69.5,-0.0003,-0.0001,-0.0004,-0.0004
FASE 2,0.001,,mg/L,40.8,-0.0003,-0.0003,-0.0003,-0.0001
FASE 3,0.001,,mg/L,35.6,-0.0004,-0.0004,-0.0005,-0.0002
VSP NORTE,0.001,,mg/L,29.7,-0.0005,-0.0006,-0.0003,-0.0005
CELDA 8.1,0.001,,mg/L,3.3,-0.0008,-0.0008,-0.0008,-0.0008
CELDA 8.2,0.001,,mg/L,39.2,-0.0004,-0.0002,-0.0005,-0.0006
CELDA 8.3,0.0804,,mg/L,4.5,0.0008,0.0008,0.0008,0.0008
PATRON,4.8608,,mg/L,1,0.0472,0.0477,0.0467,0.0473
BLANCO,0.0119,,mg/L,65.3,0.0001,0.0001,0.0001,0.0002
BLANCO REACTIVO,0,,mg/L,29.7,-0.0003,-0.0004,-0.0002,-0.0004
