Analista,GGP,,,,,,,,
Fecha de inicio,05:09 p. m. 15/12/2025  GMT: 11:09 p. m. 15/12/2025,,,,,,,,
Hoja de trabajo,SA007219_3,,,,,,,,
Comentario,,,,,,,,,
Métodos,Au,,,,,,,,
,,,,,,,,,
Peso nominal,1,Volumen nominal,1,,,,,,
Método: Au EFAA30 (Llama),,,,,,,,,
,,,,,,,,,
,PATRON,0.5204,,mg/L,1,2.1,0.0194,0.0009,
,BLANCO,-0.0066,,mg/L,1,>100,-0.0002,0.0001,
,BLANCO REACTIVO,0,,mg/L,1,>100,0.0002,0.0014,
,SA007219-001,0.0337,,mg/L,1,5,0.0053,0.0013,30.01
,SA007219-002,0.0342,,mg/L,1,6.7,0.0054,0.0009,30.02
,SA007219-003,0.029,,mg/L,1,10,0.0046,0.0007,30.01
,SA007219-004,0.0317,,mg/L,1,2.9,0.005,0.0004,30
,SA007219-005,0.1637,,mg/L,1,2.5,0.0262,0.0006,30.02
,PATRON,0.5025,,mg/L,1,1.3,0.0187,0.0012,
,SA007219-006,0.0602,,mg/L,1,0.7,0.0096,0.0005,30
,SA007219-007,0.0615,,mg/L,1,1.5,0.0098,0.0008,30.02
,SA007219-008,0.2012,,mg/L,1,1.1,0.0323,0.0011,30.02
,SA007219-009,0.0289,,mg/L,1,2.4,0.0046,0.0008,30
,SA007219-010,0.0516,,mg/L,1,2.7,0.0082,0.0005,30.01
,PATRON,0.5085,,mg/L,1,1,0.0189,0.0013,
,BLANCO,-0.0077,,mg/L,1,15.4,-0.0003,0,
,BLANCO REACTIVO,0,,mg/L,1,47.9,-0.0004,0.0016,
,SA007219-011,0.0404,,mg/L,1,3,0.0064,0.0017,30.01
,SA007219-012,0.0086,,mg/L,1,16.2,0.0014,0.001,30
,SA007219-013,0.0416,,mg/L,1,2,0.0066,0.0008,30.02
,SA007219-014,0.0422,,mg/L,1,1.8,0.0067,0.0013,30.01
,SA007219-015,0.2048,,mg/L,1,0.4,0.0329,0.0012,30.02
,PATRON,0.5188,,mg/L,1,1.4,0.0193,0.0019,
,SA007219-016,0.0321,,mg/L,1,6.1,0.0051,0.0012,30
,SA007219-017,0.0195,,mg/L,1,6.6,0.0031,0.0011,30
,SA007219-018,0.0279,,mg/L,1,2.6,0.0044,0.0013,30.01
,SA007219-019,0.1776,,mg/L,1,1.6,0.0285,0.001,30
,SA007219-020,0.0457,,mg/L,1,3.4,0.0073,0.0013,30.01
,PATRON,0.5172,,mg/L,1,0.6,0.0193,0.002,
,BLANCO,0.0004,,mg/L,1,>100,0,-0.0001,
,BLANCO REACTIVO,0,,mg/L,1,55.9,0.0004,0.002,
,SA007219-021,0.087,,mg/L,1,2.2,0.0139,0.0005,30
,SA007219-022,0.458,,mg/L,1,2,0.0743,0,30
,SA007219-023,0.0599,,mg/L,1,3.4,0.0095,0.0003,30
,SA007219-024,0.0608,,mg/L,1,5,0.0097,0.0005,30.02
,SA007219-025,0.0437,,mg/L,1,3.9,0.007,0.0002,30.01
,PATRON,0.4956,,mg/L,1,0.8,0.0185,0.0013,
,SA007219-026,0.0261,,mg/L,1,6,0.0041,0.0003,30
,SA007219-027,0.0195,,mg/L,1,6.6,0.0031,0.0007,30
,SA007219-028,0.0042,,mg/L,1,13.8,0.0007,0.0003,30
,SA007219-029,0.0322,,mg/L,1,2.9,0.0051,0.0008,30.03
,SA007219-030,0.0274,,mg/L,1,3.9,0.0044,0.0008,30.01
,PATRON,0.4922,,mg/L,1,2.6,0.0183,0.0013,
,BLANCO,-0.0024,,mg/L,1,>100,-0.0001,-0.0004,
,BLANCO REACTIVO,0,,mg/L,1,>100,0,0.0018,
,SA007219-031,0.0522,,mg/L,1,4.4,0.008,-0.001,30.01
,SA007219-032,0.0237,,mg/L,1,2.5,0.0036,-0.0013,30
,PATRON,0.5105,,mg/L,1,1.8,0.0183,0.0017,
,BLANCO,-0.0013,,mg/L,1,>100,0,0.0002,
,BLANCO REACTIVO,0,,mg/L,1,54.9,0.0002,0.0014,
