Analista,,,,,,,,,,
Fecha de inicio,04/07/2023 05:18 a. m.  GMT: 04/07/2023 12:18 p. m.,,,,,,,,,
Hoja de trabajo,SA001432_6,,,,,,,,,
Comentario,,,,,,,,,,
Métodos,Ag,,,,,,,,,
,,,,,,,,,,
Método: Ag VHAAAg (Llama),,,,,,,,,,
,,,,,,,,,,
,PATRON,0.9909,,mg/L,0.6,0.1302,0.0009,0.1295,0.13,0.131
,BLANCO,0.0019,,mg/L,>100,0.0003,0.0001,-0.0001,0.0014,-0.0005
,BLANCO REACTIVO,0,,mg/L,51.8,0.0018,-0.0002,0.0028,0.0015,0.001
,SA001432-001,2.202,,mg/L,4.2,0.0124,0.0071,0.0118,0.0129,0.0124
,SA001432-002,2.647,,mg/L,1.8,0.0149,0.0069,0.0152,0.0148,0.0147
,SA001432-003,1.4144,,mg/L,3.3,0.0079,0.0072,0.008,0.0077,0.0082
,SA001432-004,1.3074,,mg/L,7.5,0.0072,0.0068,0.0074,0.0077,0.0066
,SA001432-005,0.027,,mg/L,>100,0.0002,0.002,0.0003,0.0003,-0.0001
,PATRON,1.0011,,mg/L,0.3,0.1311,0.0004,0.1306,0.1313,0.1313
,SA001432-006,4.8819,,mg/L,2.5,0.0272,0.0059,0.0266,0.0279,0.0271
,SA001432-007,8.6951,,mg/L,0.6,0.0479,0.0038,0.0482,0.0478,0.0477
,SA001432-008,12.8614,,mg/L,1,0.07,0.0052,0.0694,0.0699,0.0707
,SA001432-009,3.8739,,mg/L,1,0.0212,0.0043,0.0213,0.0209,0.0213
,SA001432-010,3.1947,,mg/L,2.7,0.0178,0.0017,0.0183,0.0174,0.0176
,PATRON,0.9996,,mg/L,0.5,0.1309,0.0002,0.1312,0.1301,0.1313
,BLANCO,-0.002,,mg/L,>100,-0.0003,-0.0017,0.0011,-0.0005,-0.0014
,BLANCO REACTIVO,0,,mg/L,22.8,0.0033,-0.0001,0.0041,0.0028,0.0029
,SA001432-011,2.4348,,mg/L,1.9,0.0138,0.0005,0.014,0.0139,0.0135
,SA001432-012,4.4938,,mg/L,1.5,0.0247,0.0008,0.0248,0.0243,0.025
,SA001432-013,2.3442,,mg/L,0.5,0.013,0.0009,0.013,0.013,0.0131
,SA001432-014,2.0461,,mg/L,7.5,0.0114,0.0004,0.012,0.0104,0.0116
,SA001432-015,2.1365,,mg/L,3.8,0.0118,0.0007,0.0113,0.0119,0.0122
,PATRON,0.9872,,mg/L,0.9,0.1293,-0.0012,0.1283,0.1291,0.1306
,SA001432-016,2.2617,,mg/L,3.4,0.0125,0.0012,0.0127,0.0128,0.012
,SA001432-017,-0.2146,,mg/L,48.1,-0.0012,-0.0014,-0.0014,-0.0015,-0.0005
,SA001432-018,4.171,,mg/L,1.3,0.0234,-0.0002,0.0231,0.0237,0.0233
,SA001432-019,4.077,,mg/L,2.3,0.0223,0.0012,0.0224,0.0227,0.0217
,SA001432-020,3.6563,,mg/L,2.3,0.0205,0.0015,0.02,0.0209,0.0206
,PATRON,0.9842,,mg/L,0.4,0.129,-0.0005,0.1295,0.1285,0.1289
,BLANCO,-0.0002,,mg/L,>100,0,-0.0018,-0.0007,-0.0009,0.0014
,BLANCO REACTIVO,0,,mg/L,65,0.0015,0.0007,0.001,0.0009,0.0027
,SA001432-021,14.2545,,mg/L,0.6,0.0775,0.0017,0.0779,0.0776,0.077
,PATRON,0.9844,,mg/L,0.6,0.129,-0.0007,0.1281,0.1295,0.1293
,BLANCO,-0.0091,,mg/L,22.4,-0.0012,-0.0012,-0.0016,-0.0011,-0.0011
,BLANCO REACTIVO,0,,mg/L,24.6,0.0006,0.0006,0.0006,0.0007,0.0004
