PATRON,4.8634,,mg/L,1.5,0.0484,1,1,1,0.0476,0.049,0.0487
BLANCO,0.0318,,mg/L,40,0.0003,1,1,1,0.0002,0.0004,0.0003
BLANCO REACTIVO,0,,mg/L,4.3,-0.002,1,1,1,-0.0021,-0.0019,-0.0019
FASE 1,0.0211,,mg/L,54.2,0.0002,1,1,1,0.0003,0.0003,0.0001
PATRON,5.1005,,mg/L,0.6,0.0508,1,1,1,0.0509,0.0505,0.051
FASE 2,0.0166,,mg/L,57.1,0.0002,1,1,1,0.0003,0.0001,0.0001
FASE 3,0.0246,,mg/L,40.8,0.0002,1,1,1,0.0002,0.0002,0.0004
PATRON,5.047,,mg/L,1.4,0.0503,1,1,1,0.0496,0.0501,0.0511
BLANCO,-0.0423,,mg/L,41.8,-0.0004,1,1,1,-0.0002,-0.0004,-0.0006
BLANCO REACTIVO,0,,mg/L,4.2,-0.0024,1,1,1,-0.0023,-0.0025,-0.0025
VSP NORTE,0.0128,,mg/L,>100,0.0001,1,1,1,0.0003,-0.0001,0.0002
CELDA 8.1,0.0233,,mg/L,29.3,0.0002,1,1,1,0.0002,0.0003,0.0003
CELDA 8.2,0.0168,,mg/L,34.7,0.0002,1,1,1,0.0002,0.0002,0.0001
CELDA 8.3,0.2088,,mg/L,3.3,0.0021,1,1,1,0.0021,0.002,0.0022
PATRON,5.045,,mg/L,1.1,0.0502,1,1,1,0.0499,0.05,0.0509
BLANCO,-0.0067,,mg/L,>100,-0.0001,1,1,1,-0.0001,-0.0002,0
BLANCO REACTIVO,0,,mg/L,0.4,-0.0025,1,1,1,-0.0025,-0.0025,-0.0025
