"Analista","GGP"
"Fecha de inicio","6/7/2025 10:28  GMT: 6/7/2025 16:28"
"Hoja de trabajo","EC001159"
"Comentario",""
"Métodos","Au,Ag,Cu"

"Peso nominal",1.0000,"Volumen nominal",1.0000,"Nominal Dilution",1.0000
"Método: Cu AACN-Cu (Llama)"

"PATRON",4.9768,"","mg/L",2.1,0.0511,1.000,1.000,1.000,0.0506,0.0504,0.0523
"BLANCO",0.0393,"","mg/L",15.4,0.0004,1.000,1.000,1.000,0.0003,0.0005,0.0004
"BLANCO REACTIVO",0.0000,"","mg/L",">100",-0.0003,1.000,1.000,1.000,-0.0003,-0.0007,0.0001
"FASE 1",0.0500,"","mg/L",43.7,0.0005,1.000,1.000,1.000,0.0006,0.0007,0.0003
"PATRON",4.9815,"","mg/L",0.4,0.0512,1.000,1.000,1.000,0.0511,0.0510,0.0514
"FASE 2",0.0731,"","mg/L",10.0,0.0008,1.000,1.000,1.000,0.0008,0.0008,0.0007
"FASE 3",0.0620,"","mg/L",16.1,0.0006,1.000,1.000,1.000,0.0007,0.0005,0.0007
"PATRON",4.8640,"","mg/L",0.6,0.0500,1.000,1.000,1.000,0.0496,0.0502,0.0500
"BLANCO",-0.0104,"","mg/L",50.1,-0.0001,1.000,1.000,1.000,-0.0001,-0.0001,-0.0002
"BLANCO REACTIVO",0.0000,"","mg/L",33.7,-0.0005,1.000,1.000,1.000,-0.0003,-0.0004,-0.0006
"VSP NORTE",0.0223,"","mg/L",39.4,0.0002,1.000,1.000,1.000,0.0003,0.0002,0.0002
"CELDA 8.1",0.0350,"","mg/L",34.3,0.0004,1.000,1.000,1.000,0.0002,0.0005,0.0003
"CELDA 8.2",0.0306,"","mg/L",69.3,0.0003,1.000,1.000,1.000,0.0004,0.0005,0.0001
"CELDA 8.3",3.5292,"","mg/L",0.9,0.0363,1.000,1.000,1.000,0.0363,0.0360,0.0366
"PATRON",4.9604,"","mg/L",1.5,0.0509,1.000,1.000,1.000,0.0513,0.0501,0.0514
"BLANCO",0.0091,"","mg/L",59.0,0.0001,1.000,1.000,1.000,0.0001,0.0001,0.0000
"BLANCO REACTIVO",0.0000,"","mg/L",19.0,-0.0005,1.000,1.000,1.000,-0.0004,-0.0004,-0.0006
