PATRON,5.0629,,mg/L,0.3,0.0498,0.0498,0.05,0.0496
BLANCO,0.0514,,mg/L,6.5,0.0006,0.0005,0.0006,0.0006
BLANCO REACTIVO,0,,mg/L,25.7,0.0005,0.0003,0.0005,0.0006
FASE 1,0.026,,mg/L,44.9,0.0003,0.0002,0.0004,0.0002
FASE 2,0.038,,mg/L,13.8,0.0004,0.0004,0.0004,0.0003
FASE 3,0.053,,mg/L,6.4,0.0005,0.0006,0.0005,0.0005
VSP NORTE,0.0352,,mg/L,32.3,0.0004,0.0002,0.0004,0.0004
CELDA 8.1,0.0544,,mg/L,18.6,0.0005,0.0005,0.0007,0.0005
CELDA 8.2,0.0567,,mg/L,32,0.0006,0.0004,0.0007,0.0006
CELDA 8.3,0.096,,mg/L,7,0.001,0.001,0.0009,0.001
PATRON,5.143,,mg/L,1.1,0.0506,0.0512,0.0502,0.0503
BLANCO,0.0414,,mg/L,21.6,0.0004,0.0005,0.0004,0.0003
BLANCO REACTIVO,0,,mg/L,39.8,0.0003,0.0002,0.0002,0.0004
