Analista,JS,,,,,,,,,,,,
Fecha de inicio,18/1/2026 14:48  GMT: 18/1/2026 20:48,,,,,,,,,,,,
Hoja de trabajo,SA007713-RE,,,,,,,,,,,,
Comentario,,,,,,,,,,,,,
Métodos,Au,,,,,,,,,,,,
,,,,,,,,,,,,,
Método: Au Au ACIDO (Llama),,,,,,,,,,,,,
,,,,,,,,,,,,,
,PATRON,0.4956,,mg/L,3.1,0.0176,0.0011,,,,0.0182,0.0172,0.0172
,BLANCO,-0.0094,,mg/L,55.9,-0.0003,-0.0134,,,,-0.0002,-0.0002,-0.0005
,BLANCO REACTIVO,0,,mg/L,0.8,0.0065,-0.0067,,,,0.0065,0.0065,0.0066
,SA007704-025,0.208,,mg/L,0.4,0.0319,0.0032,30,,,0.0318,0.032,0.0318
,PATRON,0.5128,,mg/L,0.8,0.0182,0.004,,,,0.018,0.0183,0.0182
,BLANCO,0.0056,,mg/L,57.9,0.0002,0.0026,,,,0.0001,0.0003,0.0001
,BLANCO REACTIVO,0,,mg/L,7.5,0.0067,-0.0066,,,,0.0061,0.007,0.007
