Analista,ACG,,,,,,,,,
Fecha de inicio,28/01/2024 10:35 a. m.  GMT: 28/01/2024 04:35 p. m.,,,,,,,,,
Hoja de trabajo,SA003129_3,,,,,,,,,
Comentario,,,,,,,,,,
Métodos,Au,,,,,,,,,
,,,,,,,,,,
Método: Au EFAA30 (Llama),,,,,,,,,,
,,,,,,,,,,
,PATRON,0.5051,,mg/L,2.9,0.0137,0.0006,0.0134,0.0135,0.0141
,BLANCO,0.0149,,mg/L,54.9,0.0004,-0.0006,0.0006,0.0004,0.0002
,BLANCO REACTIVO,0,,mg/L,>100,0.0001,0.0002,0.0002,-0.0001,0.0001
,SA003129-001,0.092,,mg/L,4.7,0.0071,0,0.0067,0.0072,0.0074
,SA003129-002,0.1155,,mg/L,2,0.0089,0.0002,0.0088,0.0089,0.0092
,SA003129-003,0.1294,,mg/L,1,0.01,0,0.01,0.0099,0.0101
,SA003129-004,0.1025,,mg/L,1.8,0.0079,0.0001,0.0078,0.008,0.0081
,SA003129-005,0.1255,,mg/L,1.7,0.0097,-0.0002,0.0099,0.0097,0.0096
,PATRON,0.5003,,mg/L,1.5,0.0136,0.0004,0.0138,0.0135,0.0134
,SA003129-006,0.1233,,mg/L,4.4,0.0095,-0.0004,0.0091,0.01,0.0095
,SA003129-007,0.0086,,mg/L,42.2,0.0007,-0.0003,0.0009,0.0007,0.0004
,SA003129-008,0.0904,,mg/L,4.1,0.007,-0.0002,0.0072,0.0067,0.0071
,SA003129-009,0.0958,,mg/L,1.7,0.0074,0.0002,0.0074,0.0073,0.0075
,SA003129-010,0.1101,,mg/L,2.4,0.0085,0,0.0084,0.0088,0.0084
,PATRON,0.4884,,mg/L,1.6,0.0132,0.0004,0.0131,0.0135,0.0132
,BLANCO,0.0043,,mg/L,>100,0.0001,-0.0004,0,0.0003,0
,BLANCO REACTIVO,0,,mg/L,86,0.0003,-0.0003,0.0004,0,0.0004
,SA003129-011,0.0738,,mg/L,2.4,0.0057,0.0001,0.0055,0.0057,0.0058
,SA003129-012,0.0865,,mg/L,3,0.0067,-0.0001,0.0067,0.0069,0.0065
,SA003129-013,0.4093,,mg/L,0.4,0.0321,0.0002,0.0321,0.0319,0.0322
,SA003129-014,0.0815,,mg/L,1.5,0.0063,0.0001,0.0064,0.0063,0.0062
,SA003129-015,0.1158,,mg/L,1.3,0.009,0.0001,0.0089,0.0091,0.0089
,PATRON,0.4858,,mg/L,0.9,0.0132,0.0004,0.0131,0.0133,0.0132
,SA003129-016,0.0799,,mg/L,2.5,0.0062,-0.0002,0.006,0.0062,0.0063
,SA003129-017,0.0962,,mg/L,4.2,0.0074,0,0.0075,0.0071,0.0077
,SA003129-018,0.0476,,mg/L,7.1,0.0037,-0.0002,0.0034,0.0037,0.0039
,SA003129-019,0.2625,,mg/L,1.3,0.0204,0,0.0204,0.0202,0.0207
,SA003129-020,0.1066,,mg/L,2,0.0082,-0.0003,0.0083,0.0081,0.0083
,PATRON,0.4884,,mg/L,1,0.0132,0.0006,0.0132,0.0132,0.0134
,BLANCO,0.0087,,mg/L,85,0.0002,-0.0008,0.0004,0,0.0003
,BLANCO REACTIVO,0,,mg/L,63.7,0.0003,-0.0002,0.0003,0.0004,0.0001
,SA003129-021,0.3706,,mg/L,0.3,0.029,-0.0001,0.0289,0.0291,0.0291
,SA003129-022,0.3639,,mg/L,0.4,0.0285,0.0003,0.0286,0.0284,0.0284
,SA003129-023,0.0028,,mg/L,>100,0.0002,-0.0003,0.0001,0.0005,0
,SA003129-024,0.0716,,mg/L,5.3,0.0055,-0.0001,0.0056,0.0052,0.0058
,SA003129-025,0,,mg/L,>100,0,-0.0001,0.0001,0,-0.0001
,PATRON,0.5072,,mg/L,0.6,0.0138,0.0003,0.0137,0.0137,0.0139
,SA003129-026,0.253,,mg/L,0.4,0.0197,0,0.0197,0.0197,0.0198
,SA003129-027,0.4587,,mg/L,0.5,0.036,0,0.0358,0.0362,0.036
,PATRON,0.4951,,mg/L,0.8,0.0134,0.0005,0.0133,0.0135,0.0135
,BLANCO,0.0024,,mg/L,81.7,0.0001,-0.0006,0,0.0001,0.0001
,BLANCO REACTIVO,0,,mg/L,16.9,0.0003,-0.0004,0.0003,0.0003,0.0004
