PATRON,0.0516,,mg/L,13.2,0.0027,-0.0012,0.0023,0.003,0.0026
BLANCO,-0.0017,,mg/L,>100,-0.0002,-0.0009,0.0002,-0.0003,-0.0003
BLANCO REACTIVO,0,,mg/L,>100,0.0001,0.0003,-0.0001,0.0003,0
H KCA PO,0.0441,,mg/L,14.9,0.0023,0.0016,0.0021,0.0021,0.0026
H KCA PO,0.0441,,mg/L,20.1,0.0022,0.0023,0.0026,0.0021,0.0018
H KCA PO,0.0441,,mg/L,6.2,0.002,0.0019,0.0021,0.002,0.0018
PATRON,0.0517,,mg/L,14.7,0.0026,-0.002,0.0025,0.003,0.0022
H KCA PO,0.0441,,mg/L,9.6,0.0022,0.0018,0.0024,0.0022,0.002
H KCA PO,0.0441,,mg/L,3.5,0.0022,0.002,0.0023,0.0022,0.0021
PATRON,0.044,,mg/L,6.4,0.0023,-0.0013,0.0022,0.0024,0.0021
BLANCO,0.0047,,mg/L,>100,0.0001,-0.0003,0.0002,0.0001,-0.0001
BLANCO REACTIVO,0,,mg/L,>100,0,-0.0003,-0.0006,0.0008,0
M1 PO,0.0356,,mg/L,21.7,0.0016,0.0016,0.0017,0.0013,0.002
M2 PO,0.0304,,mg/L,9.7,0.0014,0.0014,0.0015,0.0012,0.0014
M3 PO,0.0268,,mg/L,34.5,0.0012,0.0016,0.0015,0.0013,0.0007
M4 PO,0.0136,,mg/L,87.2,0.0005,0.0017,0.0006,0.0008,0
PATRON,0.0449,,mg/L,7.5,0.0022,-0.0007,0.0021,0.0021,0.0024
P KCA PO,0.0171,,mg/L,32.5,0.0007,0.0012,0.0005,0.0009,0.0006
PATRON,0.0507,,mg/L,19.2,0.0025,-0.0009,0.002,0.0029,0.0027
BLANCO,0.0035,,mg/L,>100,0,-0.0003,0,0.0002,-0.0002
BLANCO REACTIVO,0,,mg/L,>100,0.0002,-0.0011,0.0005,0,0
CELDA 8,0.0358,,mg/L,25.7,0.0017,0.0023,0.0014,0.0022,0.0016
CANAL,0.034,,mg/L,55.4,0.0016,0.0021,0.0012,0.0027,0.001
FASE 1,0.0324,,mg/L,25.6,0.0015,0.0023,0.0019,0.0016,0.0011
FASE 2,0.0345,,mg/L,34.4,0.0016,0.0024,0.0012,0.0014,0.0023
FASE 3,0.0507,,mg/L,6.3,0.0025,0.0019,0.0026,0.0023,0.0026
VSP NORTE,0.0259,,mg/L,15.3,0.0012,0.0022,0.001,0.0014,0.0011
CELDA 8.1,0.0427,,mg/L,8.4,0.0021,0.0008,0.0019,0.0022,0.0021
CELDA 8.2,0.0329,,mg/L,17.1,0.0016,0.0011,0.0015,0.0019,0.0014
CELDA 8.3,0.024,,mg/L,16.1,0.0011,0.002,0.0009,0.0012,0.0012
S. RICA,0.0191,,mg/L,62.8,0.0008,0.0019,0.001,0.0002,0.0013
PATRON,0.0486,,mg/L,16.6,0.0024,-0.002,0.0029,0.0021,0.0022
BLANCO,0,,mg/L,>100,-0.0002,-0.0028,-0.0002,-0.0006,0.0003
BLANCO REACTIVO,0,,mg/L,16.8,0.0004,-0.0018,0.0004,0.0004,0.0005
H KCA PE,0.0233,,mg/L,37.3,0.0009,-0.0014,0.0011,0.0011,0.0005
H KCA PE,0.0233,,mg/L,1.3,0.001,-0.0005,0.001,0.001,0.001
H KCA PE,0.0233,,mg/L,17.5,0.001,0,0.0011,0.0011,0.0008
