Analista,JCAN,,,,,,,,,
Fecha de inicio,26/03/2023 11:31 a. m.  GMT: 26/03/2023 05:31 p. m.,,,,,,,,,
Hoja de trabajo,SA000773_3,,,,,,,,,
Comentario,,,,,,,,,,
Métodos,Au,,,,,,,,,
,,,,,,,,,,
Método: Au EFAA30 (Llama),,,,,,,,,,
,,,,,,,,,,
,PATRON,0.4966,,mg/L,2,0.0141,-0.0007,0.0143,0.0137,0.0142
,BLANCO,-0.0018,,mg/L,>100,-0.0001,0,-0.0001,0,0
,BLANCO REACTIVO,0,,mg/L,>100,0,-0.0002,-0.0001,-0.0002,0.0001
,SA000773-001,0.0555,,mg/L,2.1,0.0045,-0.0006,0.0045,0.0044,0.0044
,SA000773-002,0.0489,,mg/L,8.1,0.0039,-0.0005,0.0036,0.004,0.0042
,SA000773-003,0.0483,,mg/L,0.9,0.0039,-0.0005,0.0038,0.0039,0.0039
,SA000773-004,0.1714,,mg/L,2,0.0139,-0.0003,0.0135,0.014,0.014
,SA000773-005,0.1452,,mg/L,0.9,0.0117,-0.0004,0.0118,0.0116,0.0118
,PATRON,0.4991,,mg/L,0.8,0.0141,-0.0008,0.0143,0.0141,0.0141
,SA000773-006,0.0783,,mg/L,2.6,0.0063,-0.0004,0.0061,0.0064,0.0063
,SA000773-007,0.1517,,mg/L,1.4,0.0123,-0.0005,0.0123,0.0121,0.0124
,SA000773-008,0.6475,,mg/L,0.3,0.0541,-0.0002,0.054,0.0542,0.054
,SA000773-009,0.1796,,mg/L,1.3,0.0145,-0.0004,0.0144,0.0145,0.0148
,SA000773-010,0.1055,,mg/L,1.9,0.0085,-0.0005,0.0086,0.0083,0.0086
,PATRON,0.5014,,mg/L,2.2,0.0142,-0.0008,0.0145,0.0139,0.0142
,BLANCO,0.0091,,mg/L,38.9,0.0003,-0.0004,0.0002,0.0002,0.0004
,BLANCO REACTIVO,0,,mg/L,95.9,-0.0002,0,-0.0003,-0.0003,0
,SA000773-011,0.1451,,mg/L,0.8,0.0117,-0.0004,0.0117,0.0118,0.0117
,SA000773-012,0.2318,,mg/L,1.1,0.0188,-0.0004,0.0186,0.0189,0.019
,SA000773-013,0.1196,,mg/L,0.7,0.0096,-0.0003,0.0096,0.0097,0.0097
,SA000773-014,0.2024,,mg/L,1.2,0.0164,-0.0002,0.0163,0.0166,0.0164
,SA000773-015,0.1423,,mg/L,1.7,0.0115,-0.0002,0.0113,0.0117,0.0114
,PATRON,0.5083,,mg/L,1.6,0.0144,-0.0008,0.0146,0.0142,0.0144
,SA000773-016,0.1699,,mg/L,0.3,0.0138,-0.0005,0.0138,0.0137,0.0137
,SA000773-017,0.0934,,mg/L,3.5,0.0075,-0.0004,0.0078,0.0073,0.0075
,SA000773-018,0.1626,,mg/L,0.9,0.0132,-0.0004,0.0131,0.0131,0.0133
,SA000773-019,0.0075,,mg/L,54.5,0.0006,-0.0006,0.0004,0.0004,0.001
,SA000773-020,0.1556,,mg/L,1,0.0126,-0.0003,0.0126,0.0127,0.0125
,PATRON,0.508,,mg/L,2.9,0.0144,-0.0007,0.0148,0.0144,0.014
,BLANCO,0.0069,,mg/L,>100,0.0002,-0.0001,-0.0001,0.0004,0.0003
,BLANCO REACTIVO,0,,mg/L,>100,0.0001,-0.0004,0.0002,0.0002,-0.0002
,SA000773-021,0.8934,,mg/L,0.4,0.0744,0.0003,0.0743,0.0748,0.0742
,SA000773-022,0.1612,,mg/L,1.5,0.013,-0.0007,0.0133,0.013,0.0129
,SA000773-023,0.1276,,mg/L,2.3,0.0103,-0.0006,0.0102,0.0106,0.0101
,SA000773-024,0.1995,,mg/L,1.1,0.0162,-0.0008,0.0164,0.0161,0.016
,SA000773-025,0.1793,,mg/L,0.4,0.0145,-0.0007,0.0146,0.0145,0.0145
,PATRON,0.4987,,mg/L,1.6,0.0141,-0.001,0.0143,0.0143,0.0139
,SA000773-026,0.1935,,mg/L,1.2,0.0157,-0.0007,0.0155,0.0158,0.0158
,SA000773-027,0.0739,,mg/L,1.3,0.0059,-0.0007,0.006,0.0059,0.006
,SA000773-028,0.0179,,mg/L,9.1,0.0014,-0.0008,0.0013,0.0014,0.0016
,SA000773-029,0.0294,,mg/L,5.8,0.0024,-0.0007,0.0024,0.0024,0.0022
,SA000773-030,0.0033,,mg/L,37.8,0.0003,-0.0008,0.0002,0.0004,0.0002
,PATRON,0.5085,,mg/L,2.9,0.0144,-0.0012,0.0149,0.0142,0.0141
,BLANCO,0.0064,,mg/L,>100,0.0002,-0.0007,0.0001,0,0.0004
,BLANCO REACTIVO,0,,mg/L,>100,0.0001,-0.0004,0.0002,0,0.0002
,SA000773-031,0.0626,,mg/L,6.1,0.005,-0.0008,0.0047,0.0052,0.0052
,SA000773-032,0.0432,,mg/L,12.8,0.0035,-0.0008,0.0038,0.0037,0.003
,PATRON,0.5108,,mg/L,0.7,0.0145,-0.0012,0.0146,0.0144,0.0144
,BLANCO,0.0017,,mg/L,>100,0,-0.0006,-0.0001,0.0002,0.0001
,BLANCO REACTIVO,0,,mg/L,>100,-0.0001,-0.0004,-0.0003,0,0.0001
