Analista,,,,,,,,,,
Fecha de inicio,23/12/2023 01:45 p. m.  GMT: 23/12/2023 07:45 p. m.,,,,,,,,,
Hoja de trabajo,EX000003_3,,,,,,,,,
Comentario,,,,,,,,,,
Métodos,Au,,,,,,,,,
,,,,,,,,,,
Método: Au EFAA30 (Llama),,,,,,,,,,
,,,,,,,,,,
,PATRON,0.5006,,mg/L,0.9,0.0165,0.0015,0.0165,0.0167,0.0164
,BLANCO,-0.0067,,mg/L,93.7,-0.0002,0.0003,-0.0003,-0.0004,0
,BLANCO REACTIVO,0,,mg/L,44.5,-0.0004,0.0012,-0.0005,-0.0006,-0.0002
,EX000003-001,0.0249,,mg/L,9,0.0023,0.0003,0.0024,0.0025,0.0021
,EX000003-002,0.047,,mg/L,3,0.0044,0.0006,0.0043,0.0045,0.0043
,EX000003-003,0.0792,,mg/L,3.5,0.0075,0.0016,0.0078,0.0073,0.0073
,EX000003-004,0.0496,,mg/L,8.2,0.0047,0.0018,0.0051,0.0044,0.0045
,EX000003-005,0.0228,,mg/L,9.4,0.0022,0.0013,0.002,0.0024,0.0021
,PATRON,0.496,,mg/L,0.4,0.0164,0.0024,0.0164,0.0164,0.0163
,EX000003-006,0.009,,mg/L,10.6,0.0009,0.0017,0.0009,0.0009,0.0007
,EX000003-007,0.0085,,mg/L,35.3,0.0008,0.0017,0.0005,0.0011,0.0008
,EX000003-008,0.0102,,mg/L,33.6,0.001,0.002,0.0009,0.0013,0.0007
,EX000003-009,0.0224,,mg/L,11.2,0.0021,0.0016,0.0023,0.0022,0.0018
,EX000003-010,0.004,,mg/L,65.5,0.0004,0.002,0.0002,0.0003,0.0007
,PATRON,0.4979,,mg/L,0.4,0.0164,0.0028,0.0164,0.0165,0.0165
,BLANCO,-0.004,,mg/L,48.5,-0.0001,0.0012,-0.0001,-0.0002,-0.0001
,BLANCO REACTIVO,0,,mg/L,>100,-0.0003,0.0002,0.0002,-0.0004,-0.0007
,EX000003-011,0.0244,,mg/L,15.5,0.0023,0.0022,0.0019,0.0025,0.0025
,EX000003-012,0.0284,,mg/L,2.2,0.0027,0.0023,0.0027,0.0027,0.0026
,EX000003-013,0.0351,,mg/L,2.2,0.0033,0.0022,0.0032,0.0034,0.0033
,EX000003-014,0.9888,,mg/L,0.9,0.094,0.0025,0.0948,0.094,0.0931
,EX000003-015,0.0106,,mg/L,22.1,0.001,0.0021,0.0013,0.0009,0.0009
,PATRON,0.5092,,mg/L,1.3,0.0171,0.0019,0.017,0.0173,0.0169
,EX000003-016,0.0192,,mg/L,28,0.0018,0.0006,0.0023,0.0013,0.0019
,EX000003-017,0.019,,mg/L,19.2,0.0018,0.0005,0.0016,0.0017,0.0022
,EX000003-018,0.4765,,mg/L,0.9,0.0456,0.0006,0.0453,0.0461,0.0453
,EX000003-019,0.0107,,mg/L,31.2,0.001,0.0005,0.0008,0.0009,0.0014
,EX000003-020,0.0137,,mg/L,9.5,0.0013,0.0004,0.0014,0.0012,0.0014
,PATRON,0.5113,,mg/L,1,0.0172,0.0005,0.017,0.0174,0.0171
,BLANCO,0.0032,,mg/L,>100,0.0001,-0.0008,-0.0001,0,0.0004
,BLANCO REACTIVO,0,,mg/L,37.6,0.0004,-0.0004,0.0002,0.0005,0.0003
,EX000003-021,0.047,,mg/L,5.1,0.0045,-0.0002,0.0045,0.0043,0.0048
,EX000003-022,0.0301,,mg/L,6.1,0.0029,0,0.0028,0.0028,0.0031
,EX000003-023,0.0494,,mg/L,4.1,0.0047,-0.0003,0.0047,0.0049,0.0046
,EX000003-024,0.013,,mg/L,22.9,0.0013,-0.0004,0.0009,0.0015,0.0014
,EX000003-025,0.0583,,mg/L,8.8,0.0056,-0.0002,0.0056,0.0061,0.0051
,PATRON,0.493,,mg/L,1.8,0.0165,0.0008,0.0162,0.0166,0.0168
,EX000003-026,0.0268,,mg/L,8.6,0.0026,-0.0003,0.0028,0.0025,0.0024
,EX000003-027,0.0304,,mg/L,8.7,0.0029,-0.0003,0.0032,0.0027,0.0028
,EX000003-028,0.0011,,mg/L,>100,0.0001,-0.0004,0,0.0003,0.0001
,EX000003-029,0.0536,,mg/L,8.2,0.0051,-0.0003,0.0048,0.0056,0.005
,EX000003-030,0.0003,,mg/L,>100,0,-0.0004,0.0001,0,0
,PATRON,0.5066,,mg/L,1.5,0.017,0.0004,0.0169,0.0168,0.0173
,BLANCO,-0.0007,,mg/L,>100,0,-0.0009,-0.0002,0,0.0001
,BLANCO REACTIVO,0,,mg/L,97.7,0.0004,-0.0004,0.0003,0.0008,0.0001
,EX000003-031,-0.0008,,mg/L,>100,-0.0001,-0.0005,0.0001,-0.0002,-0.0001
,EX000003-032,0.0318,,mg/L,4.3,0.0031,-0.0004,0.0032,0.003,0.003
,PATRON,0.4995,,mg/L,0.2,0.0168,0.0003,0.0167,0.0168,0.0168
,BLANCO,-0.0004,,mg/L,>100,0,-0.0006,0.0005,-0.0004,-0.0001
,BLANCO REACTIVO,0,,mg/L,>100,0,-0.0004,0.0002,-0.0004,0
