Analista,,,,,,,,,,,,
Fecha de inicio,12/05/2024 06:07 a. m.  GMT: 12/05/2024 12:07 p. m.,,,,,,,,,,,
Hoja de trabajo,SA003907_3,,,,,,,,,,,
Comentario,,,,,,,,,,,,
Métodos,Au,,,,,,,,,,,
,,,,,,,,,,,,
Método: Au EFAA30 (Llama),,,,,,,,,,,,
,,,,,,,,,,,,
,PATRON,0.5126,,mg/L,1,0.0176,0.0012,0.0177,0.0177,0.0174,,
,BLANCO,-0.006,,mg/L,97.6,-0.0002,0,-0.0001,-0.0004,-0.0001,,
,BLANCO REACTIVO,0,,mg/L,>100,0.0001,0.0002,-0.0001,0.0001,0.0002,,
,SA003907-001,0.0501,,mg/L,7,0.0049,0.0008,0.0047,0.0047,0.0053,0.0506,1.976284585
,SA003907-002,0.0511,,mg/L,0.9,0.005,0.001,0.005,0.005,0.005,,
,SA003907-003,0.0767,,mg/L,2.8,0.0075,0.0004,0.0074,0.0078,0.0074,,
,SA003907-004,0.0695,,mg/L,3.8,0.0068,0.0008,0.0071,0.0068,0.0066,,
,SA003907-005,0.0583,,mg/L,1.4,0.0057,0.0006,0.0057,0.0056,0.0057,,
,PATRON,0.5012,,mg/L,1.7,0.0172,0.0015,0.0169,0.0174,0.0174,,
,SA003907-006,0.7598,,mg/L,0.5,0.0761,0.0008,0.0758,0.0762,0.0765,,
,SA003907-007,0.0766,,mg/L,1.9,0.0075,0.0007,0.0074,0.0077,0.0074,,
,SA003907-008,0.1622,,mg/L,2.3,0.0159,0.0007,0.0157,0.0158,0.0164,,
,SA003907-009,0.7712,,mg/L,0.6,0.0774,0.0008,0.0778,0.0775,0.0769,,
,SA003907-010,0.5435,,mg/L,0.3,0.054,0.0008,0.0542,0.054,0.0538,,
,PATRON,0.5006,,mg/L,0.9,0.0172,0.0014,0.017,0.0173,0.0172,,
,BLANCO,-0.0066,,mg/L,29.2,-0.0002,0.0002,-0.0002,-0.0003,-0.0002,,
,BLANCO REACTIVO,0,,mg/L,>100,0,0.0003,0.0003,-0.0002,-0.0001,,
,SA003907-011,0.24,,mg/L,0.1,0.0236,0.0006,0.0236,0.0236,0.0236,,
,SA003907-012,0.2448,,mg/L,0.3,0.0241,0.0007,0.0241,0.024,0.0242,,
,SA003907-013,0.3365,,mg/L,0.9,0.0333,0.0005,0.0329,0.0335,0.0334,,
,SA003907-014,0.0001,,mg/L,>100,0,0.0008,0,0.0001,0,,
,SA003907-015,0.0635,,mg/L,1.4,0.0062,0.0007,0.0062,0.0061,0.0063,,
,PATRON,0.4973,,mg/L,0.4,0.0171,0.0015,0.017,0.0171,0.0171,,
,SA003907-016,0.0721,,mg/L,5.3,0.0071,0.001,0.0069,0.0068,0.0075,,
,SA003907-017,0.0731,,mg/L,2.3,0.0072,0.0007,0.0071,0.007,0.0074,,
,SA003907-018,0.1553,,mg/L,1.7,0.0153,0.0011,0.0151,0.0155,0.0151,,
,SA003907-019,0.1713,,mg/L,0.5,0.0169,0.0008,0.0168,0.0168,0.0169,,
,SA003907-020,0.1371,,mg/L,2.4,0.0134,0.0007,0.0136,0.0136,0.0131,,
,PATRON,0.5,,mg/L,2.3,0.0172,0.0014,0.0176,0.0168,0.0171,,
,BLANCO,-0.0007,,mg/L,>100,0,0.0002,0.0001,-0.0002,0,,
,BLANCO REACTIVO,0,,mg/L,26.7,-0.0004,0.0004,-0.0004,-0.0002,-0.0004,,
,SA003907-021,0.2731,,mg/L,1,0.0269,0.0007,0.0272,0.0267,0.0269,,
,SA003907-022,0.0103,,mg/L,13.4,0.001,0.001,0.0012,0.0009,0.001,,
,SA003907-023,0.205,,mg/L,1.2,0.0202,0.0008,0.0199,0.0204,0.0202,,
,SA003907-024,0.6195,,mg/L,0.5,0.0608,0.001,0.0605,0.0611,0.0607,,
,SA003907-025,0.0081,,mg/L,16.1,0.0008,0.0009,0.0009,0.0008,0.0006,,
,PATRON,0.5031,,mg/L,1.8,0.0173,0.0019,0.0176,0.0172,0.017,,
,SA003907-026,0.3883,,mg/L,1,0.0384,0.0011,0.0381,0.0383,0.0389,,
,SA003907-027,0.1103,,mg/L,4.5,0.0108,0.001,0.0114,0.0106,0.0105,,
,SA003907-028,0.1639,,mg/L,1.9,0.0161,0.001,0.0161,0.0164,0.0158,,
,SA003907-029,0.2067,,mg/L,0.1,0.0203,0.0008,0.0203,0.0203,0.0203,,
,SA003907-030,0.25,,mg/L,0.6,0.0247,0.001,0.0247,0.0248,0.0245,,
,PATRON,0.5107,,mg/L,1.4,0.0175,0.0017,0.0174,0.0178,0.0174,,
,BLANCO,0.0139,,mg/L,41.5,0.0005,0.0004,0.0006,0.0002,0.0006,,
,BLANCO REACTIVO,0,,mg/L,65.4,-0.0001,0,-0.0001,-0.0002,0,,
,SA003907-031,0.3121,,mg/L,1.6,0.0308,0.0006,0.0303,0.0312,0.031,,
,SA003907-032,0.0783,,mg/L,3.9,0.0077,0.0006,0.0078,0.0079,0.0073,,
,PATRON,0.505,,mg/L,1.3,0.0173,0.0013,0.0171,0.0173,0.0176,,
,BLANCO,0.0027,,mg/L,>100,0.0001,0.0003,0.0003,0,0,,
,BLANCO REACTIVO,0,,mg/L,67.5,-0.0002,0.0003,-0.0001,-0.0001,-0.0004,,
