PATRON,0.1992,,mg/L,1,0.0003,0.0262,0.0012,0.0261,0.026,0.0265
BLANCO,0.0019,,mg/L,>100,0.0003,0.0003,-0.0001,0.0001,0.0001,0.0006
BLANCO REACTIVO,0,,mg/L,41.5,0.0002,0.0006,-0.0005,0.0004,0.0008,0.0004
H,0.0856,,mg/L,1.9,0.0002,0.0113,0.0025,0.0112,0.0115,0.0111
C1,0.086,,mg/L,2,0.0002,0.0113,0.0025,0.0114,0.0111,0.0115
C2,0.0752,,mg/L,2.4,0.0002,0.0099,0.0026,0.0101,0.0099,0.0097
PATRON,0.2029,,mg/L,0,0,0.0267,0.0025,0.0267,0.0267,0.0267
BLANCO,-0.0011,,mg/L,>100,0.0002,-0.0002,0.0022,0,0,-0.0004
BLANCO REACTIVO,0,,mg/L,20,0.0002,-0.001,0.0011,-0.0008,-0.0012,-0.001
C3,0.0728,,mg/L,12.1,0.0012,0.0096,0.0037,0.0102,0.0103,0.0082
C4,0.0719,,mg/L,4.2,0.0004,0.0095,0.0037,0.0098,0.009,0.0095
T,0.0606,,mg/L,1.1,0.0001,0.008,0.0036,0.0079,0.008,0.008
PATRON,0.2032,,mg/L,2.8,0.0007,0.0268,0.0024,0.027,0.0274,0.0259
BLANCO,0.0004,,mg/L,>100,0.0001,0.0001,0.0021,0.0001,0,0.0001
BLANCO REACTIVO,0,,mg/L,10.7,0.0001,-0.001,0.0012,-0.0009,-0.0012,-0.001
DP1,0.0401,,mg/L,5.9,0.0003,0.0053,0.004,0.0056,0.005,0.0051
DP2,0.1138,,mg/L,1.9,0.0003,0.015,0.0037,0.0148,0.0148,0.0153
DP3,0.1007,,mg/L,4.3,0.0006,0.0133,0.0036,0.0139,0.0128,0.0131
PATRON,0.205,,mg/L,0.3,0.0001,0.027,0.0025,0.0271,0.0269,0.0269
BLANCO,0.0001,,mg/L,>100,0.0005,0,0.0022,-0.0004,-0.0001,0.0005
BLANCO REACTIVO,0,,mg/L,25.1,0.0002,-0.0009,0.001,-0.001,-0.0007,-0.0012
DP4,0.0589,,mg/L,3.6,0.0003,0.0078,0.0035,0.0078,0.008,0.0074
DP5,0.2186,,mg/L,0.8,0.0002,0.0288,0.0035,0.0285,0.029,0.0288
DP6,0.0761,,mg/L,1.7,0.0002,0.01,0.0035,0.0101,0.0101,0.0098
PATRON,0.2031,,mg/L,1,0.0003,0.0267,0.0025,0.0269,0.0264,0.0268
BLANCO,-0.0013,,mg/L,>100,0.0002,-0.0002,0.0021,-0.0002,0,-0.0003
BLANCO REACTIVO,0,,mg/L,35.3,0.0004,-0.001,0.0011,-0.0007,-0.0009,-0.0014
ELY1,0.0858,,mg/L,0.8,0.0001,0.0113,0.0036,0.0113,0.0114,0.0112
ELY2,0.0847,,mg/L,2.6,0.0003,0.0111,0.0039,0.0111,0.0115,0.0109
ELY3,0.0827,,mg/L,4.2,0.0005,0.0109,0.0035,0.0112,0.0104,0.011
PATRON,0.2068,,mg/L,0.8,0.0002,0.0272,0.0022,0.0275,0.0271,0.0271
BLANCO,-0.0003,,mg/L,>100,0,0,0.0021,-0.0001,-0.0001,0
BLANCO REACTIVO,0,,mg/L,3,0,-0.0014,0.0014,-0.0014,-0.0014,-0.0014
ELY4,0.0584,,mg/L,3.5,0.0003,0.0077,0.0039,0.0078,0.0074,0.0078
ELY5,0.0481,,mg/L,9,0.0006,0.0063,0.004,0.0057,0.0068,0.0065
PATRON,0.2036,,mg/L,3,0.0008,0.0268,0.0029,0.0275,0.0259,0.027
BLANCO,-0.0002,,mg/L,>100,0.0002,0,0.0029,0.0001,-0.0002,0
BLANCO REACTIVO,0,,mg/L,17.1,0.0002,-0.0014,0.0013,-0.0016,-0.0012,-0.0013
