Analista,GGP,,,,,,,,,,,,
Fecha de inicio,11/10/2024 08:28 a. m.  GMT: 11/10/2024 02:28 p. m.,,,,,,,,,,,,
Hoja de trabajo,SA005653_3,,,,,,,,,,,,
Comentario,,,,,,,,,,,,,
Métodos,Au,,,,,,,,,,,,
,,,,,,,,,,,,,
Peso nominal,1,Volumen nominal,1,Nominal Dilution,1,,,,,,,,
Método: Au EFAA30 (Llama),,,,,,,,,,,,,
,,,,,,,,,,,,,
,PATRON,0.5086,,mg/L,0.8,0.0167,0.0011,,,,0.0168,0.0165,0.0167
,BLANCO,0.003,,mg/L,81.4,0.0001,0.0001,,,,0.0001,0,0.0002
,BLANCO REACTIVO,0,,mg/L,2.5,-0.0025,0.0014,,,,-0.0025,-0.0026,-0.0025
,SA005653-001,0.072,,mg/L,5.6,0.0067,0.0005,20.03,,,0.0069,0.007,0.0063
,SA005653-002,0.0534,,mg/L,5.9,0.005,0.0009,20.01,,,0.0052,0.0047,0.005
,SA005653-003,0.0488,,mg/L,5.3,0.0046,0.0048,20.01,,,0.0043,0.0048,0.0046
,SA005653-004,0.0356,,mg/L,5.4,0.0033,0.0008,20,,,0.0034,0.0031,0.0035
,SA005653-005,0.0371,,mg/L,5.7,0.0044,0.0007,20,,,0.0044,0.0042,0.0047
,PATRON,0.4916,,mg/L,1.6,0.0161,0.0014,,,,0.0159,0.016,0.0164
,SA005653-006,-0.0021,,mg/L,>100,-0.0002,0.0003,20,,,-0.0005,0.0001,-0.0002
,SA005653-007,0.0386,,mg/L,15.7,0.0036,0.0011,20,,,0.0035,0.0031,0.0042
,SA005653-008,0.4955,,mg/L,0,0.0421,0.0016,20.03,,,0.0421,0.0421,0.0421
,SA005653-009,0.0001,,mg/L,>100,0,0.0023,20.02,,,-0.0002,0.0002,0
,SA005653-010,0.1226,,mg/L,3.8,0.0115,0.0026,20.04,,,0.0111,0.012,0.0114
,PATRON,0.504,,mg/L,1.9,0.0165,0.0044,,,,0.0164,0.0162,0.0169
,BLANCO,-0.0013,,mg/L,>100,0,0.004,,,,-0.0001,-0.0001,0
,BLANCO REACTIVO,0,,mg/L,11.3,-0.0018,0.001,,,,-0.0016,-0.0018,-0.002
,SA005653-011,0.4628,,mg/L,0.4,0.0438,0.0045,20.04,,,0.044,0.0437,0.0437
,PATRON,0.4849,,mg/L,1.5,0.0159,0.0053,,,,0.0159,0.0161,0.0156
,BLANCO,-0.006,,mg/L,>100,-0.0002,0.0048,,,,0.0001,-0.0006,-0.0001
,BLANCO REACTIVO,0,,mg/L,8.1,-0.0031,0.0014,,,,-0.0029,-0.0029,-0.0034
