PATRON,0.0482,,mg/L,4.3,0.0036,-0.0032,0.0034,0.0037,0.0037
BLANCO,0.0004,,mg/L,34.4,0.0009,-0.0012,0.0012,0.0008,0.0006
BLANCO REACTIVO,0,,mg/L,>100,0.0002,0,0.0001,-0.0004,0.0009
H KCA PO,0.032,,mg/L,4,0.0023,-0.0003,0.0024,0.0022,0.0024
H KCA PO,0.032,,mg/L,18.2,0.0022,-0.0005,0.0018,0.0025,0.0023
H KCA PO,0.032,,mg/L,24.4,0.0024,-0.0006,0.0025,0.0028,0.0017
PATRON,0.0515,,mg/L,5.8,0.0038,-0.0035,0.0039,0.0039,0.0036
H KCA PO,0.032,,mg/L,23,0.0022,-0.0003,0.0017,0.0027,0.0023
H KCA PO,0.032,,mg/L,4.8,0.0023,-0.0007,0.0024,0.0023,0.0021
P KCA PO,0.001,,mg/L,50.5,0.0006,0.0006,0.0009,0.0005,0.0003
H KCA PE,0.0151,,mg/L,>100,0.0007,0.0014,-0.0006,0.0009,0.0017
H KCA PE,0.0151,,mg/L,39.9,0.0012,0.001,0.0016,0.0007,0.0011
H KCA PE,0.0151,,mg/L,20.7,0.0016,0.0008,0.0019,0.0018,0.0012
PATRON,0.0476,,mg/L,10.3,0.0036,-0.0034,0.0035,0.004,0.0033
H KCA PE,0.0151,,mg/L,35.5,0.0017,0.0004,0.0017,0.0011,0.0022
H KCA PE,0.0151,,mg/L,16.4,0.0017,0.0004,0.0018,0.0014,0.0019
PATRON,0.0526,,mg/L,10.7,0.0039,-0.0035,0.0041,0.0041,0.0034
BLANCO,0.0087,,mg/L,34.2,0.0014,-0.0013,0.0018,0.0014,0.0009
BLANCO REACTIVO,0,,mg/L,30.9,0.0006,0,0.0004,0.0005,0.0008
P KCA PE,0.0071,,mg/L,9,0.0013,0.0002,0.0013,0.0014,0.0011
ELY P,0.0045,,mg/L,35.4,0.0011,0.0006,0.0007,0.0012,0.0015
PATRON,0.0419,,mg/L,19.6,0.0033,-0.0036,0.0026,0.0038,0.0034
BLANCO,0.008,,mg/L,34.3,0.0013,-0.0021,0.0009,0.0018,0.0012
BLANCO REACTIVO,0,,mg/L,27.5,0.0009,-0.0005,0.0007,0.0008,0.0012
