Analista,ERIK,,,,,,,,
Fecha de inicio,10/05/2023 03:08 a. m.  GMT: 10/05/2023 09:08 a. m.,,,,,,,,
Hoja de trabajo,SA001063_6,,,,,,,,
Comentario,,,,,,,,,
Métodos,Ag,,,,,,,,
,,,,,,,,,
Método: Ag HCL (Llama),,,,,,,,,
,,,,,,,,,
,PATRON,1.0038,,mg/L,0.1,0.1305,0.1304,0.1307,0.1306
,BLANCO,0.0014,,mg/L,22.5,0.0002,0.0001,0.0002,0.0002
,BLANCO REACTIVO,0,,mg/L,>100,0.0001,0.0001,0.0002,0
,SA001063-001,15.9133,,mg/L,1.6,0.0836,0.0821,0.084,0.0846
,SA001063-002,16.4,,mg/L,0.9,0.0864,0.0857,0.0863,0.0872
,SA001063-003,0.2827,,mg/L,32,-0.0004,-0.0004,-0.0003,-0.0006
,SA001063-004,12.5572,,mg/L,0.8,0.0658,0.0653,0.0663,0.0657
,SA001063-005,10.6482,,mg/L,1.2,0.0566,0.0561,0.0563,0.0573
,PATRON,1.0126,,mg/L,0.7,0.1317,0.1317,0.1307,0.1326
,SA001063-006,10.9055,,mg/L,1.4,0.0569,0.0561,0.0576,0.0569
,SA001063-007,10.3199,,mg/L,1,0.0545,0.0552,0.0543,0.0541
,SA001063-008,12.2534,,mg/L,0.7,0.0654,0.0653,0.0658,0.065
,SA001063-009,28.5651,,mg/L,1.4,0.1513,0.1496,0.1507,0.1536
,SA001063-010,18.2843,,mg/L,0.7,0.0954,0.0947,0.0954,0.096
,PATRON,0.9983,,mg/L,0.9,0.1298,0.1307,0.1286,0.1302
,BLANCO,0.0004,,mg/L,>100,0.0001,-0.0001,0.0001,0.0001
,BLANCO REACTIVO,0,,mg/L,>100,0.0001,0.0002,0.0001,-0.0001
,SA001063-011,80.6692,,mg/L,1.4,0.3913,0.3855,0.3918,0.3965
,SA001063-012,2.5372,,mg/L,2.4,0.0136,0.0139,0.0135,0.0133
,SA001063-013,0.2627,,mg/L,1.5,0.0009,0.0009,0.0009,0.0008
,SA001063-014,14.7998,,mg/L,1,0.0795,0.0794,0.0803,0.0788
,SA001063-015,27.6706,,mg/L,1.1,0.1468,0.1469,0.1451,0.1484
,PATRON,1.0019,,mg/L,1.2,0.1303,0.1306,0.1286,0.1317
,SA001063-016,13.5582,,mg/L,0.5,0.072,0.0718,0.0717,0.0724
,SA001063-017,12.0172,,mg/L,0.6,0.0644,0.0644,0.0641,0.0649
,SA001063-018,10.9797,,mg/L,1,0.0584,0.0588,0.0587,0.0577
,SA001063-019,8.1849,,mg/L,0.5,0.0431,0.0429,0.0431,0.0433
,SA001063-020,62.245,,mg/L,1.2,0.311,0.3083,0.3151,0.3096
,PATRON,1.0003,,mg/L,0.1,0.1301,0.13,0.1303,0.1299
,BLANCO,0.0039,,mg/L,48,0.0005,0.0008,0.0003,0.0004
,BLANCO REACTIVO,0,,mg/L,>100,0,0,0,0
,SA001063-021,9.0886,,mg/L,1.3,0.0477,0.047,0.0481,0.0481
,SA001063-022,29.8949,,mg/L,1.7,0.1584,0.1552,0.1602,0.1598
,SA001063-023,19.3585,,mg/L,1.1,0.1024,0.1011,0.1032,0.1029
,SA001063-024,41.0403,,mg/L,0.5,0.2109,0.2097,0.2115,0.2115
,SA001063-025,9.5575,,mg/L,1.3,0.0509,0.0501,0.0513,0.0512
,PATRON,0.9968,,mg/L,1.1,0.1297,0.1288,0.1289,0.1313
,SA001063-026,0.088,,mg/L,22.9,0.0005,0.0005,0.0005,0.0003
,SA001063-027,24.1434,,mg/L,0.5,0.1256,0.1249,0.1262,0.1258
,SA001063-028,15.8964,,mg/L,0.5,0.0838,0.0837,0.0842,0.0834
,SA001063-029,10.3627,,mg/L,0.8,0.0546,0.0543,0.0544,0.0551
,SA001063-030,10.4903,,mg/L,1.2,0.0552,0.0544,0.0556,0.0556
,PATRON,0.9945,,mg/L,0.1,0.1294,0.1292,0.1293,0.1295
,BLANCO,0.0046,,mg/L,12,0.0006,0.0006,0.0006,0.0005
,BLANCO REACTIVO,0,,mg/L,94.8,-0.0001,-0.0001,-0.0003,0
