Analista,NR,,,,,,,,
Fecha de inicio,11:50 a. m. 18/12/2025  GMT: 05:50 p. m. 18/12/2025,,,,,,,,
Hoja de trabajo,SA007259_3,,,,,,,,
Comentario,,,,,,,,,
Métodos,Au,,,,,,,,
,,,,,,,,,
Peso nominal,1,Volumen nominal,1,,,,,,
Método: Au EFAA30 (Llama),,,,,,,,,
,,,,,,,,,
Au,PATRON,0.4862,,mg/L,1,1.5,0.0182,0.001,
Au,BLANCO,-0.0077,,mg/L,1,>100,-0.0003,-0.0007,
Au,BLANCO REACTIVO,0,,mg/L,1,32.3,-0.0009,0.0004,
Au,SA007259-001,0.2153,,mg/L,1,1.6,0.0351,-0.0006,30.01
Au,SA007259-002,0.6362,,mg/L,1,1.1,0.1102,-0.001,30.01
Au,SA007259-003,0.0016,,mg/L,1,20.5,0.0002,0.0001,30
Au,SA007259-004,0.0759,,mg/L,1,2.2,0.0121,0.0005,30
Au,SA007259-005,0.0209,,mg/L,1,21.7,0.0033,0.0007,30
Au,PATRON,0.4847,,mg/L,1,2.9,0.0181,0.0024,
Au,SA007259-006,0.0417,,mg/L,1,4.2,0.0066,0.0017,30
Au,SA007259-007,0.0152,,mg/L,1,14.4,0.0024,0.0016,30.01
Au,SA007259-008,0.0129,,mg/L,1,10.2,0.002,0.0031,30.02
Au,SA007259-009,0.0189,,mg/L,1,1,0.003,0.0016,30.02
Au,SA007259-010,0.2181,,mg/L,1,0.7,0.0356,0.0012,30.01
Au,PATRON,0.5047,,mg/L,1,5.3,0.0189,0.0037,
Au,BLANCO,-0.0034,,mg/L,1,>100,-0.0001,0.002,
Au,BLANCO REACTIVO,0,,mg/L,1,4.8,-0.0017,0.0011,
Au,SA007259-011,0.0512,,mg/L,1,1.6,0.0081,0.0028,30.02
Au,SA007259-012,0.9805,,mg/L,1,18.5,0.1755,0.0024,30
Au,SA007259-013,0.0313,,mg/L,1,4.9,0.0049,0.0031,30.01
Au,SA007259-014,0.0626,,mg/L,1,4.3,0.0099,0.0031,30.01
Au,SA007259-015,0.0477,,mg/L,1,4.8,0.0076,0.0031,30.01
Au,PATRON,0.4806,,mg/L,1,1,0.0179,0.0049,
Au,SA007259-016,0.4516,,mg/L,1,0.6,0.0763,0.0032,3
Au,SA007259-017,0.0537,,mg/L,1,0.5,0.0082,0.0008,30
Au,SA007259-018,0.3174,,mg/L,1,1.1,0.0507,0.0006,30.01
Au,SA007259-019,0.0025,,mg/L,1,37.7,0.0004,0.001,3
Au,SA007259-020,0.0515,,mg/L,1,1.5,0.0079,0.0013,30
Au,PATRON,0.5003,,mg/L,1,1.4,0.018,0.0021,
Au,BLANCO,-0.0052,,mg/L,1,80,-0.0002,0.0003,
Au,BLANCO REACTIVO,0,,mg/L,1,6,-0.0024,0.0015,
Au,SA007259-021,0.0722,,mg/L,1,0.7,0.0111,0.0037,30.01
Au,SA007259-022,0.1126,,mg/L,1,0.4,0.0174,0.0039,30.01
Au,SA007259-023,0.1219,,mg/L,1,1.5,0.0189,0.004,30.02
Au,SA007259-024,-0.0051,,mg/L,1,38.6,-0.0005,0.004,20.01
Au,SA007259-025,-0.003,,mg/L,1,73.3,-0.0003,0.0038,20.01
Au,PATRON,0.4873,,mg/L,1,0.6,0.0176,0.005,
Au,SA007259-026,0.313,,mg/L,1,0.9,0.05,0.003,30
Au,SA007259-027,0.0965,,mg/L,1,0.2,0.0149,0.0033,30
Au,SA007259-028,0.1078,,mg/L,1,0.4,0.0166,0.0038,30.01
Au,SA007259-029,0.1431,,mg/L,1,1.3,0.0222,0.0035,30
Au,SA007259-030,0.4646,,mg/L,1,0.9,0.0758,0.0035,30.01
Au,PATRON,0.4921,,mg/L,1,0.5,0.0177,0.0046,
Au,BLANCO,-0.0049,,mg/L,1,>100,-0.0002,0.0025,
Au,BLANCO REACTIVO,0,,mg/L,1,17.5,-0.0017,0.0012,
Au,SA007259-031,0.2579,,mg/L,1,0.3,0.0408,0.0036,30.02
Au,SA007259-032,0.1684,,mg/L,1,0.8,0.0263,0.0038,30.02
Au,PATRON,0.4898,,mg/L,1,0.4,0.0176,0.0051,
Au,BLANCO,-0.0024,,mg/L,1,>100,-0.0001,0.004,
Au,BLANCO REACTIVO,0,,mg/L,1,16.5,-0.0023,0.0018,
