Analista,,,,,,,,,
Fecha de inicio,19/04/2023 03:57 p. m.  GMT: 19/04/2023 09:57 p. m.,,,,,,,,
Hoja de trabajo,SA000999_6 REE,,,,,,,,
Comentario,,,,,,,,,
Métodos,Ag,,,,,,,,
,,,,,,,,,
Método: Ag HCL (Llama),,,,,,,,,
,,,,,,,,,
,PATRON,1.0074,,mg/L,0.6,0.1301,0.1306,0.1293,0.1306
,BLANCO,0.0011,,mg/L,73.1,0.0001,0.0002,0,0.0002
,BLANCO REACTIVO,0,,mg/L,82,-0.0002,-0.0002,0,-0.0004
,SA000992-022,0.9671,,mg/L,1.8,0.005,0.005,0.005,0.0051
,SA000992-023,1.2796,,mg/L,0.6,0.0067,0.0066,0.0067,0.0067
,SA000992-024,1.1432,,mg/L,1.5,0.006,0.006,0.0061,0.0059
,SA000992-025,1.1117,,mg/L,1,0.0059,0.0058,0.0059,0.0059
,SA000992-026,1.5009,,mg/L,1.9,0.0079,0.0079,0.0077,0.008
,PATRON,1.007,,mg/L,0.5,0.1301,0.1308,0.1294,0.1301
,SA000992-027,1.1802,,mg/L,0.7,0.0062,0.0062,0.0062,0.0061
,SA000992-028,6.2221,,mg/L,0.9,0.0326,0.0324,0.0323,0.0329
,PATRON,1.0072,,mg/L,0.2,0.1301,0.1299,0.1304,0.1301
,BLANCO,0.0024,,mg/L,43.1,0.0003,0.0002,0.0004,0.0004
,BLANCO REACTIVO,0,,mg/L,>100,0,0,0.0002,0
