PATRON,4.9103,,mg/L,0.7,0.0527,0.0526,0.053,0.0523
BLANCO,0.017,,mg/L,41.7,0.0002,0.0003,0.0002,0.0001
BLANCO REACTIVO,0,,mg/L,>100,-0.0001,0,-0.0001,0
FASE 1,0.0102,,mg/L,60.8,0.0001,0.0002,0,0.0002
FASE 2,0.017,,mg/L,36,0.0002,0.0001,0.0003,0.0002
FASE 3,0.0222,,mg/L,18.9,0.0002,0.0003,0.0002,0.0002
VSP NORTE,0.0109,,mg/L,50.3,0.0001,0.0001,0.0002,0.0001
CELDA 8.1,0.0259,,mg/L,21.8,0.0003,0.0002,0.0003,0.0004
CELDA 8.2,0.0195,,mg/L,5.8,0.0002,0.0002,0.0002,0.0002
CELDA 8.3,0.1545,,mg/L,3.5,0.0017,0.0017,0.0017,0.0018
PATRON,4.9021,,mg/L,0.1,0.0526,0.0526,0.0525,0.0526
BLANCO,0.0205,,mg/L,40.2,0.0002,0.0001,0.0002,0.0003
BLANCO REACTIVO,0,,mg/L,8.9,0.0003,0.0004,0.0003,0.0003
