PATRON,4.9975,,mg/L,1.2,0.099,0.1001,0.0978,0.099
BLANCO,-0.0073,,mg/L,79.8,-0.0001,0,-0.0001,-0.0003
BLANCO REACTIVO,0,,mg/L,>100,-0.0002,-0.0003,0,-0.0002
H,3.1067,,mg/L,0.7,0.0618,0.062,0.0613,0.0621
C1,3.1028,,mg/L,0.7,0.0618,0.0619,0.0621,0.0613
C2,3.1178,,mg/L,0.3,0.0621,0.0622,0.062,0.0619
PATRON,4.9973,,mg/L,0.8,0.099,0.0999,0.0984,0.0986
BLANCO,-0.0075,,mg/L,71.9,-0.0001,-0.0001,-0.0003,-0.0001
BLANCO REACTIVO,0,,mg/L,63.1,-0.0002,-0.0001,-0.0003,-0.0003
C3,3.1159,,mg/L,0.9,0.062,0.0626,0.0616,0.0618
C4,3.0964,,mg/L,0.8,0.0616,0.0611,0.0621,0.0617
T,3.0816,,mg/L,0.7,0.0613,0.061,0.0613,0.0618
PATRON,5.0018,,mg/L,0.6,0.0991,0.0989,0.0985,0.0998
BLANCO,-0.0027,,mg/L,34.7,-0.0001,-0.0001,-0.0001,0
BLANCO REACTIVO,0,,mg/L,47.2,-0.0003,-0.0004,-0.0001,-0.0003
ELY1,3.0888,,mg/L,0.1,0.0615,0.0615,0.0615,0.0614
ELY2,3.1053,,mg/L,0.3,0.0618,0.0619,0.0619,0.0616
ELY3,3.0995,,mg/L,0.5,0.0617,0.0617,0.062,0.0614
PATRON,5.0582,,mg/L,3.8,0.1002,0.0975,0.0984,0.1045
BLANCO,-0.0109,,mg/L,37.1,-0.0002,-0.0002,-0.0001,-0.0003
BLANCO REACTIVO,0,,mg/L,15.1,-0.0003,-0.0004,-0.0003,-0.0004
ELY4,3.2436,,mg/L,0.4,0.0645,0.0648,0.0644,0.0644
ELY5,3.1882,,mg/L,1.2,0.0634,0.0628,0.0632,0.0643
PATRON,5.0227,,mg/L,4.9,0.0995,0.1026,0.1019,0.0939
BLANCO,-0.0078,,mg/L,90.1,-0.0002,-0.0002,0,-0.0003
BLANCO REACTIVO,0,,mg/L,14.6,-0.0005,-0.0005,-0.0006,-0.0005
