Analista,JS,,,,,,,,
Fecha de inicio,11:46 p. m. 15/12/2025  GMT: 05:46 a. m. 16/12/2025,,,,,,,,
Hoja de trabajo,SA007221_3,,,,,,,,
Comentario,,,,,,,,,
Métodos,Au,,,,,,,,
,,,,,,,,,
Método: Au EFAA30 (Llama),,,,,,,,,
,,,,,,,,,
,PATRON,0.4945,,mg/L,1,0.4,0.0173,0.0016,
,BLANCO,0,,mg/L,1,>100,0,0.0001,
,BLANCO REACTIVO,0,,mg/L,1,>100,0,-0.0001,
,SA007221-001,0.8869,,mg/L,1,1,0.1339,-0.0007,30.01
,SA007221-002,0.0762,,mg/L,1,1.3,0.0114,0.0002,30
,SA007221-003,0.0224,,mg/L,1,9.3,0.0034,0.0004,30.01
,SA007221-004,0.038,,mg/L,1,3,0.0057,0.0008,30.01
,SA007221-005,0.0505,,mg/L,1,3.6,0.0076,0.0004,30
,PATRON,0.5014,,mg/L,1,1.7,0.0176,0.0013,
,SA007221-006,0.851,,mg/L,1,0.9,0.1279,0,30.02
,SA007221-007,0.3283,,mg/L,1,1.6,0.0494,0.0001,30.03
,SA007221-008,0.2391,,mg/L,1,1.1,0.036,0.0001,30.03
,SA007221-010,0.0247,,mg/L,1,6.2,0.0037,0.0006,30.02
,PATRON,0.4882,,mg/L,1,3.9,0.0171,0.0014,
,BLANCO,-0.0008,,mg/L,1,>100,0,-0.0001,
,BLANCO REACTIVO,0,,mg/L,1,70.8,-0.0005,0.0009,
,SA007221-011,0.0417,,mg/L,1,3.8,0.0063,0.0015,30.01
,SA007221-012,0.0433,,mg/L,1,0.6,0.0065,0.0018,30.02
,SA007221-013,0.0011,,mg/L,1,83.9,0.0002,0.002,30.01
,SA007221-014,0.0204,,mg/L,1,4.1,0.0031,0.0018,30
,SA007221-015,0.3475,,mg/L,1,1.5,0.0523,0.0012,30.02
,PATRON,0.51,,mg/L,1,1.6,0.0179,0.0023,
,SA007221-016,0.0469,,mg/L,1,3.9,0.0071,0.0014,30.04
,SA007221-017,0.0463,,mg/L,1,2.2,0.0069,0.0014,30
,SA007221-018,0.3258,,mg/L,1,0.4,0.049,0.0011,30.02
,SA007221-019,0.7548,,mg/L,1,0.8,0.1134,0.0013,30
,SA007221-020,0.0383,,mg/L,1,3.8,0.0058,0.0014,30
,PATRON,0.4988,,mg/L,1,1.9,0.0175,0.0027,
,BLANCO,-0.0082,,mg/L,1,>100,-0.0003,0.0015,
,BLANCO REACTIVO,0,,mg/L,1,28.3,-0.0009,0.0011,
,SA007221-021,-0.0007,,mg/L,1,>100,-0.0001,0.0027,3
,SA007221-022,0.0012,,mg/L,1,68.1,0.0002,0.0024,30.01
,SA007221-024,0.0895,,mg/L,1,3,0.0135,0.0024,30.01
,SA007221-025,0.0358,,mg/L,1,6,0.0054,0.0022,30.02
,PATRON,0.5121,,mg/L,1,0.7,0.018,0.0032,
,SA007221-026,0.1202,,mg/L,1,1.5,0.0181,0.0023,30.03
,SA007221-027,0.1113,,mg/L,1,1.3,0.0167,0.0023,30
,SA007221-028,0.0346,,mg/L,1,3.6,0.0052,0.0021,30.03
,SA007221-029,0.1579,,mg/L,1,1.4,0.0237,0.0017,30.01
,SA007221-030,0.1262,,mg/L,1,2.4,0.019,0.0023,30.02
,PATRON,0.5029,,mg/L,1,3,0.0176,0.0036,
,BLANCO,-0.0134,,mg/L,1,39.4,-0.0005,0.0021,
,BLANCO REACTIVO,0,,mg/L,1,14.4,-0.0012,0.0011,
,SA007221-031,0.2378,,mg/L,1,1,0.0358,0.0031,30.01
,SA007221-032,0.0355,,mg/L,1,3.5,0.0053,0.0025,30.02
,PATRON,0.5051,,mg/L,1,0.7,0.0177,0.0033,
,BLANCO,0.0048,,mg/L,1,>100,0.0002,0.0024,
,BLANCO REACTIVO,0,,mg/L,1,16,-0.0012,0.0014,
