Analista,GGP,,,,,,,,
Fecha de inicio,04:37 p. m. 15/12/2025  GMT: 10:37 p. m. 15/12/2025,,,,,,,,
Hoja de trabajo,SA007218_3,,,,,,,,
Comentario,,,,,,,,,
Métodos,Au,,,,,,,,
,,,,,,,,,
Peso nominal,1,Volumen nominal,1,,,,,,
Método: Au EFAA30 (Llama),,,,,,,,,
,,,,,,,,,
,PATRON,0.5034,,mg/L,1,2.5,0.0194,0.0006,
,BLANCO,0.0063,,mg/L,1,>100,0.0002,-0.0007,
,BLANCO REACTIVO,0,,mg/L,1,>100,0.0003,0.0015,
,SA007218-001,0.034,,mg/L,1,1.4,0.0056,0.0006,30.02
,SA007218-002,0.0336,,mg/L,1,1.3,0.0055,0.0007,30.02
,SA007218-003,0.0337,,mg/L,1,3.6,0.0055,0.0004,30
,SA007218-004,0.1096,,mg/L,1,1.9,0.0181,0.0008,30
,SA007218-005,0.041,,mg/L,1,1.6,0.0068,0.0005,30.02
,PATRON,0.4903,,mg/L,1,2,0.0189,0.0015,
,SA007218-006,0.0304,,mg/L,1,4.2,0.005,0.0007,30
,SA007218-007,0.0258,,mg/L,1,5.6,0.0043,0.0007,30.02
,SA007218-008,0.0262,,mg/L,1,2,0.0043,0.0005,30.02
,SA007218-009,0.215,,mg/L,1,11.8,0.0356,0.0005,30.02
,SA007218-010,0.0194,,mg/L,1,12.3,0.0032,0.0006,30.03
,PATRON,0.4805,,mg/L,1,0.8,0.0185,0.0015,
,BLANCO,0.0015,,mg/L,1,>100,0.0001,0.0001,
,BLANCO REACTIVO,0,,mg/L,1,17.2,0.0003,0.002,
,SA007218-011,0.0257,,mg/L,1,3.7,0.0042,0.0012,30.02
,SA007218-012,0.0409,,mg/L,1,2.8,0.0067,0.0009,30
,SA007218-013,0.0038,,mg/L,1,46.6,0.0006,0.0003,30.02
,SA007218-014,0.02,,mg/L,1,5.3,0.0033,0.0006,30.03
,SA007218-015,0.0154,,mg/L,1,3.8,0.0025,0.0005,30.01
,PATRON,0.4839,,mg/L,1,2.1,0.0186,0.0021,
,SA007218-016,0.018,,mg/L,1,6,0.003,0.0009,30.03
,SA007218-017,0.0662,,mg/L,1,2.8,0.0109,0.0009,30.02
,SA007218-018,0.0377,,mg/L,1,5.5,0.0062,0.0006,30.01
,SA007218-019,0.0016,,mg/L,1,72.8,0.0003,0.001,30.01
,SA007218-020,0.0468,,mg/L,1,2.7,0.0077,0.0005,30.02
,PATRON,0.4818,,mg/L,1,5.1,0.0186,0.0011,
,BLANCO,-0.004,,mg/L,1,>100,-0.0002,0.0001,
,BLANCO REACTIVO,0,,mg/L,1,32.1,0.0003,0.0003,
,SA007218-021,0.0233,,mg/L,1,6,0.0038,0.0009,30.01
,SA007218-022,0.0013,,mg/L,1,56,0.0002,0.0007,30
,SA007218-023,0.0655,,mg/L,1,3,0.0108,0.0012,30.01
,SA007218-024,0.0504,,mg/L,1,1.5,0.0083,0.0011,30.02
,SA007218-025,0.0483,,mg/L,1,3.9,0.008,0.0012,30.03
,PATRON,0.4879,,mg/L,1,0.5,0.0188,0.0015,
,SA007218-026,0.0021,,mg/L,1,52.5,0.0003,0.001,30
,SA007218-027,0.0613,,mg/L,1,2,0.0101,0.001,30
,SA007218-028,0.1047,,mg/L,1,0.6,0.0173,0.0011,30.01
,SA007218-029,0.0236,,mg/L,1,1.7,0.0039,0.0011,30.03
,SA007218-030,0.0231,,mg/L,1,5,0.0038,0.0011,30.02
,PATRON,0.5054,,mg/L,1,1.2,0.0187,0.0018,
,BLANCO,-0.0092,,mg/L,1,58.4,-0.0003,0.0004,
,BLANCO REACTIVO,0,,mg/L,1,>100,0,0.002,
,SA007218-031,0.0923,,mg/L,1,2.1,0.0146,0.001,30.02
,SA007218-032,0.0562,,mg/L,1,1.1,0.0089,0.001,30.01
,PATRON,0.5027,,mg/L,1,2.4,0.0186,0.0019,
,BLANCO,-0.0057,,mg/L,1,>100,-0.0002,0.0006,
,BLANCO REACTIVO,0,,mg/L,1,>100,-0.0001,0.002,
